Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																																																																									
Дата голосования: 18.09.2016																																																																																																																																																									
																																																																																																																																																									
Наименование Избирательной комиссии:    Территориальная избирательная комиссия №3																																																																																																																																																									
																																																																																																																																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																																																																									
																																																																																																																																																									
		Сумма	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №645	УИК №646	УИК №647	УИК №648	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №732	УИК №733									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	110303	2079	1868	1738	1890	2269	2022	1531	2719	2296	1959	1522	2306	1948	2018	1195	2127	1477	2515	1565	1416	1756	2167	2436	1419	1104	1571	1474	2684	1636	1573	1782	1770	1637	1679	1982	1872	1719	1712	1562	2514	2542	2102	2649	2680	1962	2062	1916	1938	1895	1679	1688	2208	2148	1923	2232	2541	108	11	10	10	12	12	12	10	14	10	11	11	11	11	11	12	12	11	11	11	10	10	12	12	12	11	13	10	10	10	11	10	10	9	11	10	10	9	10	10	10	10	11	12	12	11	12	11	11	11	13	10	11	12	10	11	12	26	30	26	23	19	21	25	26	24	22	20	23	20	22	36	45	34	44	37	163	12	30	28	18	27	28	28	25	26									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	96028	1500	1500	1500	1500	2000	2000	1100	2500	2000	1500	1100	2000	1500	1500	1000	2000	1100	2500	1500	1000	1500	2000	2000	1100	1000	1500	1300	2000	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	2500	2500	2000	2500	2500	1500	2000	1500	1500	1500	1500	1500	2000	2000	1500	2000	2500	300	11	10	10	12	12	12	10	14	10	11	11	11	11	11	12	12	11	11	11	10	10	12	12	12	11	13	10	10	10	11	10	10	9	11	10	10	9	10	10	10	10	11	12	12	11	12	11	11	11	13	10	11	12	10	11	12	26	30	26	23	19	21	25	26	24	22	20	23	20	22	38	45	36	44	39	163	12	30	28	18	28	28	28	25	26									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	33507	543	533	408	550	603	601	475	610	556	588	417	600	608	529	296	622	441	767	493	438	565	614	732	439	381	429	468	730	579	538	467	479	450	535	690	491	526	506	465	774	741	608	751	791	524	645	558	626	626	537	527	725	654	600	735	828	3	11	10	10	12	12	12	10	14	10	11	11	11	11	11	12	12	11	11	11	10	10	12	12	12	11	13	10	10	10	11	10	10	9	11	10	10	9	10	10	10	10	11	12	12	11	12	11	11	11	13	10	11	12	10	11	12	26	30	26	23	19	21	25	26	24	22	20	23	20	22	36	42	34	44	22	163	5	30	28	18	27	28	28	21	26									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	429	29	43	1	3	8	1	2	10	2	0	2	3	3	4	2	8	4	3	3	2	5	2	5	5	3	6	3	4	4	5	3	3	3	2	5	4	8	3	2	8	10	6	4	7	3	6	4	15	8	6	5	9	5	10	5	5	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
6	Число погашенных избирательных бюллетеней	62092	928	924	1091	947	1389	1398	623	1880	1442	912	681	1397	889	967	702	1370	655	1730	1004	560	930	1384	1263	656	616	1065	829	1266	917	957	1030	1018	1047	963	805	1005	966	991	1033	1718	1749	1386	1745	1702	973	1349	938	859	866	957	968	1266	1341	890	1260	1667	192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	2	0	17	0	7	0	0	0	1	0	0	4	0									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	429	29	43	1	3	8	1	2	10	2	0	2	3	3	4	2	8	4	3	3	2	5	2	5	5	3	6	3	4	4	5	3	3	3	2	5	4	8	3	2	8	10	6	4	7	3	6	4	15	8	6	5	9	5	10	5	5	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	33327	543	533	408	545	603	599	470	606	555	585	416	600	607	528	296	620	424	767	488	437	563	614	732	439	378	425	464	726	579	537	467	476	449	534	690	483	526	506	462	765	724	608	744	758	513	643	556	624	624	537	525	724	654	591	735	828	3	11	10	10	12	12	12	10	14	10	11	11	11	11	11	12	12	11	11	11	10	10	12	12	12	11	13	10	10	10	11	10	10	9	11	10	10	9	10	10	10	10	11	12	12	11	12	11	11	11	13	10	11	12	10	11	12	26	30	26	23	19	21	25	26	24	22	20	23	20	22	36	42	34	44	22	163	5	30	28	18	26	28	28	21	26									
9	Число недействительных избирательных бюллетеней	928	19	6	6	9	12	18	22	10	19	19	6	5	24	12	7	18	12	20	17	3	20	23	23	11	13	12	21	14	21	15	24	22	11	31	18	10	6	18	9	17	24	16	16	30	7	18	10	11	9	11	10	15	25	12	20	18	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	2	2	0	0	0	0	0	1	0	0	0	0	2	0	0	4	0	7	0	5	7	0	0	0	23	0	0	0	0	2	2	0	0	2									
10	Число действительных избирательных бюллетеней	32828	553	570	403	539	599	582	450	606	538	566	412	598	586	520	291	610	416	750	474	436	548	593	714	433	368	419	446	716	562	527	446	457	441	505	677	477	528	491	455	756	710	598	732	735	509	631	550	628	623	532	520	718	634	589	720	815	108	11	10	10	12	12	12	10	12	10	10	11	11	11	11	9	12	11	11	11	10	10	12	11	12	11	13	10	10	10	11	10	8	9	11	9	9	9	10	10	8	10	11	12	12	10	12	11	11	11	13	10	9	10	10	11	12	26	30	25	23	19	21	25	24	24	22	16	23	13	22	31	35	34	44	22	140	5	30	28	18	24	26	28	21	24									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1690	30	30	30	30	30	40	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	877	24	23	17	26	16	19	24	16	6	23	15	17	18	10	10	17	14	20	20	13	8	20	23	13	7	9	18	17	12	15	13	13	12	6	5	9	14	17	13	17	25	20	20	18	21	19	12	13	7	8	11	21	25	18	17	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	681	38	16	0	26	27	28	38	9	33	23	17	15	17	19	23	13	9	13	5	15	5	18	26	9	11	7	13	12	4	0	4	7	4	4	16	10	12	11	10	11	4	6	6	5	8	4	3	7	4	5	9	14	6	5	4	10	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	813	6	7	13	4	14	21	6	14	24	7	15	13	12	20	20	13	16	10	10	17	22	10	7	17	23	21	12	13	18	15	17	17	18	24	25	21	16	13	17	13	5	10	10	12	9	11	18	17	23	22	19	9	5	12	13	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	124	5	7	1	5	4	3	1	5	4	3	3	1	4	1	0	0	0	4	2	2	3	5	1	0	1	0	0	3	4	1	3	1	2	1	5	1	0	1	4	4	4	2	2	2	2	2	0	1	2	3	2	1	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
