Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																											
Дата голосования: 07.12.2003 0:00:00																																																											
																																																											
Наименование Избирательной комиссии:    Тарасовская 																																																											
																																																											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																											
																																																											
		Сумма	УИК  1159	УИК  1160	УИК  1161	УИК  1162	УИК  1163	УИК  1165	УИК  1166	УИК  1167	УИК  1169	УИК  1170	УИК  1171	УИК  1172	УИК  1173	УИК  1174	УИК  1175	УИК  1176	УИК  1177	УИК  1178	УИК  1179	УИК  1180	УИК  1181	УИК  1182	УИК  1183	УИК  1184	УИК  1185	УИК  1186	УИК  1187	УИК  1188	УИК  1189	УИК  1190	УИК  1191	УИК  1192	УИК  1194	УИК  1195	УИК  1196	УИК  1197	УИК  1198	УИК  1199	УИК  1200	УИК  1201	УИК  1202	УИК  1203	УИК  1204	УИК  1205	УИК  1206	УИК  1207	УИК  1208	УИК  1209	УИК  1210	УИК  1211	УИК  2467	УИК  2568					
1	"Число избирателей, внесенных в списки"	23502	1171	281	439	82	822	164	760	459	474	158	284	363	239	288	130	422	395	104	384	1036	1533	1081	625	691	786	959	582	373	729	241	359	320	399	202	471	246	328	209	204	617	142	685	277	224	353	262	140	210	652	280	90	777					
2	"Число бюллетеней, полученных участковыми комиссиями"	23599	1182	290	450	80	820	166	768	463	498	160	284	364	238	293	131	427	405	113	370	1023	1530	1080	600	695	790	962	583	367	730	237	360	322	402	203	476	250	332	210	194	612	145	687	274	226	377	263	139	211	651	280	90	796					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	12884	843	198	183	66	452	130	400	275	334	118	216	285	174	236	84	204	361	95	203	413	616	445	295	330	391	480	167	109	399	179	262	152	241	123	261	134	137	115	160	336	69	419	153	98	270	145	83	152	320	57	68	448					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2678	56	8	116	6	95	4	52	44	24	10	11	35	34	22	36	87	8	9	57	78	81	60	56	30	41	45	106	115	79	8	18	33	41	39	80	63	96	57	0	77	56	48	49	70	34	46	30	8	145	141	6	128					
6	Число погашенных бюллетеней	8037	283	84	151	8	273	32	316	144	140	32	57	44	30	35	11	136	36	9	110	532	833	575	249	335	358	437	310	143	252	50	80	137	120	41	135	53	99	38	34	199	20	220	72	58	73	72	26	51	186	82	16	220					
7	Число бюллетеней в переносных ящиках для голосования	2678	56	8	116	6	95	4	52	44	24	10	11	35	34	22	36	87	8	9	57	78	81	60	56	30	41	45	106	115	79	8	18	33	41	39	80	63	96	57	0	77	56	48	49	70	34	46	30	8	145	141	6	128					
8	Число бюллетеней в стационарных ящиках для голосования	12881	842	198	183	66	452	130	400	275	334	118	216	285	174	236	84	204	361	95	203	413	616	445	295	330	391	480	167	109	399	179	262	152	241	123	261	134	137	115	160	336	69	419	153	98	270	145	83	152	319	57	68	447					
9	Число недействительных бюллетеней	174	7	7	1	0	4	3	6	9	7	0	1	2	3	2	0	11	1	0	3	5	4	11	2	8	2	10	5	0	11	0	6	0	3	0	1	2	2	0	0	0	2	6	0	1	7	2	1	1	9	0	0	6					
10	Число действительных бюллетеней	15385	891	199	298	72	543	131	446	310	351	128	226	318	205	256	120	280	368	104	257	486	693	494	349	352	430	515	268	224	467	187	274	185	279	162	340	195	231	172	160	413	123	461	202	167	297	189	112	159	455	198	74	569					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	465	15	10	10	5	10	5	10	10	10	5	5	10	5	5	5	10	10	5	5	20	35	20	20	15	20	20	10	5	10	5	5	5	5	5	10	5	5	5	5	10	5	10	5	5	5	5	5	5	10	5	5	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	65	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	1	0	0	7	21	1	4	3	5	5	3	0	1	1	0	0	0	0	3	1	0	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	50	1	1	0	4	2	1	0	0	2	0	0	0	2	2	2	0	1	0	0	0	3	1	1	1	4	1	0	1	1	0	2	0	0	0	0	1	0	1	1	2	2	1	1	0	2	0	1	0	1	2	1	1					
14	Число погашенных открепительных удостоверений	400	15	10	10	5	10	5	8	9	10	5	5	10	5	5	5	9	9	5	5	13	14	19	16	12	15	15	7	5	9	4	5	5	5	5	7	4	5	4	4	10	5	10	5	5	4	4	4	5	10	5	5	10					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																											
18	"1. ""ЕДИНЕНИЕ"""	238	9	4	3	1	6	6	8	3	1	1	5	5	4	5	0	7	7	4	2	4	3	4	5	9	5	7	9	5	12	0	0	5	4	3	10	3	2	1	3	4	0	5	0	2	10	0	3	9	11	3	9	7					
		1.52%	1.00%	1.94%	1.00%	1.38%	1.09%	4.47%	1.76%	0.94%	0.27%	0.78%	2.20%	1.56%	1.92%	1.93%	0.0%	2.40%	1.89%	3.84%	0.76%	0.81%	0.43%	0.79%	1.42%	2.5%	1.15%	1.33%	3.29%	2.23%	2.51%	0.0%	0.0%	2.70%	1.41%	1.85%	2.93%	1.52%	0.85%	0.58%	1.87%	0.96%	0.0%	1.07%	0.0%	1.19%	3.28%	0.0%	2.65%	5.62%	2.37%	1.51%	12.16%	1.21%					
