Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																															
Дата голосования: 07.12.2003 0:00:00																															
																															
Наименование Избирательной комиссии:    Туапсинская городская																															
																															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																															
																															
		Сумма	УИК №5401	УИК №5402	УИК №5403	УИК №5404	УИК №5405	УИК №5406	УИК №5407	УИК №5408	УИК №5409	УИК №5410	УИК №5411	УИК №5412	УИК №5413	УИК №5414	УИК №5415	УИК №5416	УИК №5417	УИК №5418	УИК №5419	УИК №5420	УИК №5421	УИК №5422	УИК №5423	УИК №5499					
1	"Число избирателей, внесенных в списки"	54090	2253	2761	2321	2435	2661	2371	1852	2818	2344	2071	2064	2301	2894	2206	2255	2663	2718	2440	2283	3071	2738	1991	449	130					
2	"Число бюллетеней, полученных участковыми комиссиями"	49576	2000	2200	2100	2100	2500	2000	1800	2500	2200	1900	2000	2200	2900	2000	2000	2500	2500	2200	2000	2800	2600	2000	446	130					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	24922	1122	1211	1125	1352	1462	1112	853	1371	973	1066	812	1067	1396	1020	1162	1278	1169	1044	929	1224	1138	799	215	22					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	799	55	11	13	32	20	22	36	39	32	32	45	50	39	38	28	40	36	61	17	25	33	20	0	75					
6	Число погашенных бюллетеней	23855	823	978	962	716	1018	866	911	1090	1195	802	1143	1083	1465	942	810	1182	1295	1095	1054	1551	1429	1181	231	33					
7	Число бюллетеней в переносных ящиках для голосования	799	55	11	13	32	20	22	36	39	32	32	45	50	39	38	28	40	36	61	17	25	33	20	0	75					
8	Число бюллетеней в стационарных ящиках для голосования	24814	1122	1200	1125	1348	1442	1112	817	1369	973	1065	812	1066	1375	1020	1162	1278	1169	1044	929	1212	1138	799	215	22					
9	Число недействительных бюллетеней	359	23	10	16	19	15	10	9	52	7	7	10	19	17	5	13	12	22	21	11	35	11	10	3	2					
10	Число действительных бюллетеней	25254	1154	1201	1122	1361	1447	1124	844	1356	998	1090	847	1097	1397	1053	1177	1306	1183	1084	935	1202	1160	809	212	95					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	269	15	14	10	10	10	10	10	10	20	15	10	10	10	10	10	10	20	10	10	10	15	10	10	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	181	12	14	10	3	5	10	6	10	12	11	9	6	9	4	6	9	11	2	8	4	11	8	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	149	3	3	4	19	2	29	0	4	9	9	5	5	7	2	7	7	11	5	4	2	8	3	1	0					
14	Число погашенных открепительных удостоверений	88	3	0	0	7	5	0	4	0	8	4	1	4	1	6	4	1	9	8	2	6	4	2	9	0					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																															
18	"1. ""ЕДИНЕНИЕ"""	243	16	10	10	15	12	7	10	7	3	6	12	14	15	13	5	6	7	20	9	26	9	3	6	2					
		0.94%	1.35%	0.82%	0.87%	1.08%	0.82%	0.61%	1.17%	0.49%	0.29%	0.54%	1.40%	1.25%	1.06%	1.22%	0.42%	0.45%	0.58%	1.80%	0.95%	2.10%	0.76%	0.36%	2.79%	2.06%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	794	31	43	29	39	41	40	21	41	26	39	24	36	52	40	39	37	35	28	30	32	48	36	7	0					
