Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																													
Дата голосования: 18.09.2016																																																													
																																																													
"Наименование Избирательной комиссии:    Симферополь, Железнодорожная"																																																													
																																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																																													
																																																													
		Сумма	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	74370	1081	1448	1748	1635	1565	1422	1899	1787	1631	2094	1268	1378	2263	2140	2004	2530	1760	1762	1594	2030	2176	1934	1913	1765	1639	2230	2030	2387	1601	1948	2320	2152	1594	2104	1988	2128	1497	1661	1791	218	201	120	150	524	105	48	46	132	26	903									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	69400	1000	1300	1600	1600	1500	1300	1800	1700	1600	2000	1200	1300	2200	2000	1900	2300	1600	1700	1200	1900	1700	1550	1800	1700	1600	2100	2000	2000	1500	1900	2000	2000	1500	2000	1900	2000	1400	1500	1700	300	200	150	150	550	200	50	50	150	50	1000									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	35334	428	915	824	682	716	824	892	804	697	1038	643	596	852	920	740	1240	709	740	736	800	1150	1414	976	777	745	1012	861	489	739	844	823	1450	770	983	945	920	1028	752	794	78	179	120	137	312	105	44	45	132	12	902									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1202	9	14	15	30	28	27	31	38	34	24	15	28	53	27	21	36	19	24	18	4	16	21	20	9	32	18	12	12	30	32	56	40	16	17	11	20	15	8	9	82	4	0	8	212	0	0	1	0	6	0									
6	Число погашенных избирательных бюллетеней	32864	563	371	761	888	756	449	877	858	869	938	542	676	1295	1053	1139	1024	872	936	446	1096	534	115	804	914	823	1070	1127	1499	731	1024	1121	510	714	1000	944	1060	357	740	897	140	17	30	5	26	95	6	4	18	32	98									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1202	9	14	15	30	28	27	31	38	34	24	15	28	53	27	21	36	19	24	18	4	16	21	20	9	32	18	12	12	30	32	56	40	16	17	11	20	15	8	9	82	4	0	8	212	0	0	1	0	6	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	35333	428	915	824	682	716	824	892	804	697	1038	643	596	852	920	740	1240	709	740	736	800	1150	1414	976	777	745	1012	861	489	739	844	823	1450	770	983	944	920	1028	752	794	78	179	120	137	312	105	44	45	132	12	902									
9	Число недействительных избирательных бюллетеней	585	5	5	10	14	4	6	11	11	9	15	10	5	6	4	23	30	17	14	13	22	8	10	30	7	11	20	12	5	8	14	15	7	4	17	14	10	26	15	13	1	3	5	8	9	6	0	7	9	1	56									
10	Число действительных избирательных бюллетеней	35950	432	924	829	698	740	845	912	831	722	1047	648	619	899	943	738	1246	711	750	741	782	1158	1425	966	779	766	1010	861	496	761	862	864	1483	782	983	941	930	1017	745	790	159	180	115	137	515	99	44	39	123	17	846									
