Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																	
Дата голосования: 07.12.2003 0:00:00																																																																	
																																																																	
Наименование Избирательной комиссии:    Тимирязевский  район																																																																	
																																																																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																	
																																																																	
		Сумма	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №3065	УИК  5151	УИК  5156	УИК  5162	УИК  5168	УИК  5188	УИК  5189	УИК  5190	УИК  5191	УИК  5206	УИК  5211	УИК  5212	УИК  5213	УИК  5214	УИК  5253	УИК  5254	УИК  5255	УИК  5256	Участок  №5261	УИК  5263	УИК  5264	УИК  5265	УИК  5266	УИК  5267	УИК  5268	УИК  5269	УИК  5270	УИК  5271	УИК  5272	УИК  5273	УИК  5274	УИК  5275	УИК  5276	УИК  5277	УИК  5278	УИК  5279	УИК  5357					
1	"Число избирателей, внесенных в списки"	77911	2496	2589	2590	2829	2586	2288	2835	2732	2290	2584	2028	2390	2360	2153	2630	2763	2675	2518	2563	2777	2736	662	204	890	110	185	1929	217	400	174	52	430	50	42	42	216	35	68	156	133	481	324	1166	788	1188	2164	875	2561	2240	1273	1605	485	285	297	77	692	1532	471					
2	"Число бюллетеней, полученных участковыми комиссиями"	87860	2300	2400	2400	2600	2400	2100	2600	2500	2200	2600	1900	2200	2200	2000	2400	2600	2500	2300	2400	2600	2500	1000	350	700	110	180	1700	200	450	200	50	1100	500	600	500	225	105	70	200	3500	7000	600	1500	800	1270	2200	1000	3000	2200	1300	1400	550	300	310	100	700	1600	590					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	76	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	51908	1442	1512	1559	1516	1450	1369	1685	1540	1316	1763	1084	1312	1208	1186	1377	1721	1542	1507	1328	1608	1708	656	204	475	91	93	766	111	381	174	34	430	50	42	42	205	21	63	153	133	479	324	1016	762	1188	2057	848	2313	2023	1228	1351	482	279	282	59	602	1327	431					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1110	49	46	32	38	34	39	71	87	61	20	37	63	22	30	43	53	58	41	53	56	53	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	14	0	0	2	42	24	1	6	2	18	0	0	0					
6	Число погашенных бюллетеней	34740	809	842	809	1046	916	692	844	873	823	817	779	825	970	784	980	826	900	752	1019	936	739	344	146	225	14	87	923	89	69	26	16	670	450	558	458	20	70	7	47	3367	6519	276	406	38	82	129	152	680	175	30	25	67	15	26	23	98	273	159					
7	Число бюллетеней в переносных ящиках для голосования	1207	49	46	32	38	34	39	71	87	61	20	37	63	22	30	43	53	58	41	53	56	53	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	14	0	0	0	2	0	78	0	0	14	0	7	2	42	24	1	6	2	18	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	51691	1442	1512	1529	1494	1449	1369	1680	1472	1316	1744	1084	1310	1208	1185	1375	1721	1536	1507	1325	1608	1708	618	204	475	96	93	766	111	381	174	34	429	50	42	42	205	21	63	153	133	478	324	1010	762	1174	2057	848	2311	2023	1228	1350	482	279	282	59	602	1327	431					
9	Число недействительных бюллетеней	465	14	11	16	13	0	5	20	16	8	15	6	15	36	20	15	31	11	11	22	13	15	11	2	0	0	0	14	1	3	1	0	2	0	0	0	1	0	0	0	0	3	0	11	4	7	12	7	26	24	1	10	0	2	4	0	1	4	1					
10	Число действительных бюллетеней	52433	1477	1547	1545	1519	1483	1403	1731	1543	1369	1749	1115	1358	1194	1195	1403	1743	1583	1537	1356	1651	1746	607	202	475	96	93	763	110	378	173	34	427	50	42	42	204	35	63	153	133	477	324	1077	758	1167	2059	841	2292	2001	1269	1364	483	283	280	77	601	1323	430					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	2840	50	50	50	100	50	50	50	50	50	150	50	50	50	50	50	50	50	50	50	60	50	0	10	10	3	10	0	0	0	0	5	12	5	5	7	10	5	5	10	300	30	63	30	10	80	330	88	115	20	57	301	10	17	20	7	15	40	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	1520	24	35	27	79	39	33	34	48	31	116	28	37	18	18	28	31	43	29	24	47	29	0	0	0	0	2	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	63	13	10	80	93	70	97	16	34	186	4	6	13	7	3	20	0					
