Выборы Президента Российской Федерации																																																																															
																																																																															
"Наименование Избирательной комиссии:    Омск, Ленинская"																																																																															
																																																																															
Итоги голосования 																																																																															
																																																																															
		Сумма	УИК №1522	УИК №1523	УИК №1524	УИК №1525	УИК №1526	УИК №1527	УИК №1528	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1536	УИК №1537	УИК №1538	УИК №1539	УИК №1540	УИК №1541	УИК №1542	УИК №1543	УИК №1544	УИК №1545	УИК №1546	УИК №1547	УИК №1548	УИК №1549	УИК №1550	УИК №1551	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1572	УИК №1573	УИК №1574	УИК №1575	УИК №1576	УИК №1577	УИК №1578	УИК №1579	УИК №1580	УИК №1581	УИК №1582	УИК №1583	УИК №1584	УИК №1585	УИК №1586	УИК №1587	УИК №1588	УИК №1589	УИК №1590	УИК №1591	УИК №1592	УИК №1593					
1	"Число избирателей, внесенных в список"	162852	2437	2365	2249	2123	2003	2245	2344	2339	2305	2121	2069	2164	2096	2227	2300	2337	2811	2686	250	2251	2372	2843	2837	2596	2624	205	2369	2651	2467	2789	2399	768	2588	2361	2537	2584	2751	2786	2250	2466	2395	2228	2556	2131	2499	2283	1026	767	2957	2698	2481	2720	2659	2800	2734	2341	2620	839	1724	383	2495	2551	2538	2670	2533	2530	2442	2592	2457	2931	3142	165					
2	Число полученных избирательных бюллетеней	165725	2465	2400	2275	2085	2010	2270	2375	2335	2280	2055	2020	2210	2125	2260	2310	2380	3000	2700	250	2260	2405	2875	2865	2605	2665	250	2360	2680	2840	2830	2510	785	2680	2390	2660	2630	2795	2810	2260	2455	2425	2250	2575	2190	2520	2340	1035	780	3190	2775	2425	2830	2700	2850	2800	2385	2655	840	1760	390	2555	2630	2610	2705	2570	2570	2465	2625	2495	3000	3170	200					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	90252	1523	1341	1377	1253	1215	1383	1577	1399	1385	1281	1086	1290	1310	1310	1499	1378	1387	1410	250	1252	1358	1661	1784	1162	1267	205	1031	1104	1257	1315	906	375	1400	1323	1532	1415	1334	1407	1050	1416	978	963	1316	1017	1091	1007	607	542	2493	1422	1677	1537	1516	1575	1465	1077	1087	429	872	255	1286	1429	1470	1471	1438	1413	1302	1423	1400	1876	2445	165					
5	"Число избирательных бюллетеней, выданных вне помещения"	4414	91	125	70	61	67	103	73	81	70	94	157	61	66	80	43	51	41	64	0	31	103	83	81	33	59	0	75	87	56	32	88	49	55	69	34	60	35	38	40	42	66	28	39	42	85	72	42	13	79	63	97	86	79	77	50	43	58	34	28	128	37	44	47	56	47	53	87	74	48	32	132	0					
6	Число погашенных избирательных бюллетеней	71059	851	934	828	771	728	784	725	855	825	680	777	859	749	870	768	951	1572	1226	0	977	944	1131	1000	1410	1339	45	1254	1489	1527	1483	1516	361	1225	998	1094	1155	1426	1365	1170	997	1381	1259	1220	1131	1344	1261	386	225	618	1290	651	1207	1105	1198	1285	1265	1510	377	860	7	1232	1157	1093	1178	1085	1104	1076	1128	1047	1092	593	35					
7	Число избирательных бюллетеней в переносных ящиках	4414	91	125	70	61	67	103	73	81	70	94	157	61	66	80	43	51	41	64	0	31	103	83	81	33	59	0	75	87	56	32	88	49	55	69	34	60	35	38	40	42	66	28	39	42	85	72	42	13	79	63	97	86	79	77	50	43	58	34	28	128	37	44	47	56	47	53	87	74	48	32	132	0					
8	Число бюллетеней в стационарных ящиках для голосования	90071	1523	1341	1377	1249	1215	1383	1482	1399	1385	1281	1086	1290	1310	1310	1499	1378	1387	1408	250	1252	1358	1661	1780	1162	1267	205	1031	1104	1201	1315	906	375	1400	1323	1532	1414	1334	1407	1050	1416	978	961	1316	1017	1091	1007	607	542	2491	1411	1677	1537	1516	1573	1464	1077	1087	429	872	255	1285	1429	1470	1471	1438	1413	1302	1423	1400	1876	2445	165					
9	Число недействительных избирательных бюллетеней	796	12	11	4	16	9	10	7	5	5	8	11	15	5	12	5	6	19	18	4	11	11	20	23	8	21	2	11	17	14	15	6	12	11	13	17	8	15	21	3	5	13	10	9	11	2	16	14	6	15	0	17	6	9	11	7	18	9	6	20	13	7	18	19	15	9	10	15	16	4	17	8	0					
10	Число действительных избирательных бюллетеней	93689	1602	1455	1443	1294	1273	1476	1548	1475	1450	1367	1232	1336	1371	1378	1537	1423	1409	1454	246	1272	1450	1724	1838	1187	1305	203	1095	1174	1243	1332	988	412	1444	1379	1549	1466	1354	1424	1087	1453	1031	979	1346	1048	1174	1063	635	549	2555	1474	1757	1617	1586	1639	1507	1102	1136	457	880	370	1315	1455	1498	1512	1476	1456	1374	1481	1444	1891	2569	165					
