Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																					
Дата голосования: 02.12.2007																																					
																																					
Наименование Избирательной комиссии:    Каргасокская																																					
																																					
Сводная таблица результатов выборов																																					
																																					
		Сумма	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491					
1	"Число избирателей, внесенных в списки избирателей"	18370	1217	1298	974	758	795	1355	1322	544	589	221	117	161	224	183	167	121	417	431	274	230	227	1441	2894	334	444	181	276	390	206	579					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	16710	890	985	750	640	650	1020	1000	420	580	225	120	170	230	180	155	115	430	430	290	220	240	1520	3100	340	440	170	270	380	200	550					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	1469	54	0	0	54	5	45	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	33	1104	0	0	0	0	0	3	141					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	10195	626	652	453	414	432	653	726	252	311	179	86	129	197	149	125	85	260	313	145	154	116	908	1059	256	341	166	220	311	136	341					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1012	91	107	48	36	59	28	58	31	45	12	6	11	12	0	8	8	42	5	47	19	31	58	90	31	61	3	21	22	10	12					
6	Число погашенных избирательных бюллетеней	4034	119	226	249	136	154	294	216	137	224	34	28	30	21	31	22	22	128	112	68	47	93	521	847	53	38	1	29	47	51	56					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2478	145	107	48	90	64	73	58	31	45	12	6	11	12	0	8	8	42	5	77	19	31	91	1191	31	61	3	21	22	13	153					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	10186	626	652	453	414	430	653	723	252	311	179	86	129	197	149	125	85	260	313	145	154	116	906	1058	256	341	166	220	311	136	340					
9	Число недействительных избирательных бюллетеней	140	17	8	11	4	1	4	10	9	6	1	0	2	1	3	1	1	3	7	4	1	0	1	26	3	2	0	7	1	1	5					
10	Число действительных избирательных бюллетеней	12524	754	751	490	500	493	722	771	274	350	190	92	138	208	146	132	92	299	311	218	172	147	996	2223	284	400	169	234	332	148	488					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1300	70	70	70	70	70	70	70	50	50	30	30	20	20	20	20	20	40	40	30	30	30	70	70	40	40	30	30	40	20	40					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	224	18	13	12	4	9	18	16	2	14	0	0	8	0	5	1	0	3	3	7	0	0	22	63	0	5	0	0	0	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	337	12	1	2	0	0	5	2	1	0	3	3	2	6	2	7	1	2	3	2	3	1	11	215	3	3	2	2	1	1	41					
14	Число погашенных неиспользованных открепительных удостоверений	1076	52	57	58	66	61	52	54	48	36	30	30	12	20	15	19	20	37	37	23	30	30	48	7	40	35	30	30	40	20	39					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	18	3	2	3	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	3	0	0	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																					
18	1.Политическая партия «Аграрная партия России»	171	9	8	11	11	4	10	3	2	5	11	2	1	5	0	7	0	4	2	0	1	2	12	45	1	2	0	2	2	1	8					
		1.35%	1.17%	1.05%	2.20%	2.18%	0.81%	1.38%	0.38%	0.71%	1.40%	5.76%	2.17%	0.71%	2.39%	0.00%	5.26%	0.00%	1.32%	0.63%	0.00%	0.58%	1.36%	1.20%	2.00%	0.35%	0.50%	0.00%	0.83%	0.60%	0.67%	1.62%					
19	2.Всероссийская политическая партия «Гражданская Сила»	67	7	2	4	2	4	4	2	2	1	0	0	3	0	0	0	0	0	0	1	0	1	4	18	1	3	0	1	2	1	4					
		0.53%	0.91%	0.26%	0.80%	0.40%	0.81%	0.55%	0.26%	0.71%	0.28%	0.00%	0.00%	2.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.45%	0.00%	0.68%	0.40%	0.80%	0.35%	0.75%	0.00%	0.41%	0.60%	0.67%	0.81%					
20	3.Политическая партия «Демократическая партия России»	12	0	1	1	0	1	2	2	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1					
		0.09%	0.00%	0.13%	0.20%	0.00%	0.20%	0.28%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.67%	0.00%	0.00%	0.00%	0.00%	0.00%	0.58%	0.68%	0.00%	0.04%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1076	90	86	69	41	62	89	56	13	32	6	5	21	18	8	15	6	31	22	16	16	4	88	180	15	11	5	13	26	11	21					
		8.50%	11.67%	11.33%	13.77%	8.13%	12.55%	12.26%	7.17%	4.59%	8.99%	3.14%	5.43%	15.00%	8.61%	5.37%	11.28%	6.45%	10.26%	6.92%	7.21%	9.25%	2.72%	8.83%	8.00%	5.23%	2.74%	2.96%	5.39%	7.81%	7.38%	4.26%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	48	7	3	5	0	0	3	4	0	0	0	0	0	1	0	0	0	1	1	1	0	1	5	13	0	0	0	0	0	0	3					
		0.38%	0.91%	0.40%	0.99%	0.00%	0.00%	0.41%	0.51%	0.00%	0.00%	0.00%	0.00%	0.00%	0.48%	0.00%	0.00%	0.00%	0.33%	0.31%	0.45%	0.00%	0.68%	0.50%	0.58%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.61%					
23	6.Политическая партия «Партия социальной справедливости»	24	1	0	2	1	1	0	0	0	0	0	0	0	1	1	0	0	1	0	2	0	1	0	11	0	1	0	0	0	0	1					
		0.19%	0.13%	0.00%	0.40%	0.20%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.48%	0.67%	0.00%	0.00%	0.33%	0.00%	0.90%	0.00%	0.68%	0.00%	0.49%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.20%					
24	7.Политическая партия «Либерально-демократическая партия России»	1494	83	57	43	44	51	77	111	27	36	12	14	31	26	19	20	20	30	50	20	17	17	100	360	21	45	20	16	36	24	67					
		11.80%	10.77%	7.51%	8.58%	8.73%	10.32%	10.61%	14.21%	9.54%	10.11%	6.28%	15.22%	22.14%	12.44%	12.75%	15.04%	21.51%	9.93%	15.72%	9.01%	9.83%	11.56%	10.03%	16.01%	7.32%	11.19%	11.83%	6.64%	10.81%	16.11%	13.59%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	789	55	55	41	24	37	50	48	14	15	8	6	5	12	1	7	4	18	22	11	8	21	45	182	15	19	2	8	15	12	29					
