Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																				
Дата голосования: 07.12.2003 0:00:00																																				
																																				
Наименование Избирательной комиссии:    Становлянская																																				
																																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																				
																																				
		Сумма	УИК  744	УИК  745	УИК  746	УИК  747	УИК  748	УИК  749	УИК  750	УИК  751	УИК  752	УИК  753	УИК  754	УИК  755	УИК  756	УИК  757	УИК  758	УИК  759	УИК  760	УИК  761	УИК  762	УИК  763	УИК  764	УИК  765	УИК  766	УИК  767	УИК  768	УИК  769	УИК  770	УИК  771	УИК  772					
1	"Число избирателей, внесенных в списки"	15016	2541	1224	413	532	481	388	498	136	386	465	469	659	226	581	388	584	299	516	501	171	343	168	506	500	594	460	435	232	320					
2	"Число бюллетеней, полученных участковыми комиссиями"	14939	2489	1212	403	506	479	388	503	138	394	483	476	646	219	595	406	569	299	520	486	174	328	164	554	493	583	454	426	232	320					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	8468	1542	634	258	332	305	243	305	73	270	302	235	339	145	361	181	251	164	269	281	78	148	112	269	290	305	200	242	175	159					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2396	126	6	17	10	80	38	100	25	43	87	145	128	34	106	145	173	79	119	83	70	125	28	165	93	86	72	84	25	104					
6	Число погашенных бюллетеней	4075	821	572	128	164	94	107	98	40	81	94	96	179	40	128	80	145	56	132	122	26	55	24	120	110	192	182	100	32	57					
7	Число бюллетеней в переносных ящиках для голосования	2396	126	6	17	10	80	38	100	25	43	87	145	128	34	106	145	173	79	119	83	70	125	28	165	93	86	72	84	25	104					
8	Число бюллетеней в стационарных ящиках для голосования	8468	1542	634	258	332	305	243	305	73	270	302	235	339	145	361	181	251	164	269	281	78	148	112	269	290	305	200	242	175	159					
9	Число недействительных бюллетеней	271	27	13	5	11	20	11	9	3	19	15	1	6	3	9	7	1	6	9	10	0	12	4	19	7	15	15	1	8	5					
10	Число действительных бюллетеней	10593	1641	627	270	331	365	270	396	95	294	374	379	461	176	458	319	423	237	379	354	148	261	136	415	376	376	257	325	192	258					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	350	70	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	47	31	8	0	2	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	71	6	3	1	1	0	3	1	1	4	2	2	3	0	4	4	3	0	5	2	2	3	1	7	3	1	3	3	1	2					
14	Число погашенных открепительных удостоверений	303	39	2	10	8	10	10	9	10	10	10	10	10	10	7	10	10	10	10	10	10	9	10	10	10	9	10	10	10	10					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																				
18	"1. ""ЕДИНЕНИЕ"""	163	16	14	7	6	15	1	8	4	7	9	5	6	2	9	2	9	5	5	2	1	1	1	1	4	8	0	4	1	10					
		1.50%	0.95%	2.18%	2.54%	1.75%	3.89%	0.35%	1.97%	4.08%	2.23%	2.31%	1.31%	1.28%	1.11%	1.92%	0.61%	2.12%	2.05%	1.28%	0.54%	0.67%	0.36%	0.71%	0.23%	1.04%	2.04%	0.0%	1.22%	0.5%	3.80%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	167	27	15	3	11	5	3	5	0	4	5	1	1	2	7	5	3	3	1	2	1	6	9	16	7	5	8	7	1	4					
		1.53%	1.61%	2.34%	1.09%	3.21%	1.29%	1.06%	1.23%	0.0%	1.27%	1.28%	0.26%	0.21%	1.11%	1.49%	1.53%	0.70%	1.23%	0.25%	0.54%	0.67%	2.19%	6.42%	3.68%	1.82%	1.27%	2.94%	2.14%	0.5%	1.52%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	202	27	10	9	5	10	1	8	1	7	7	7	8	1	7	10	9	10	11	2	4	7	1	8	12	5	3	6	2	4					
		1.85%	1.61%	1.56%	3.27%	1.46%	2.59%	0.35%	1.97%	1.02%	2.23%	1.79%	1.84%	1.71%	0.55%	1.49%	3.06%	2.12%	4.11%	2.83%	0.54%	2.70%	2.56%	0.71%	1.84%	3.13%	1.27%	1.10%	1.84%	1.0%	1.52%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	135	35	4	5	6	1	3	6	0	1	7	5	4	2	1	1	5	4	11	3	0	1	1	3	5	10	4	4	0	3					
		1.24%	2.09%	0.62%	1.81%	1.75%	0.25%	1.06%	1.48%	0.0%	0.31%	1.79%	1.31%	0.85%	1.11%	0.21%	0.30%	1.17%	1.64%	2.83%	0.82%	0.0%	0.36%	0.71%	0.69%	1.30%	2.55%	1.47%	1.22%	0.0%	1.14%					
22	"5. ""За Русь Святую"""	82	8	5	1	4	4	2	4	1	5	1	1	6	1	3	4	4	4	5	4	1	4	1	3	0	1	3	0	2	0					
		0.75%	0.47%	0.78%	0.36%	1.16%	1.03%	0.71%	0.98%	1.02%	1.59%	0.25%	0.26%	1.28%	0.55%	0.64%	1.22%	0.94%	1.64%	1.28%	1.09%	0.67%	1.46%	0.71%	0.69%	0.0%	0.25%	1.10%	0.0%	1.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	27	2	0	1	0	1	0	3	0	0	2	0	2	0	0	0	2	0	0	0	0	2	1	1	0	2	2	1	4	1					
		0.24%	0.11%	0.0%	0.36%	0.0%	0.25%	0.0%	0.74%	0.0%	0.0%	0.51%	0.0%	0.42%	0.0%	0.0%	0.0%	0.47%	0.0%	0.0%	0.0%	0.0%	0.73%	0.71%	0.23%	0.0%	0.51%	0.73%	0.30%	2.0%	0.38%					
24	"7. ""Новый курс - Автомобильная Россия"""	48	11	1	0	1	0	0	1	0	1	7	0	6	0	0	0	2	1	2	1	1	0	0	4	1	3	4	1	0	0					
		0.44%	0.65%	0.15%	0.0%	0.29%	0.0%	0.0%	0.24%	0.0%	0.31%	1.79%	0.0%	1.28%	0.0%	0.0%	0.0%	0.47%	0.41%	0.51%	0.27%	0.67%	0.0%	0.0%	0.92%	0.26%	0.76%	1.47%	0.30%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	20	1	2	0	1	4	0	2	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	2	1	0	3	1	0					
		0.18%	0.05%	0.31%	0.0%	0.29%	1.03%	0.0%	0.49%	0.0%	0.0%	0.0%	0.0%	0.0%	0.55%	0.0%	0.0%	0.0%	0.82%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.52%	0.25%	0.0%	0.92%	0.5%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	25	8	3	0	0	1	1	0	0	0	0	1	4	0	1	0	0	0	4	0	0	0	0	0	1	0	1	0	0	0					
		0.23%	0.47%	0.46%	0.0%	0.0%	0.25%	0.35%	0.0%	0.0%	0.0%	0.0%	0.26%	0.85%	0.0%	0.21%	0.0%	0.0%	0.0%	1.03%	0.0%	0.0%	0.0%	0.0%	0.0%	0.26%	0.0%	0.36%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	1289	180	58	19	19	27	70	33	22	44	38	44	68	9	36	78	27	43	47	52	14	26	9	83	28	25	20	60	42	68					
		11.86%	10.79%	9.06%	6.90%	5.55%	7.01%	24.91%	8.14%	22.44%	14.05%	9.76%	11.57%	14.56%	5.02%	7.70%	23.92%	6.36%	17.69%	12.11%	14.28%	9.45%	9.52%	6.42%	19.12%	7.31%	6.39%	7.35%	18.40%	21.0%	25.85%					
28	"11. ""Истинные патриоты России"""	32	4	0	2	2	1	1	0	0	2	0	7	0	0	7	0	0	0	2	0	0	0	0	0	2	0	0	2	0	0					
		0.29%	0.23%	0.0%	0.72%	0.58%	0.25%	0.35%	0.0%	0.0%	0.63%	0.0%	1.84%	0.0%	0.0%	1.49%	0.0%	0.0%	0.0%	0.51%	0.0%	0.0%	0.0%	0.0%	0.0%	0.52%	0.0%	0.0%	0.61%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	75	10	2	5	0	2	0	1	0	4	2	4	3	1	4	2	7	0	3	1	1	1	2	4	7	3	0	6	0	0					
		0.69%	0.59%	0.31%	1.81%	0.0%	0.51%	0.0%	0.24%	0.0%	1.27%	0.51%	1.05%	0.64%	0.55%	0.85%	0.61%	1.65%	0.0%	0.77%	0.27%	0.67%	0.36%	1.42%	0.92%	1.82%	0.76%	0.0%	1.84%	0.0%	0.0%					
30	"13. ""Демократическая партия России"""	25	5	0	0	0	0	0	1	0	0	0	1	2	1	4	1	2	1	0	0	1	0	0	2	1	0	0	0	1	2					
		0.23%	0.29%	0.0%	0.0%	0.0%	0.0%	0.0%	0.24%	0.0%	0.0%	0.0%	0.26%	0.42%	0.55%	0.85%	0.30%	0.47%	0.41%	0.0%	0.0%	0.67%	0.0%	0.0%	0.46%	0.26%	0.0%	0.0%	0.0%	0.5%	0.76%					
31	"14. ""Великая Россия - Евразийский Союз"""	45	16	1	1	0	0	3	1	0	0	0	1	0	0	0	0	2	1	0	0	0	4	0	3	0	0	1	4	7	0					
		0.41%	0.95%	0.15%	0.36%	0.0%	0.0%	1.06%	0.24%	0.0%	0.0%	0.0%	0.26%	0.0%	0.0%	0.0%	0.0%	0.47%	0.41%	0.0%	0.0%	0.0%	1.46%	0.0%	0.69%	0.0%	0.0%	0.36%	1.22%	3.5%	0.0%					
32	"15. ""Партия СЛОН"""	20	10	3	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0					
		0.18%	0.59%	0.46%	0.72%	0.0%	0.0%	0.0%	0.24%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.71%	0.23%	0.26%	0.0%	0.0%	0.30%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	648	132	45	20	17	24	11	23	3	30	24	23	20	4	16	23	16	5	12	29	9	13	17	19	18	28	22	27	13	5					
		5.96%	7.91%	7.03%	7.27%	4.97%	6.23%	3.91%	5.67%	3.06%	9.58%	6.16%	6.05%	4.28%	2.23%	3.42%	7.05%	3.77%	2.05%	3.09%	7.96%	6.08%	4.76%	12.14%	4.37%	4.69%	7.16%	8.08%	8.28%	6.5%	1.90%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	54	3	1	0	3	0	0	1	0	1	5	2	3	1	0	0	3	4	4	1	1	6	4	2	3	2	1	0	0	3					
		0.49%	0.17%	0.15%	0.0%	0.87%	0.0%	0.0%	0.24%	0.0%	0.31%	1.28%	0.52%	0.64%	0.55%	0.0%	0.0%	0.70%	1.64%	1.03%	0.27%	0.67%	2.19%	2.85%	0.46%	0.78%	0.51%	0.36%	0.0%	0.0%	1.14%					
35	"18. ""ЛДПР"""	1462	250	114	34	66	57	40	78	17	40	45	52	44	15	69	32	43	23	46	42	14	50	16	66	38	56	30	51	18	16					
		13.45%	14.98%	17.81%	12.36%	19.29%	14.80%	14.23%	19.25%	17.34%	12.77%	11.56%	13.68%	9.42%	8.37%	14.77%	9.81%	10.14%	9.46%	11.85%	11.53%	9.45%	18.31%	11.42%	15.20%	9.92%	14.32%	11.02%	15.64%	9.0%	6.08%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	345	63	22	14	11	4	5	10	0	9	12	8	12	4	13	10	3	5	5	9	6	8	4	19	44	15	10	14	1	5					
		3.17%	3.77%	3.43%	5.09%	3.21%	1.03%	1.77%	2.46%	0.0%	2.87%	3.08%	2.10%	2.56%	2.23%	2.78%	3.06%	0.70%	2.05%	1.28%	2.47%	4.05%	2.93%	2.85%	4.37%	11.48%	3.83%	3.67%	4.29%	0.5%	1.90%					
37	"20. ""Политическая партия ""Единая Россия"""	3047	443	137	85	101	130	53	144	37	65	122	156	78	45	161	100	153	60	122	133	70	74	37	73	105	128	52	64	35	84					
		28.04%	26.55%	21.40%	30.90%	29.53%	33.76%	18.86%	35.55%	37.75%	20.76%	31.36%	41.05%	16.70%	25.13%	34.47%	30.67%	36.08%	24.69%	31.44%	36.53%	47.29%	27.10%	26.42%	16.82%	27.41%	32.73%	19.11%	19.63%	17.5%	31.93%					
38	"21. ""Российская Конституционно-демократическая партия"""	34	3	1	0	2	2	0	3	0	4	2	0	5	0	2	3	3	0	0	0	0	0	0	2	0	1	0	1	0	0					
		0.31%	0.17%	0.15%	0.0%	0.58%	0.51%	0.0%	0.74%	0.0%	1.27%	0.51%	0.0%	1.07%	0.0%	0.42%	0.92%	0.70%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.46%	0.0%	0.25%	0.0%	0.30%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	19	6	0	1	0	0	0	0	0	0	1	2	1	0	1	1	2	1	0	1	0	0	0	0	0	0	0	1	0	1					
		0.17%	0.35%	0.0%	0.36%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.25%	0.52%	0.21%	0.0%	0.21%	0.30%	0.47%	0.41%	0.0%	0.27%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.30%	0.0%	0.38%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	2157	297	165	57	59	59	58	56	5	50	75	32	166	84	104	38	109	44	87	57	20	48	28	73	79	64	85	53	56	49					
		19.85%	17.80%	25.78%	20.72%	17.25%	15.32%	20.64%	13.82%	5.10%	15.97%	19.28%	8.42%	35.54%	46.92%	22.26%	11.65%	25.70%	18.10%	22.42%	15.65%	13.51%	17.58%	19.99%	16.82%	20.62%	16.36%	31.24%	16.25%	28.0%	18.63%					
																																				
41	Против всех	472	84	24	4	17	18	18	7	5	20	10	27	22	3	13	9	19	21	12	15	4	10	4	32	18	19	11	15	8	3					
		4.34%	5.03%	3.75%	1.45%	4.97%	4.67%	6.40%	1.72%	5.10%	6.38%	2.57%	7.10%	4.71%	1.67%	2.78%	2.76%	4.48%	8.64%	3.09%	4.12%	2.70%	3.66%	2.85%	7.37%	4.69%	4.85%	4.04%	4.60%	4.0%	1.14%					
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
