Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																			
Дата голосования: 04.12.2011																																																			
																																																			
"Наименование Избирательной комиссии:    Самара, Железнодорожная"																																																			
																																																			
Сводная таблица результатов выборов																																																			
																																																			
		Сумма	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812					
1	"Число избирателей, внесенных в список избирателей"	98125	2033	2323	2121	2207	1927	1608	1639	14781	2084	2622	2441	2076	2268	2278	1642	1814	1592	1974	1599	2100	1424	1289	1865	1744	2585	1522	1911	2112	1925	1850	2464	2988	1937	1378	1801	1972	2190	1955	2108	1985	1425	2266	2154	146					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	79037	1900	2200	2000	2100	1800	1500	1237	1700	2000	2400	2200	2000	2100	2100	1600	1700	1500	1900	1500	1500	1400	1200	1800	1600	2500	1400	1400	1800	1800	1800	2400	2900	1800	1200	1700	1800	2000	1800	2000	1900	1300	2000	2000	600					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	59135	1565	1509	1371	1562	1522	1299	641	1070	1575	1736	1664	1492	1622	1630	1103	1376	1017	1450	1061	1176	797	857	1327	1343	1895	1005	1181	1783	1425	1457	1517	1894	1410	958	1310	1399	1477	1382	1456	1516	1000	1625	1534	146					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1499	15	41	28	23	26	49	36	35	37	25	53	21	60	21	30	46	65	31	40	82	71	39	72	37	67	30	66	10	32	13	26	23	37	14	5	29	14	25	26	25	35	29	10	0					
6	Число погашенных избирательных бюллетеней	18403	320	650	601	515	252	152	560	595	388	639	483	487	418	449	467	278	418	419	399	242	532	304	401	220	538	365	153	7	343	330	857	983	353	228	385	372	509	393	518	359	265	346	456	454					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1499	15	41	28	23	26	49	36	35	37	25	53	21	60	21	30	46	65	31	40	82	71	39	72	37	67	30	66	10	32	13	26	23	37	14	5	29	14	25	26	25	35	29	10	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	59081	1565	1509	1371	1539	1522	1299	641	1070	1575	1736	1664	1492	1622	1630	1103	1376	1017	1419	1061	1176	797	857	1327	1343	1895	1005	1181	1783	1425	1457	1517	1894	1410	958	1310	1399	1477	1382	1456	1516	1000	1625	1534	146					
9	Число недействительных избирательных бюллетеней	885	20	25	34	0	0	150	16	11	18	20	9	22	32	23	23	17	30	27	13	0	11	16	32	11	19	18	19	0	15	17	17	20	7	7	18	25	17	30	16	24	11	12	31	2					
10	Число действительных избирательных бюллетеней	59695	1560	1525	1365	1562	1548	1198	661	1094	1594	1741	1708	1491	1650	1628	1110	1405	1052	1423	1088	1258	857	880	1367	1369	1943	1017	1228	1793	1442	1453	1526	1897	1440	965	1297	1403	1474	1377	1466	1517	1024	1642	1513	144					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	914	21	21	21	23	31	32	21	21	26	21	21	21	31	21	21	21	21	21	21	21	21	21	21	21	26	21	21	24	35	21	21	25	15	18	15	20	15	15	15	20	15	15	15	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	797	20	17	19	22	22	29	15	15	24	21	21	21	30	21	18	20	18	21	21	15	20	15	20	21	26	15	15	24	26	15	15	25	10	6	15	19	15	15	15	20	15	7	13	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1405	22	9	2	16	3	7	294	7	12	12	22	9	33	9	13	16	16	28	4	16	28	50	5	0	6	20	30	0	51	0	11	11	30	12	57	44	53	42	42	57	64	47	49	146					
14	Число погашенных неиспользованных открепительных удостоверений	117	1	4	2	1	9	3	6	6	2	0	0	0	1	0	3	1	3	0	0	6	1	6	1	0	0	6	6	0	9	6	6	0	5	12	0	1	0	0	0	0	0	8	2	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	273	11	5	9	10	3	9	4	5	3	14	12	3	10	6	5	3	8	5	6	10	6	3	8	3	7	5	4	6	5	7	14	7	7	3	11	3	2	5	11	2	4	4	5	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
