Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																							
Дата голосования: 18.09.2016																																																																							
																																																																							
Наименование Избирательной комиссии:    Киреевская																																																																							
																																																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																																																							
																																																																							
		Сумма	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК №1349	УИК №1350	УИК №1351	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №1357	УИК №1358	УИК №1359	УИК №1360									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	58761	668	1361	1291	1548	1264	1317	1281	1268	1327	1189	1279	1368	1231	1188	1336	998	1449	1304	1812	1877	1700	1577	414	1136	1208	1111	1337	1535	1098	2404	2168	280	1343	1248	937	1294	405	404	405	239	194	748	278	326	681	698	715	507	583	404	280	480	286	354	663	1448	437	331	629	120									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	53975	625	1300	1200	1400	1175	1200	1200	1175	1225	1100	1175	1250	1125	1100	1225	925	1325	1200	1650	1700	1550	1425	400	1050	1100	1025	1225	1400	1000	2175	2000	250	1225	1150	850	1200	375	350	375	225	175	700	250	300	600	625	650	475	525	375	250	425	250	325	600	1325	400	300	550	250									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	23337	229	587	474	496	457	428	499	547	529	492	572	554	409	451	395	330	396	460	667	653	754	607	171	743	386	429	510	502	433	983	826	121	742	488	508	409	99	191	144	98	91	427	136	137	274	346	481	334	337	179	157	237	121	206	216	414	133	90	132	120									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3002	46	11	20	34	40	31	25	30	25	31	10	34	30	29	33	23	94	37	34	51	49	57	22	45	33	44	56	38	60	68	97	36	44	36	33	164	107	48	34	56	14	115	38	34	148	194	100	52	25	37	9	71	42	41	96	30	25	58	78	0									
6	Число погашенных избирательных бюллетеней	27636	350	702	706	870	678	741	676	598	671	577	593	662	686	620	797	572	835	703	949	996	747	761	207	262	681	552	659	860	507	1124	1077	93	439	626	309	627	169	111	197	71	70	158	76	129	178	85	69	89	163	159	84	117	87	78	288	881	242	152	340	130									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	3002	46	11	20	34	40	31	25	30	25	31	10	34	30	29	33	23	94	37	34	51	49	57	22	45	33	44	56	38	60	68	97	36	44	36	33	164	107	48	34	56	14	115	38	34	148	194	100	52	25	37	9	71	42	41	96	30	25	58	78	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	23317	229	587	474	496	457	428	499	547	529	492	572	535	409	451	395	330	396	460	667	653	754	607	171	743	386	429	510	502	432	983	826	121	742	488	508	409	99	191	144	98	91	427	136	137	274	346	481	334	337	179	157	237	121	206	216	414	133	90	132	120									
9	Число недействительных избирательных бюллетеней	507	53	26	20	11	5	7	15	12	8	13	23	13	10	10	7	11	14	14	13	25	10	0	6	8	2	13	13	13	4	20	13	5	7	9	1	3	0	3	6	1	0	2	0	1	1	2	5	9	4	3	3	0	0	1	0	14	5	1	6	3									
10	Число действительных избирательных бюллетеней	25812	222	572	474	519	492	452	509	565	546	510	559	556	429	470	421	342	476	483	688	679	793	664	187	780	417	460	553	527	488	1031	910	152	779	515	540	570	206	236	172	153	105	540	174	170	421	538	576	377	358	213	163	308	163	246	312	430	153	147	204	117									
