Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																				
Дата голосования: 18.09.2016																				
																				
Наименование Избирательной комиссии:    Октябрьская																				
																				
Сводная таблица итогов голосования по федеральному избирательному округу																				
																				
		Сумма	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	4045	351	154	120	280	1222	1274	165	308	171									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	4020	350	150	120	280	1220	1270	160	300	170									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	1410	155	65	43	95	408	431	58	90	65									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	180	10	9	7	27	47	33	13	23	11									
6	Число погашенных избирательных бюллетеней	2430	185	76	70	158	765	806	89	187	94									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	180	10	9	7	27	47	33	13	23	11									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	1410	155	65	43	95	408	431	58	90	65									
9	Число недействительных избирательных бюллетеней	27	2	1	0	2	9	11	1	1	0									
10	Число действительных избирательных бюллетеней	1563	163	73	50	120	446	453	70	112	76									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	49	5	3	3	5	10	10	3	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	7	0	0	0	1	3	3	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	14	1	1	1	0	2	7	0	1	1									
14	Число погашенных неиспользованных открепительных удостоверений	42	5	3	3	4	7	7	3	5	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	6	0	0	1	0	2	2	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0									
																				
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	33	13	0	1	2	3	8	0	4	2									
		2.08%	7.88%	0.00%	2.00%	1.64%	0.66%	1.72%	0.00%	3.54%	2.63%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	56	4	2	1	7	18	12	6	3	3									
		3.52%	2.42%	2.70%	2.00%	5.74%	3.96%	2.59%	8.45%	2.65%	3.95%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	29	1	0	0	1	7	8	8	4	0									
		1.82%	0.61%	0.00%	0.00%	0.82%	1.54%	1.72%	11.27%	3.54%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	611	61	32	27	47	172	151	24	55	42									
		38.43%	36.97%	43.24%	54.00%	38.52%	37.80%	32.54%	33.80%	48.67%	55.26%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	8	0	0	0	2	4	2	0	0	0									
		0.50%	0.00%	0.00%	0.00%	1.64%	0.88%	0.43%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	4	0	0	0	0	0	4	0	0	0									
		0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.86%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	361	42	18	8	27	90	131	9	19	17									
		22.70%	25.45%	24.32%	16.00%	22.13%	19.78%	28.23%	12.68%	16.81%	22.37%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	6	0	0	0	0	3	3	0	0	0									
		0.38%	0.00%	0.00%	0.00%	0.00%	0.66%	0.65%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	12	1	0	0	0	4	6	0	1	0									
		0.75%	0.61%	0.00%	0.00%	0.00%	0.88%	1.29%	0.00%	0.88%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	2	0	0	0	1	0	0	0	1	0									
		0.13%	0.00%	0.00%	0.00%	0.82%	0.00%	0.00%	0.00%	0.88%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	15	0	0	0	2	4	6	1	2	0									
		0.94%	0.00%	0.00%	0.00%	1.64%	0.88%	1.29%	1.41%	1.77%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	374	41	20	11	26	127	99	21	19	10									
		23.52%	24.85%	27.03%	22.00%	21.31%	27.91%	21.34%	29.58%	16.81%	13.16%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	11	0	0	0	2	3	5	0	1	0									
		0.69%	0.00%	0.00%	0.00%	1.64%	0.66%	1.08%	0.00%	0.88%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	41	0	1	2	3	11	18	1	3	2									
		2.58%	0.00%	1.35%	4.00%	2.46%	2.42%	3.88%	1.41%	2.65%	2.63%									
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
