Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																	
Дата голосования: 18.09.2016																																	
																																	
Наименование Избирательной комиссии:    Тимирязевский район																																	
																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																	
																																	
		Сумма	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №3653									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	49960	2508	2418	2553	2397	2586	2433	2110	2625	2048	2428	1944	2219	2325	2119	2539	2826	1355	2564	2912	2665	2199	187									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	34812	1710	1710	1800	1680	1810	1700	1470	1840	1430	1720	1290	1570	1610	1420	1740	1926	986	1800	2030	1830	1540	200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	16761	977	818	868	833	817	792	762	938	692	815	581	602	640	625	723	1017	425	970	863	1032	831	140									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	684	26	35	31	32	35	32	31	44	15	32	25	29	29	19	41	48	19	37	34	30	13	47									
6	Число погашенных избирательных бюллетеней	17367	707	857	901	815	958	876	677	858	723	873	684	939	941	776	976	861	542	793	1133	768	696	13									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	684	26	35	31	32	35	32	31	44	15	32	25	29	29	19	41	48	19	37	34	30	13	47									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	16713	977	818	861	830	814	791	762	933	692	815	581	601	640	624	722	1010	420	967	860	1029	826	140									
9	Число недействительных избирательных бюллетеней	334	15	13	19	19	11	12	18	16	14	21	20	9	15	9	19	17	13	18	24	17	7	8									
10	Число действительных избирательных бюллетеней	17063	988	840	873	843	838	811	775	961	693	826	586	621	654	634	744	1041	426	986	870	1042	832	179									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	492	25	25	20	20	20	28	20	22	20	37	30	35	20	20	20	25	20	20	20	25	20	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	333	19	22	13	17	11	22	11	22	7	29	19	23	12	14	9	18	9	14	14	22	6	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	774	90	7	4	18	9	7	31	8	20	17	11	7	46	115	76	95	35	11	23	118	19	7									
14	Число погашенных неиспользованных открепительных удостоверений	159	6	3	7	3	9	6	9	0	13	8	11	12	8	6	11	7	11	6	6	3	14	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	47	2	2	2	1	3	6	2	1	3	0	1	1	1	1	2	2	0	2	2	8	5	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	588	33	33	39	31	24	33	23	40	21	29	29	27	6	22	27	37	12	33	19	36	30	4									
		3.38%	3.29%	3.87%	4.37%	3.60%	2.83%	4.01%	2.90%	4.09%	2.97%	3.42%	4.79%	4.29%	0.90%	3.42%	3.54%	3.50%	2.73%	3.29%	2.13%	3.40%	3.58%	2.14%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	309	20	16	20	13	15	14	16	15	15	8	11	11	9	20	21	15	6	16	15	22	7	4									
		1.78%	1.99%	1.88%	2.24%	1.51%	1.77%	1.70%	2.02%	1.54%	2.12%	0.94%	1.82%	1.75%	1.35%	3.11%	2.75%	1.42%	1.37%	1.59%	1.68%	2.08%	0.83%	2.14%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	482	24	28	28	28	22	20	23	30	5	29	12	14	23	13	16	28	7	33	21	37	34	7									
		2.77%	2.39%	3.28%	3.14%	3.25%	2.59%	2.43%	2.90%	3.07%	0.71%	3.42%	1.98%	2.22%	3.44%	2.02%	2.10%	2.65%	1.59%	3.29%	2.35%	3.49%	4.05%	3.74%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5099	264	233	277	245	285	224	231	249	183	249	197	209	242	238	249	328	124	261	260	270	222	59									
		29.31%	26.32%	27.32%	31.05%	28.42%	33.57%	27.22%	29.13%	25.49%	25.88%	29.40%	32.51%	33.17%	36.17%	37.01%	32.63%	31.00%	28.25%	25.99%	29.08%	25.50%	26.46%	31.55%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	346	22	19	20	20	12	14	12	27	13	8	16	12	14	6	15	21	10	22	19	25	18	1									
		1.99%	2.19%	2.23%	2.24%	2.32%	1.41%	1.70%	1.51%	2.76%	1.84%	0.94%	2.64%	1.90%	2.09%	0.93%	1.97%	1.98%	2.28%	2.19%	2.13%	2.36%	2.15%	0.53%									
