Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																											
Дата голосования: 18.09.2016																																											
																																											
Наименование Избирательной комиссии:    Динская																																											
																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																											
																																											
		Сумма	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1250	УИК №1299									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	67796	2992	2224	2306	1752	2087	1843	1935	2360	1750	2064	1604	1942	2320	1110	2993	1196	841	2573	2507	2657	2888	2330	2101	2090	1843	2488	2785	2563	2821	2731	1723	377									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	65975	3000	2200	2300	1700	2000	1800	1900	2300	1700	2000	1500	1900	2400	1100	3000	1100	800	2500	2500	2600	2600	2300	2000	2000	1700	2400	2700	2500	2800	2700	1600	375									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	21185	1049	693	759	570	670	541	755	639	495	468	569	858	535	375	1007	355	268	779	769	811	787	718	682	672	651	764	1023	624	649	598	994	58									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2639	56	65	91	93	49	79	20	94	36	59	50	79	77	63	75	54	91	51	48	32	52	125	72	54	59	77	119	155	135	166	57	306									
6	Число погашенных избирательных бюллетеней	42151	1895	1442	1450	1037	1281	1180	1125	1567	1169	1473	881	963	1788	662	1918	691	441	1670	1683	1757	1761	1457	1246	1274	990	1559	1558	1721	2016	1936	549	11									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2637	56	65	91	93	49	79	20	94	36	59	50	79	77	63	75	54	91	51	48	32	52	125	72	54	59	77	119	155	135	166	57	304									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	21184	1049	693	759	570	670	541	755	639	495	468	569	858	535	375	1007	355	268	779	769	811	787	718	682	671	651	764	1023	624	649	598	994	58									
9	Число недействительных избирательных бюллетеней	438	24	16	5	14	13	14	9	14	11	11	7	3	11	16	14	9	6	18	13	17	19	25	13	18	9	14	10	47	18	11	0	9									
10	Число действительных избирательных бюллетеней	23383	1081	742	845	649	706	606	766	719	520	516	612	934	601	422	1068	400	353	812	804	826	820	818	741	707	701	827	1132	732	766	753	1051	353									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1085	50	35	35	26	35	30	30	40	25	35	25	30	40	15	55	15	10	45	45	45	45	30	35	35	30	40	45	45	45	45	24	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	569	32	35	22	18	18	28	25	13	15	23	19	15	18	15	32	14	8	6	19	15	9	30	20	12	12	16	16	11	14	19	20	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	376	16	17	15	14	25	16	10	10	22	17	12	17	7	9	10	3	2	5	2	11	6	15	14	13	8	8	11	8	13	7	25	8									
14	Число погашенных неиспользованных открепительных удостоверений	516	18	0	13	8	17	2	5	27	10	12	6	15	22	0	23	1	2	39	26	30	36	0	15	23	18	24	29	34	31	26	4	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	49	2	5	4	3	4	3	1	1	4	3	1	1	1	0	0	0	0	1	0	3	0	0	0	0	0	5	2	2	1	2	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
