Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва												
Дата голосования: 02.12.2007												
												
Наименование Избирательной комиссии:    р.п. Кольцово												
												
Сводная таблица результатов выборов												
												
		Сумма	УИК №1442	УИК №1443	УИК №1444	УИК №1445	УИК №1446					
1	"Число избирателей, внесенных в списки избирателей"	8675	1880	1820	1386	2162	1427					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	8670	1893	1796	1397	2185	1399					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	5652	1206	1196	890	1484	876					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	106	17	31	15	22	21					
6	Число погашенных избирательных бюллетеней	2912	670	569	492	679	502					
7	Число избирательных бюллетеней в переносных ящиках для голосования	106	17	31	15	22	21					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	5627	1203	1175	889	1484	876					
9	Число недействительных избирательных бюллетеней	60	9	13	14	11	13					
10	Число действительных избирательных бюллетеней	5673	1211	1193	890	1495	884					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	99	19	20	20	20	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	56	12	13	9	20	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	38	11	10	0	10	7					
14	Число погашенных неиспользованных открепительных удостоверений	43	7	7	11	0	18					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	0	0	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0					
												
18	1.Политическая партия «Аграрная партия России»	111	29	20	23	20	19					
		1.94%	2.38%	1.66%	2.54%	1.33%	2.12%					
19	2.Всероссийская политическая партия «Гражданская Сила»	103	21	29	20	28	5					
		1.80%	1.72%	2.40%	2.21%	1.86%	0.56%					
20	3.Политическая партия «Демократическая партия России»	12	4	3	2	1	2					
		0.21%	0.33%	0.25%	0.22%	0.07%	0.22%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	770	154	171	142	156	147					
		13.43%	12.62%	14.18%	15.71%	10.36%	16.39%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	111	21	23	19	40	8					
		1.94%	1.72%	1.91%	2.10%	2.66%	0.89%					
23	6.Политическая партия «Партия социальной справедливости»	22	3	5	4	8	2					
		0.38%	0.25%	0.41%	0.44%	0.53%	0.22%					
24	7.Политическая партия «Либерально-демократическая партия России»	425	103	77	59	111	75					
		7.41%	8.44%	6.38%	6.53%	7.37%	8.36%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	430	93	98	64	127	48					
		7.50%	7.62%	8.13%	7.08%	8.43%	5.35%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	48	13	11	6	12	6					
		0.84%	1.07%	0.91%	0.66%	0.80%	0.67%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	3472	746	718	520	935	553					
		60.56%	61.15%	59.54%	57.52%	62.08%	61.65%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	169	24	38	31	57	19					
		2.95%	1.97%	3.15%	3.43%	3.78%	2.12%					
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
