Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																										
Дата голосования: 18.09.2016																																										
																																										
Наименование Избирательной комиссии:    Комаричская																																										
																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																										
																																										
		Сумма	УИК №544	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	13686	593	1042	548	587	984	1050	630	992	1263	471	381	367	205	240	133	177	173	473	303	201	174	223	280	137	269	157	857	263	147	122	244									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	13760	600	1060	550	590	990	1060	630	1010	1260	480	400	370	200	240	130	180	180	470	300	200	170	220	280	140	270	150	860	260	140	120	250									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7671	343	646	317	369	688	610	400	561	377	303	155	278	111	75	73	105	106	235	133	108	102	122	126	86	149	100	529	136	95	87	146									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1094	18	31	25	28	26	23	52	120	110	47	54	9	19	92	19	10	26	75	23	37	18	16	49	12	24	8	45	25	6	22	25									
6	Число погашенных избирательных бюллетеней	4995	239	383	208	193	276	427	178	329	773	130	191	83	70	73	38	65	48	160	144	55	50	82	105	42	97	42	286	99	39	11	79									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1094	18	31	25	28	26	23	52	120	110	47	54	9	19	92	19	10	26	75	23	37	18	16	49	12	24	8	45	25	6	22	25									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7671	343	646	317	369	688	610	400	561	377	303	155	278	111	75	73	105	106	235	133	108	102	122	126	86	149	100	529	136	95	87	146									
9	Число недействительных избирательных бюллетеней	144	5	9	5	12	52	11	3	5	5	4	4	2	0	0	4	0	1	0	1	1	0	4	2	1	0	0	5	3	2	0	3									
10	Число действительных избирательных бюллетеней	8621	356	668	337	385	662	622	449	676	482	346	205	285	130	167	88	115	131	310	155	144	120	134	173	97	173	108	569	158	99	109	168									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	200	7	10	5	5	12	12	7	12	12	6	6	5	5	5	5	5	5	6	5	5	5	5	5	5	5	5	10	5	5	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	106	7	10	5	3	7	10	2	8	4	2	6	0	0	0	1	0	5	2	1	0	2	1	0	5	5	0	8	5	0	2	5									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	29	0	1	0	0	1	3	5	0	1	4	0	0	0	0	1	0	0	0	0	0	2	3	3	1	0	0	1	1	1	0	1									
14	Число погашенных неиспользованных открепительных удостоверений	94	0	0	0	2	5	2	5	4	8	4	0	5	5	5	4	5	0	4	4	5	3	4	5	0	0	5	2	0	5	3	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	31	1	2	1	0	3	0	5	3	5	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	5									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	66	2	2	2	4	10	6	4	3	5	6	1	2	0	0	1	1	0	2	2	1	1	1	0	1	0	3	5	1	0	0	0									
		0.75%	0.55%	0.30%	0.58%	1.01%	1.40%	0.95%	0.88%	0.44%	1.03%	1.71%	0.48%	0.70%	0.00%	0.00%	1.09%	0.87%	0.00%	0.65%	1.28%	0.69%	0.83%	0.72%	0.00%	1.02%	0.00%	2.78%	0.87%	0.62%	0.00%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	187	12	7	6	5	11	19	8	11	18	7	8	4	7	1	2	7	0	5	6	4	1	5	5	1	6	1	8	5	1	2	4									
		2.13%	3.32%	1.03%	1.75%	1.26%	1.54%	3.00%	1.77%	1.62%	3.70%	2.00%	3.83%	1.39%	5.38%	0.60%	2.17%	6.09%	0.00%	1.61%	3.85%	2.76%	0.83%	3.62%	2.86%	1.02%	3.47%	0.93%	1.39%	3.11%	0.99%	1.83%	2.34%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	79	5	8	4	6	3	5	2	8	14	2	2	1	0	0	0	0	0	1	1	1	1	2	1	4	2	1	3	0	1	0	1									
