Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																				
Дата голосования: 18.09.2016																																																																																				
																																																																																				
Наименование Избирательной комиссии:    Территориальная избирательная комиссия №29																																																																																				
																																																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																				
																																																																																				
		Сумма	УИК №2104	УИК №2105	УИК №2106	УИК №2107	УИК №2108	УИК №2109	УИК №2110	УИК №2111	УИК №2112	УИК №2113	УИК №2114	УИК №2115	УИК №2116	УИК №2117	УИК №2118	УИК №2119	УИК №2120	УИК №2121	УИК №2122	УИК №2123	УИК №2124	УИК №2125	УИК №2126	УИК №2127	УИК №2128	УИК №2129	УИК №2130	УИК №2131	УИК №2132	УИК №2133	УИК №2134	УИК №2135	УИК №2136	УИК №2137	УИК №2138	УИК №2139	УИК №2140	УИК №2141	УИК №2142	УИК №2143	УИК №2144	УИК №2145	УИК №2146	УИК №2147	УИК №2148	УИК №2149	УИК №2150	УИК №2151	УИК №2152	УИК №2153	УИК №2154	УИК №2155	УИК №2156	УИК №2157	УИК №2158	УИК №2159	УИК №2160	УИК №2161	УИК №2162	УИК №2163	УИК №2164	УИК №2165	УИК №2166	УИК №2167	УИК №2168	УИК №2169	УИК №2170	УИК №2171	УИК №2172	УИК №2173	УИК №2174	УИК №2175	УИК №2176									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	165809	1315	2426	2375	2105	2105	2235	2250	2310	2391	2795	2634	2544	2972	2233	2070	2557	2348	1989	2600	2557	2670	1690	2122	1958	2271	1941	1750	2224	2429	2497	2160	2728	2907	2336	2340	2559	2629	1662	2369	2510	2281	3349	2413	2419	2169	2105	2871	2518	2123	1932	1988	2834	2283	2167	1944	2642	2878	2904	2477	2282	2405	2369	2398	2460	1695	1382	2007	2166	1823	2415	1682	1429	436									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	146350	1000	2000	2000	2000	2000	2000	2000	2000	2000	2500	2500	2500	2500	2000	2000	2500	2000	1500	2500	2500	2500	1500	2000	1500	2000	1500	1500	2000	2000	2500	2000	2500	2500	2000	2000	2500	2500	1500	2000	2500	2000	2000	2000	2000	2000	2000	2500	2500	2000	1500	1500	2500	2000	2000	1500	2500	2500	2500	2000	2000	2000	2000	2000	2000	1500	1000	2000	2000	1500	2000	2500	1000	350									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	47318	312	717	702	533	559	689	572	624	520	936	663	780	728	676	572	750	663	537	572	767	715	559	663	481	663	572	516	559	650	533	595	791	793	705	756	798	700	528	704	806	675	671	686	753	671	659	892	801	622	585	481	507	711	656	536	876	882	751	785	655	693	640	686	678	468	442	621	678	533	713	820	439	93									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	552	10	10	11	9	7	7	8	11	18	7	9	10	5	13	18	5	5	4	19	6	7	3	12	9	10	8	5	7	15	14	2	10	1	7	5	15	4	12	2	7	3	7	8	5	4	4	5	8	13	5	7	5	14	9	3	12	13	6	4	7	6	6	2	8	3	5	2	10	6	11	3	1	0									
6	Число погашенных избирательных бюллетеней	98480	678	1273	1287	1458	1434	1304	1420	1365	1462	1557	1828	1710	1767	1311	1410	1745	1332	959	1909	1727	1778	938	1325	1010	1327	920	979	1434	1335	1953	1403	1699	1706	1288	1239	1687	1796	960	1294	1687	1322	1322	1306	1242	1325	1337	1603	1691	1365	910	1012	1988	1275	1335	961	1612	1605	1743	1211	1338	1301	1354	1312	1314	1029	553	1377	1312	961	1276	1677	560	257									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	551	10	10	11	9	7	7	8	11	18	7	9	10	5	13	18	5	5	4	19	6	7	3	12	9	10	8	5	7	15	14	2	10	1	7	5	15	4	12	2	7	3	7	7	5	4	4	5	8	13	5	7	5	14	9	3	12	13	6	4	7	6	6	2	8	3	5	2	10	6	11	3	1	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	46876	297	707	693	521	550	679	558	617	511	928	658	771	719	668	563	745	651	537	561	755	708	553	658	473	653	566	513	550	637	520	595	791	791	690	751	798	700	515	699	806	675	671	686	753	671	655	887	801	622	583	480	496	711	654	532	859	869	747	778	655	684	632	679	670	464	415	621	678	528	713	820	438	93									
9	Число недействительных избирательных бюллетеней	884	7	22	5	6	8	6	6	7	8	5	9	7	8	6	8	10	7	8	7	6	6	5	9	4	8	6	2	4	7	4	11	17	21	14	12	15	6	0	5	13	19	24	29	10	17	24	23	21	21	16	7	3	14	26	10	30	21	10	28	23	27	20	18	9	4	4	12	30	6	25	23	3	2									
10	Число действительных избирательных бюллетеней	46543	300	695	699	524	549	680	560	621	521	930	658	774	716	675	573	740	649	533	573	755	709	551	661	478	655	568	516	553	645	530	586	784	771	683	744	798	698	527	696	800	659	654	664	748	658	635	869	788	614	572	480	498	711	637	525	841	861	743	754	639	663	618	663	669	463	416	611	658	528	699	800	436	91									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	3570	40	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	40	50	50	50	50	50	50	50	50	50	50	40	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	40	40	50	50	50	50	50	40	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1235	11	19	22	17	19	19	14	16	23	19	13	18	18	21	17	17	19	10	14	20	27	15	21	12	11	13	6	27	20	14	9	15	28	18	18	16	19	10	13	15	17	8	7	26	17	21	32	24	21	14	11	19	13	16	11	19	21	25	15	25	14	16	25	19	9	6	25	17	18	20	21	7	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	543	9	6	13	7	7	9	8	5	7	3	10	13	9	3	3	17	5	21	3	12	12	20	0	5	5	7	3	3	1	1	9	12	5	9	5	6	6	5	10	5	4	4	5	1	16	9	10	12	9	9	1	5	9	4	3	5	10	13	6	9	13	4	2	1	3	10	12	6	9	6	6	26	2									
