Выборы Президента Российской Федерации																																																																		
																																																																		
Наименование Избирательной комиссии:    Истринская																																																																		
																																																																		
Итоги голосования 																																																																		
																																																																		
		Сумма	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678					
1	"Число избирателей, внесенных в список"	94985	3041	2799	2443	2872	2595	2645	2809	2811	2320	2017	855	204	2215	2449	1860	1977	2421	1116	2214	2522	1950	2211	2228	1856	584	622	1148	1081	2363	2830	2019	454	500	334	2100	1503	873	2269	385	520	1419	542	732	309	657	1842	2196	1335	367	1496	786	2340	2710	415	1360	1462	1445	327	1230					
2	Число полученных избирательных бюллетеней	94895	3000	2798	2442	2845	2596	2625	2797	2801	2274	1988	859	250	2188	2449	1736	1945	2365	1992	2194	2510	1946	2176	2220	1857	556	586	1155	1080	2393	2813	2043	428	478	327	2156	1498	819	2306	383	445	1345	513	684	306	653	1845	2216	1295	365	1501	795	2355	2609	397	1364	1431	1452	320	1130					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	49232	1601	1641	1382	1584	1433	1267	1591	1613	1078	1018	424	0	1013	1277	843	1051	1119	1091	1093	1380	967	1099	1132	1004	280	314	577	499	1185	1422	941	162	258	179	1238	675	400	1363	166	252	924	261	390	92	328	801	1120	661	216	835	456	1206	1317	118	628	700	659	134	774					
5	"Число избирательных бюллетеней, выданных вне помещения"	3250	20	18	18	11	16	26	11	6	22	40	21	151	33	31	114	14	10	9	16	12	15	21	22	21	54	34	96	145	71	32	101	80	56	44	205	132	56	100	52	51	36	50	39	76	70	152	57	84	20	172	72	11	79	102	93	17	76	52	5					
6	Число погашенных избирательных бюллетеней	42408	1377	1139	1042	1250	1147	1332	1195	1182	1174	930	414	99	1142	1141	779	880	1236	892	1085	1118	964	1056	1066	832	222	238	482	436	1134	1359	1001	186	164	104	713	691	363	843	165	142	385	202	255	138	255	892	1039	550	129	494	267	1138	1213	177	643	714	717	134	351					
7	Число избирательных бюллетеней в переносных ящиках	3245	20	18	18	11	16	26	11	6	22	40	21	151	33	31	114	14	10	9	16	12	15	21	22	21	54	34	96	145	71	32	101	80	56	44	205	132	56	100	52	51	36	50	39	76	70	152	57	84	20	172	72	11	79	102	93	17	76	52	0					
8	Число бюллетеней в стационарных ящиках для голосования	49171	1601	1638	1382	1582	1433	1265	1591	1609	1078	978	422	0	1013	1277	843	1051	1119	1091	1093	1380	967	1099	1125	1004	280	314	576	499	1185	1422	941	162	258	179	1238	675	400	1363	166	252	924	261	390	92	328	801	1120	661	216	835	456	1206	1317	118	628	700	659	134	774					
9	Число недействительных избирательных бюллетеней	552	0	11	10	11	9	11	16	8	6	4	3	0	11	38	3	22	18	0	6	21	6	59	4	12	3	2	8	9	17	16	15	1	6	3	5	2	1	22	2	2	20	1	6	0	1	8	20	3	0	10	5	17	15	1	11	8	20	1	2					
10	Число действительных избирательных бюллетеней	51864	1621	1645	1390	1582	1440	1280	1586	1607	1094	1014	440	151	1035	1270	954	1043	1111	1100	1103	1371	976	1061	1143	1013	331	346	664	635	1239	1438	1027	241	308	220	1438	805	455	1441	216	301	940	310	423	168	397	945	1157	742	236	997	523	1200	1381	219	710	709	715	185	772					
11	Число полученных открепительных  удостоверений	2970	90	80	70	80	70	80	85	85	80	70	20	0	70	70	60	70	60	70	70	90	60	70	70	60	20	20	30	30	80	90	80	15	30	10	60	50	20	70	15	15	45	20	20	10	20	50	60	40	10	40	25	70	100	15	40	50	50	10	30					
12	Число выданных открепительных удостоверений	490	19	10	5	15	13	7	20	18	5	11	2	0	13	10	11	4	13	8	11	13	2	4	13	11	1	4	6	0	18	12	26	5	7	0	30	3	1	12	2	6	11	1	2	0	3	8	13	2	3	5	5	10	17	0	6	10	3	1	19					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	667	18	13	10	13	9	14	12	15	9	14	6	4	8	5	6	3	13	17	15	10	10	4	11	24	13	31	5	13	13	7	9	20	8	10	13	0	4	25	2	69	4	7	3	8	11	7	2	13	1	19	1	7	30	2	8	28	3	6	2					
14	Число неиспользованных открепительных удостоверений	2480	71	70	65	65	57	73	65	67	75	59	18	0	57	60	49	66	47	62	59	77	58	66	57	49	19	16	24	30	62	78	54	10	23	10	30	47	19	58	13	9	34	19	18	10	17	42	47	38	7	35	20	60	83	15	34	40	47	9	11					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																		
18	. Глазьев Сергей Юрьевич	2886	117	130	85	106	97	91	121	114	64	70	38	10	65	68	50	49	66	63	50	48	58	62	102	36	15	21	26	23	54	68	53	10	16	7	59	27	23	64	4	13	29	16	21	5	15	57	74	32	3	38	35	72	71	9	41	47	25	5	48					
		5.51%	7.22%	7.85%	6.07%	6.65%	6.69%	7.05%	7.55%	7.06%	5.82%	6.88%	8.58%	6.62%	6.21%	5.20%	5.22%	4.60%	5.85%	5.73%	4.51%	3.45%	5.91%	5.54%	8.89%	3.51%	4.49%	6.03%	3.87%	3.57%	4.30%	4.68%	5.09%	4.13%	5.10%	3.14%	4.09%	3.35%	5.04%	4.37%	1.83%	4.29%	3.02%	5.14%	4.90%	2.98%	3.77%	5.98%	6.29%	4.30%	1.27%	3.77%	6.63%	5.92%	5.09%	4.09%	5.69%	6.56%	3.40%	2.69%	6.20%					
