Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																												
Дата голосования: 02.12.2007																																																												
																																																												
Наименование Избирательной комиссии:    Узловская																																																												
																																																												
Сводная таблица результатов выборов																																																												
																																																												
		Сумма	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762					
1	"Число избирателей, внесенных в списки избирателей"	71462	2465	2517	2650	2419	2222	2598	2235	2358	2216	2208	2397	2521	2527	2122	2144	2030	2210	1898	1478	1942	1587	421	1369	1391	1914	1134	1886	1781	2428	2125	2241	646	265	196	311	624	189	574	451	235	297	273	321	323	509	770	575	419	547	202	93	80	128					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	70760	2500	2500	2600	2400	2200	2600	2200	2400	2300	2200	2400	2500	2500	2100	2100	2000	2200	1900	1400	1900	1600	400	1400	1400	1900	1100	1800	1800	2400	2100	2200	600	250	200	300	600	200	550	450	250	300	250	300	300	500	750	550	400	500	200	100	80	130					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	33129	1156	1009	1186	1149	1127	1290	1053	1142	1110	993	1037	1284	1259	1012	956	996	1052	723	754	736	817	144	632	699	744	406	762	757	988	984	1125	276	136	106	105	236	108	266	321	171	161	111	152	158	329	382	215	177	138	198	93	80	128					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	4126	87	173	189	63	59	84	86	54	119	103	157	49	49	51	59	65	50	67	108	86	89	11	108	69	216	84	71	56	67	141	86	97	74	47	88	136	31	99	45	48	26	33	42	61	79	81	157	77	149	0	0	0	0					
6	Число погашенных избирательных бюллетеней	33505	1257	1318	1225	1188	1014	1226	1061	1204	1071	1104	1206	1167	1192	1037	1085	939	1098	1110	538	1078	694	245	660	632	940	610	967	987	1345	975	989	227	40	47	107	228	61	185	84	31	113	106	106	81	92	287	178	146	213	2	7	0	2					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4126	87	173	189	63	59	84	86	54	119	103	157	49	49	51	59	65	50	67	108	86	89	11	108	69	216	84	71	56	67	141	86	97	74	47	88	136	31	99	45	48	26	33	42	61	79	81	157	77	149	0	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	33111	1152	1007	1185	1149	1127	1289	1053	1142	1108	991	1037	1284	1259	1011	955	995	1052	723	754	735	816	144	632	698	744	406	762	757	988	984	1125	276	136	106	105	236	108	266	321	171	161	111	152	158	329	382	215	177	138	198	93	80	128					
9	Число недействительных избирательных бюллетеней	417	19	12	18	15	16	21	16	23	14	33	12	15	13	12	14	9	16	2	9	4	9	2	3	9	7	3	10	8	8	17	7	4	0	1	1	0	2	4	1	0	0	2	4	2	2	1	3	4	3	4	2	1	0					
10	Число действительных избирательных бюллетеней	36820	1220	1168	1356	1197	1170	1352	1123	1173	1213	1061	1182	1318	1295	1050	1000	1051	1086	788	853	817	896	153	737	758	953	487	823	805	1047	1108	1204	369	210	152	192	372	137	361	365	219	187	142	190	217	406	462	369	250	284	194	91	79	128					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1042	37	28	41	35	46	51	39	44	38	32	49	25	36	30	22	35	37	22	15	15	15	8	15	20	25	15	22	29	22	15	22	10	5	5	8	15	5	5	5	5	8	5	5	5	10	20	21	10	10	0	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1040	37	28	41	35	46	51	39	44	38	32	49	25	36	30	22	35	37	22	15	15	15	7	15	20	25	15	22	28	22	15	22	10	5	5	8	15	5	5	5	5	8	5	5	5	10	20	21	10	10	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	614	11	16	29	23	17	19	18	16	18	19	17	7	14	16	9	14	18	19	14	19	8	4	8	5	5	10	15	5	8	9	10	6	1	3	5	7	3	19	3	0	6	7	7	4	7	7	6	6	9	33	21	23	11					
14	Число погашенных неиспользованных открепительных удостоверений	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	108	8	4	3	5	3	9	4	2	7	5	4	2	1	1	4	0	2	2	2	3	3	1	5	4	2	1	5	0	1	9	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
