Выборы Президента Российской Федерации																																
																																
Наименование Избирательной комиссии:    Медвенская																																
																																
Итоги голосования 																																
																																
		Сумма	УИК  760	УИК  761	УИК  762	УИК  763	УИК  764	УИК  765	УИК  766	УИК  767	УИК  768	УИК  769	УИК  770	УИК  771	УИК  772	УИК  773	УИК  774	УИК  775	УИК  776	УИК  777	УИК  778	УИК  779	УИК  780	УИК  781	УИК  782	УИК  783	УИК  784					
1	"Число избирателей, внесенных в список"	15319	1511	2307	890	119	821	994	357	360	643	251	338	460	279	259	315	274	691	1028	710	616	279	102	606	543	566					
2	Число полученных избирательных бюллетеней	13810	1367	2093	808	108	740	906	321	316	580	220	307	412	250	231	280	240	613	917	645	556	255	90	550	495	510					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8091	889	1357	499	60	397	558	138	185	317	169	189	218	149	123	214	173	254	507	447	326	66	65	334	183	274					
5	"Число избирательных бюллетеней, выданных вне помещения"	2962	64	104	141	40	245	145	128	91	235	36	83	108	58	89	60	55	206	163	95	113	189	14	130	253	117					
6	Число погашенных избирательных бюллетеней	2757	414	632	168	8	98	203	55	40	28	15	35	86	43	19	6	12	153	247	103	117	0	11	86	59	119					
7	Число избирательных бюллетеней в переносных ящиках	2962	64	104	141	40	245	145	128	91	235	36	83	108	58	89	60	55	206	163	95	113	189	14	130	253	117					
8	Число бюллетеней в стационарных ящиках для голосования	8091	889	1357	499	60	397	558	138	185	317	169	189	218	149	123	214	173	254	507	447	326	66	65	334	183	274					
9	Число недействительных избирательных бюллетеней	110	6	12	4	0	2	9	4	0	3	1	2	1	1	3	1	0	6	11	4	4	21	2	3	1	9					
10	Число действительных избирательных бюллетеней	10943	947	1449	636	100	640	694	262	276	549	204	270	325	206	209	273	228	454	659	538	435	234	77	461	435	382					
11	Число полученных открепительных  удостоверений	140	15	25	5	2	5	5	5	3	5	3	5	5	3	3	5	3	5	5	5	5	5	3	5	5	5					
12	Число выданных открепительных удостоверений	81	12	24	2	2	1	3	0	0	0	0	1	2	0	0	2	0	5	3	5	5	4	0	5	1	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	83	2	9	6	2	8	1	3	7	2	4	3	2	2	0	3	3	1	2	8	7	1	3	2	1	1					
14	Число неиспользованных открепительных удостоверений	59	3	1	3	0	4	2	5	3	5	3	4	3	3	3	3	3	0	2	0	0	1	3	0	4	1					
15	"Число открепительных удостоверений, выданных в ТИК"	5	0	1	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																
18	. Глазьев Сергей Юрьевич	222	23	44	11	0	6	17	11	6	4	3	7	11	1	9	3	1	4	10	19	14	3	0	7	5	3					
		2.01%	2.41%	3.01%	1.72%	0.00%	0.93%	2.42%	4.14%	2.17%	0.72%	1.46%	2.57%	3.37%	0.48%	4.25%	1.09%	0.44%	0.87%	1.49%	3.51%	3.19%	1.18%	0.00%	1.51%	1.15%	0.77%					
19	. Малышкин Олег Александрович	280	32	35	11	2	10	17	7	18	10	2	3	7	5	5	7	7	20	20	9	8	9	3	11	6	16					
		2.53%	3.36%	2.40%	1.72%	2.00%	1.56%	2.42%	2.63%	6.52%	1.81%	0.98%	1.10%	2.15%	2.42%	2.36%	2.55%	3.07%	4.35%	2.99%	1.66%	1.82%	3.53%	3.80%	2.37%	1.38%	4.09%					
20	. Миронов Сергей Михайлович	86	7	20	4	0	0	9	2	4	1	2	2	2	2	2	0	6	2	6	4	2	3	1	3	0	2					
		0.78%	0.73%	1.37%	0.62%	0.00%	0.00%	1.28%	0.75%	1.45%	0.18%	0.98%	0.74%	0.61%	0.97%	0.94%	0.00%	2.63%	0.43%	0.90%	0.74%	0.46%	1.18%	1.27%	0.65%	0.00%	0.51%					
21	. Путин Владимир Владимирович	7619	667	986	462	84	478	452	191	175	413	150	169	198	107	104	238	170	295	474	339	320	187	48	330	321	261					
		68.93%	69.99%	67.49%	72.19%	84.00%	74.45%	64.30%	71.80%	63.41%	74.82%	73.17%	62.13%	60.74%	51.69%	49.06%	86.86%	74.56%	64.13%	70.75%	62.55%	72.89%	73.33%	60.76%	71.12%	73.62%	66.75%					
22	. Хакамада Ирина Муцуовна	148	9	21	8	4	8	6	5	3	2	1	7	9	2	3	2	5	6	12	3	8	3	0	9	4	8					
		1.34%	0.94%	1.44%	1.25%	4.00%	1.25%	0.85%	1.88%	1.09%	0.36%	0.49%	2.57%	2.76%	0.97%	1.42%	0.73%	2.19%	1.30%	1.79%	0.55%	1.82%	1.18%	0.00%	1.94%	0.92%	2.05%					
23	. Харитонов Николай Михайлович	2351	189	268	116	9	133	176	42	65	105	45	80	95	87	84	19	39	124	130	156	63	29	23	95	94	85					
		21.27%	19.83%	18.34%	18.12%	9.00%	20.72%	25.04%	15.79%	23.55%	19.02%	21.95%	29.41%	29.14%	42.03%	39.62%	6.93%	17.11%	26.96%	19.40%	28.78%	14.35%	11.37%	29.11%	20.47%	21.56%	21.74%					
																																
24	Против всех	237	20	75	24	1	5	17	4	5	14	1	2	3	2	2	4	0	3	7	8	20	0	2	6	5	7					
		2.14%	2.10%	5.13%	3.75%	1.00%	0.78%	2.42%	1.50%	1.81%	2.54%	0.49%	0.74%	0.92%	0.97%	0.94%	1.46%	0.00%	0.65%	1.04%	1.48%	4.56%	0.00%	2.53%	1.29%	1.15%	1.79%					
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
