Выборы Президента Российской Федерации																																																										
Дата голосования: 04.03.2012																																																										
																																																										
Наименование Избирательной комиссии:    Каменская																																																										
																																																										
Сводная таблица итогов голосования																																																										
																																																										
	Число участковых избирательных комиссий	47																																																								
	Число участковых избирательных комиссий, приступивших к передаче сведений	47																																																								
																																																										
		Сумма	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1002	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1025	УИК №2442	УИК №2443									
1	Число избирателей, включенных в список избирателей	39213	613	458	2754	131	203	443	726	148	187	248	1540	1739	1280	843	2381	2162	833	447	492	538	583	232	535	1051	1743	565	493	1451	1410	471	628	354	396	221	1150	170	665	2099	2339	2031	502	340	93	389	329	377	430									
2	Число избирательных бюллетеней, полученных участковой избирательной комиссией	35648	555	410	2545	110	175	395	668	130	170	220	1410	1590	1170	765	2155	1972	750	400	458	482	528	208	490	930	1585	515	445	1307	1305	424	577	323	365	195	1045	150	610	1870	2155	1845	475	304	80	350	300	347	390									
3	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных в помещении для голосования в день голосования	21476	275	273	1446	77	80	260	372	84	75	124	948	946	754	466	1086	1170	346	264	273	314	310	174	281	484	865	306	246	841	847	226	290	182	214	95	505	77	333	1333	1577	1243	313	169	29	248	242	186	227									
5	Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования	3124	33	40	148	20	7	70	71	30	46	27	131	97	46	117	130	74	94	22	14	37	75	22	74	262	124	45	57	61	81	61	83	37	19	33	263	31	27	63	48	99	36	50	40	68	50	41	20									
6	Число погашенных избирательных бюллетеней	11048	247	97	951	13	88	65	225	16	49	69	331	547	370	182	939	728	310	114	171	131	143	12	135	184	596	164	142	405	377	137	204	104	132	67	277	42	250	474	530	503	126	85	11	34	8	120	143									
