Выборы Президента Российской Федерации																																																										
																																																										
Наименование Избирательной комиссии:    Каменская																																																										
																																																										
Итоги голосования 																																																										
																																																										
		Сумма	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №2442	УИК №2443					
1	"Число избирателей, внесенных в список"	40726	661	487	2596	160	194	432	762	182	608	76	288	1570	1804	1294	776	2347	2220	883	439	516	595	577	251	510	198	970	118	1860	576	664	1425	1472	541	728	420	425	275	1251	180	639	1996	2389	1975	549	300	86	410	71	277	394	309					
2	Число полученных избирательных бюллетеней	40871	663	481	2663	165	193	423	752	184	577	76	283	1565	1799	1303	794	2349	2242	875	453	515	599	587	252	520	198	983	119	1876	591	617	1407	1488	557	729	421	440	274	1246	180	653	1998	2396	2017	551	294	84	413	72	276	388	290					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	32831	557	426	2197	138	161	375	574	161	513	55	242	1176	1454	1048	588	1804	1817	650	371	399	561	469	194	369	98	823	88	1437	506	551	1108	940	342	388	323	386	189	1027	148	475	1882	2284	1584	507	191	69	298	63	249	292	284					
5	"Число избирательных бюллетеней, выданных вне помещения"	3309	38	12	139	6	4	26	95	15	52	1	5	171	170	78	81	211	136	104	29	23	11	23	31	48	70	101	21	145	30	35	110	319	139	240	33	0	45	102	11	101	36	26	55	11	70	11	47	4	0	37	1					
6	Число погашенных избирательных бюллетеней	4731	68	43	327	21	28	22	83	8	12	20	36	218	175	177	125	334	289	121	53	93	27	95	27	103	30	59	10	294	55	31	189	229	76	101	65	54	40	117	21	77	80	86	378	33	33	4	68	5	27	59	5					
7	Число избирательных бюллетеней в переносных ящиках	3309	38	12	139	6	4	26	95	15	52	1	5	171	170	78	81	211	136	104	29	23	11	23	31	48	70	101	21	145	30	35	110	319	139	240	33	0	45	102	11	101	36	26	55	11	70	11	47	4	0	37	1					
8	Число бюллетеней в стационарных ящиках для голосования	32829	557	426	2197	138	161	375	574	161	513	55	242	1176	1454	1048	588	1804	1817	650	371	399	561	469	194	369	98	823	88	1437	506	551	1108	940	342	388	323	386	189	1027	148	475	1880	2284	1584	507	191	69	298	63	249	292	284					
9	Число недействительных избирательных бюллетеней	122	0	0	12	2	0	0	0	0	0	0	0	2	6	3	2	8	0	0	5	3	1	2	1	3	0	0	0	6	1	6	5	7	5	0	3	1	0	3	0	4	0	6	12	1	0	1	2	0	1	1	7					
10	Число действительных избирательных бюллетеней	36016	595	438	2324	142	165	401	669	176	565	56	247	1345	1618	1123	667	2007	1953	754	395	419	571	490	224	414	168	924	109	1576	535	580	1213	1252	476	628	353	385	234	1126	159	572	1916	2304	1627	517	261	79	343	67	248	328	278					
