Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																									
Дата голосования: 04.12.2011																																																																									
																																																																									
"Наименование Избирательной комиссии:    Курск, Сеймская"																																																																									
																																																																									
Сводная таблица результатов выборов																																																																									
																																																																									
		Сумма	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98					
1	"Число избирателей, внесенных в список избирателей"	122647	2196	2357	1530	1445	1731	2250	1240	1675	2557	2180	2225	2006	2325	2352	2107	2470	1833	1227	893	2178	2011	2426	1302	1769	2067	1933	2014	2205	1312	1508	1556	2657	1764	1751	2277	1816	1463	2181	1377	1655	1799	2094	2204	2151	2936	1932	888	2296	2099	1738	2334	2091	2104	1964	1562	2403	2206	1261	2273	2539	2537	1887	777	198	436	117					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	115900	2100	2300	1450	1350	1650	2150	1200	1600	2450	2000	2100	1850	2300	2250	2000	2300	1750	1150	850	2050	1900	2350	1250	1650	1950	1850	1850	2200	1350	1350	1450	2600	1700	1650	2200	1650	1350	2000	1300	1450	1650	2000	2000	2000	2750	1800	800	2150	1950	1650	2250	2000	2000	1350	1450	2100	2100	1150	2200	2400	2400	1800	1000	300	450	300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	57193	766	1178	507	558	790	1069	586	668	1185	1074	978	1015	1117	1121	941	1235	854	504	410	984	832	1149	592	838	944	1020	1050	874	639	778	757	1306	844	821	1067	853	717	1139	586	883	862	989	911	927	1280	759	300	907	888	763	895	847	1053	1126	797	1340	1175	496	1046	1268	1146	671	767	198	436	117					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2416	74	18	27	43	26	59	34	21	23	92	48	22	70	38	29	56	30	27	22	31	10	40	55	25	81	31	47	70	15	18	13	13	13	22	16	9	12	47	17	19	100	11	73	60	32	49	77	38	91	51	42	36	41	28	25	29	7	15	25	31	30	162	0	0	0	0					
6	Число погашенных избирательных бюллетеней	56291	1260	1104	916	749	834	1022	580	911	1242	834	1074	813	1113	1091	1030	1009	866	619	418	1035	1058	1161	603	787	925	799	753	1256	696	554	680	1281	843	807	1117	788	621	814	697	548	688	1000	1016	1013	1438	992	423	1205	971	836	1313	1117	906	196	628	731	918	639	1129	1101	1224	967	233	102	14	183					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2416	74	18	27	43	26	59	34	21	23	92	48	22	70	38	29	56	30	27	22	31	10	40	55	25	81	31	47	70	15	18	13	13	13	22	16	9	12	47	17	19	100	11	73	60	32	49	77	38	91	51	42	36	41	28	25	29	7	15	25	31	30	162	0	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	57179	765	1178	507	558	789	1066	586	668	1185	1074	978	1014	1115	1121	941	1235	854	503	410	983	832	1148	592	838	944	1020	1050	873	639	778	757	1305	844	821	1067	853	717	1139	586	883	861	989	911	927	1280	759	300	907	888	763	895	847	1053	1126	797	1340	1175	496	1046	1268	1146	671	767	198	436	117					
9	Число недействительных избирательных бюллетеней	804	14	26	9	6	6	15	5	19	23	14	13	15	22	7	12	9	13	9	7	18	8	14	5	5	11	19	16	15	13	8	9	17	9	11	17	12	10	18	12	17	6	17	11	12	8	10	4	11	12	6	5	17	16	11	14	19	21	4	17	27	12	12	19	2	2	1					
10	Число действительных избирательных бюллетеней	58791	825	1170	525	595	809	1110	615	670	1185	1152	1013	1021	1163	1152	958	1282	871	521	425	996	834	1174	642	858	1014	1032	1081	928	641	788	761	1301	848	832	1066	850	719	1168	591	885	955	983	973	975	1304	798	373	934	967	808	932	866	1078	1143	808	1350	1161	507	1054	1272	1164	821	748	196	434	116					
