Выборы Президента Российской Федерации																																																											
																																																											
Наименование Избирательной комиссии:    Угличская																																																											
																																																											
Итоги голосования 																																																											
																																																											
		Сумма	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №872					
1	"Число избирателей, внесенных в список"	41112	2301	2029	2157	2142	2227	2355	2208	2044	1980	2051	1879	2157	1599	490	1013	585	161	397	264	1160	348	156	302	522	325	269	376	241	199	637	535	269	414	141	495	111	327	103	212	219	131	215	123	257	207	248	97	188	508	543	1011	184					
2	Число полученных избирательных бюллетеней	41036	2305	2040	2130	2120	2215	2305	2180	2070	1970	2045	1845	2160	1650	500	1005	585	169	385	270	1085	350	159	305	525	320	265	465	240	200	630	530	275	410	144	495	114	340	112	220	220	125	220	124	260	210	265	96	168	530	535	1000	150					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	21785	1309	1212	1244	1152	1228	1430	1116	909	1094	1214	1071	1097	917	234	453	353	70	268	119	374	179	69	136	272	105	152	365	115	107	342	252	167	159	44	249	43	159	56	151	82	73	100	79	152	150	134	57	70	224	154	431	93					
5	"Число избирательных бюллетеней, выданных вне помещения"	3311	58	26	40	48	57	40	57	116	71	29	47	29	30	20	58	48	39	11	45	332	77	43	103	53	94	29	11	79	37	68	94	12	160	62	133	39	124	26	49	72	46	69	25	26	27	60	24	30	189	166	46	37					
6	Число погашенных избирательных бюллетеней	15940	938	802	846	920	930	835	1007	1045	805	802	727	1034	703	246	494	184	60	106	106	379	94	47	66	200	121	84	89	46	56	220	184	96	91	38	113	32	57	30	20	66	6	51	20	82	33	71	15	68	117	215	523	20					
7	Число избирательных бюллетеней в переносных ящиках	3311	58	26	40	48	57	40	57	116	71	29	47	29	30	20	58	48	39	11	45	332	77	43	103	53	94	29	11	79	37	68	94	12	160	62	133	39	124	26	49	72	46	69	25	26	27	60	24	30	189	166	46	37					
8	Число бюллетеней в стационарных ящиках для голосования	21784	1309	1212	1244	1152	1228	1430	1116	909	1093	1214	1071	1097	917	234	453	353	70	268	119	374	179	69	136	272	105	152	365	115	107	342	252	167	159	44	249	43	159	56	151	82	73	100	79	152	150	134	57	70	224	154	431	93					
9	Число недействительных избирательных бюллетеней	205	15	6	8	0	12	2	16	8	8	14	5	15	2	6	2	16	0	3	5	8	6	0	0	3	2	4	2	0	1	3	5	2	0	0	0	0	2	1	2	2	0	2	0	1	0	2	1	2	2	0	5	4					
10	Число действительных избирательных бюллетеней	24890	1352	1232	1276	1200	1273	1468	1157	1017	1156	1229	1113	1111	945	248	509	385	109	276	159	698	250	112	239	322	197	177	374	194	143	407	341	177	319	106	382	82	281	81	198	152	119	167	104	177	177	192	80	98	411	320	472	126					
11	Число полученных открепительных  удостоверений	1399	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	59	10	15	12	17	15	10	14	16	13	11	15	12	10	14	15	11	15	9	15	7	12	8	12	12	8	10	8	11	12	15	9	10	14	18	25	0					
12	Число выданных открепительных удостоверений	126	20	7	0	6	12	3	0	1	5	9	8	5	8	0	2	0	2	5	1	3	4	0	0	0	0	1	1	1	1	0	0	3	0	0	3	1	1	1	0	1	0	1	0	2	2	0	0	0	0	0	6	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	137	0	4	5	7	4	2	8	2	9	8	1	2	1	3	5	3	1	11	0	1	4	4	0	0	0	3	6	0	1	0	10	0	0	0	5	0	1	1	1	4	0	0	0	3	1	5	3	1	0	2	4	1					
14	Число неиспользованных открепительных удостоверений	1273	40	53	60	54	48	57	60	59	55	51	52	55	52	60	58	59	8	10	11	14	11	10	14	16	13	10	14	11	9	14	15	8	15	9	12	6	11	7	12	11	8	9	8	9	10	15	9	10	14	18	19	0					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																											
18	. Глазьев Сергей Юрьевич	1625	118	106	126	108	101	111	56	68	90	133	94	102	94	15	27	18	4	16	2	34	3	4	8	19	10	3	10	2	9	21	8	3	4	2	6	5	9	1	2	4	3	0	2	3	12	2	3	2	6	12	16	8					
		6.48%	8.63%	8.56%	9.81%	9.00%	7.86%	7.55%	4.77%	6.63%	7.73%	10.70%	8.41%	9.06%	9.93%	5.91%	5.28%	4.49%	3.67%	5.73%	1.22%	4.82%	1.17%	3.57%	3.35%	5.85%	5.03%	1.66%	2.66%	1.03%	6.25%	5.12%	2.31%	1.68%	1.25%	1.89%	1.57%	6.10%	3.18%	1.22%	1.00%	2.60%	2.52%	0.00%	1.92%	1.69%	6.78%	1.03%	3.70%	2.00%	1.45%	3.75%	3.35%	6.15%					
19	. Малышкин Олег Александрович	527	22	28	25	18	24	42	29	22	31	30	18	27	27	8	9	5	1	6	7	9	7	2	8	5	5	2	8	4	5	12	7	2	6	4	6	0	4	3	0	3	3	3	7	4	2	1	2	1	6	3	11	3					
		2.10%	1.61%	2.26%	1.95%	1.50%	1.87%	2.86%	2.47%	2.15%	2.66%	2.41%	1.61%	2.40%	2.85%	3.15%	1.76%	1.25%	0.92%	2.15%	4.27%	1.27%	2.73%	1.79%	3.35%	1.54%	2.51%	1.10%	2.13%	2.06%	3.47%	2.93%	2.02%	1.12%	1.88%	3.77%	1.57%	0.00%	1.41%	3.66%	0.00%	1.95%	2.52%	1.78%	6.73%	2.25%	1.13%	0.52%	2.47%	1.00%	1.45%	0.94%	2.31%	2.31%					
20	. Миронов Сергей Михайлович	235	10	18	11	13	13	6	18	10	10	19	10	12	3	1	5	8	0	0	0	10	1	0	1	3	1	5	1	0	0	7	0	1	5	2	6	1	2	1	1	1	1	0	1	2	1	3	2	2	6	0	1	0					
		0.94%	0.73%	1.45%	0.86%	1.08%	1.01%	0.41%	1.53%	0.98%	0.86%	1.53%	0.89%	1.07%	0.32%	0.39%	0.98%	2.00%	0.00%	0.00%	0.00%	1.42%	0.39%	0.00%	0.42%	0.92%	0.50%	2.76%	0.27%	0.00%	0.00%	1.71%	0.00%	0.56%	1.57%	1.89%	1.57%	1.22%	0.71%	1.22%	0.50%	0.65%	0.84%	0.00%	0.96%	1.12%	0.56%	1.55%	2.47%	2.00%	1.45%	0.00%	0.21%	0.00%					
21	. Путин Владимир Владимирович	17086	859	788	848	763	878	938	783	704	733	754	746	706	630	175	364	290	88	189	117	534	190	87	165	220	156	137	297	152	113	277	249	137	201	69	304	65	236	58	112	133	85	142	69	151	133	138	67	64	272	235	391	94					
		68.09%	62.84%	63.65%	66.04%	63.58%	68.33%	63.81%	66.75%	68.68%	62.97%	60.66%	66.73%	62.70%	66.53%	68.90%	71.23%	72.32%	80.73%	67.74%	71.34%	75.64%	74.22%	77.68%	69.04%	67.69%	78.39%	75.69%	78.99%	78.35%	78.47%	67.56%	71.97%	76.54%	63.01%	65.09%	79.58%	79.27%	83.39%	70.73%	56.00%	86.36%	71.43%	84.02%	66.35%	84.83%	75.14%	71.13%	82.72%	64.00%	65.86%	73.44%	81.97%	72.31%					
22	. Хакамада Ирина Муцуовна	811	71	46	48	46	40	81	41	49	61	37	31	31	31	8	16	9	2	11	5	13	4	1	2	17	4	3	12	2	3	7	7	6	13	2	8	0	3	4	2	2	0	0	2	3	4	7	0	0	0	6	9	1					
		3.23%	5.19%	3.72%	3.74%	3.83%	3.11%	5.51%	3.50%	4.78%	5.24%	2.98%	2.77%	2.75%	3.27%	3.15%	3.13%	2.24%	1.83%	3.94%	3.05%	1.84%	1.56%	0.89%	0.84%	5.23%	2.01%	1.66%	3.19%	1.03%	2.08%	1.71%	2.02%	3.35%	4.08%	1.89%	2.09%	0.00%	1.06%	4.88%	1.00%	1.30%	0.00%	0.00%	1.92%	1.69%	2.26%	3.61%	0.00%	0.00%	0.00%	1.88%	1.89%	0.77%					
