Выборы Президента Российской Федерации																																	
																																	
"Наименование Избирательной комиссии:    Ростов-на-Дону, Кировская"																																	
																																	
Итоги голосования 																																	
																																	
		Сумма	УИК №1611	УИК №1612	УИК №1613	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633	УИК №1634	УИК №1635	УИК  1639					
1	"Число избирателей, внесенных в список"	55550	1971	1553	2073	2553	2214	2285	2046	1832	2367	2478	2481	2369	2597	2255	1946	2686	2297	1654	2088	2446	2644	2070	2690	1196	1671	1088					
2	Число полученных избирательных бюллетеней	54940	1950	1550	1950	2500	2250	2250	2050	1800	2300	2550	2400	2400	2550	2250	2000	2600	2300	1650	2000	2350	2650	2100	2600	1190	1650	1100					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	30409	939	662	1080	1625	1243	1542	1284	888	1266	1065	1247	1249	1650	1214	1217	1466	1177	774	1000	1409	1553	1035	1358	592	786	1088					
5	"Число избирательных бюллетеней, выданных вне помещения"	2863	159	142	87	213	138	88	52	95	64	106	242	99	107	87	106	163	87	107	114	92	105	49	75	90	196	0					
6	Число погашенных избирательных бюллетеней	21668	852	746	783	662	869	620	714	817	970	1379	911	1052	793	949	677	971	1036	769	886	849	992	1016	1167	508	668	12					
7	Число избирательных бюллетеней в переносных ящиках	2863	158	142	87	213	138	88	52	95	64	106	242	99	107	87	106	163	87	107	114	92	105	50	75	90	196	0					
8	Число бюллетеней в стационарных ящиках для голосования	30343	937	660	1080	1625	1241	1542	1280	887	1266	1063	1246	1247	1647	1202	1213	1461	1174	774	1000	1404	1551	1034	1358	580	783	1088					
9	Число недействительных избирательных бюллетеней	237	6	5	12	4	2	12	3	3	8	15	9	11	10	4	10	13	7	19	9	12	11	25	8	6	10	3					
10	Число действительных избирательных бюллетеней	32969	1089	797	1155	1834	1377	1618	1329	979	1322	1154	1479	1335	1744	1285	1309	1611	1254	862	1105	1484	1645	1059	1425	664	969	1085					
11	Число полученных открепительных  удостоверений	1980	70	70	70	100	100	70	70	70	110	100	70	70	100	70	70	100	70	70	70	70	100	70	100	50	70	0					
12	Число выданных открепительных удостоверений	1131	34	31	35	54	52	33	37	43	94	84	38	51	54	48	39	46	41	35	28	58	62	42	46	19	27	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1123	19	28	83	93	31	33	22	13	32	26	186	38	23	29	87	27	29	15	37	99	37	16	24	10	18	68					
14	Число неиспользованных открепительных удостоверений	849	36	39	35	46	48	37	33	27	16	16	32	19	46	22	31	54	29	35	42	12	38	28	54	31	43	0					
15	"Число открепительных удостоверений, выданных в ТИК"	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0					
