Выборы Президента Российской Федерации																																						
																																						
"Наименование Избирательной комиссии:    Махачкала, Ленинская"																																						
																																						
Итоги голосования 																																						
																																						
		Сумма	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982					
1	"Число избирателей, внесенных в список"	67917	2799	2991	2395	2375	1915	2339	2199	1334	1651	2821	1978	1460	1950	2217	2482	2859	2429	1968	1851	2689	2575	2637	2900	2054	2583	2561	1926	1788	2222	550	1419					
2	Число полученных избирательных бюллетеней	65719	2750	2890	2300	2260	1915	2339	2140	1270	1600	2710	1810	1395	1870	2150	2400	2815	2350	1920	1790	2620	2550	2550	2810	2005	2490	2430	1830	1700	2160	520	1380					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	64673	2435	2854	2280	2260	1915	2263	2115	1261	1567	2685	1800	1392	1867	2108	2400	2809	2311	1900	1764	2555	2536	2522	2774	1956	2416	2430	1820	1682	2121	520	1355					
5	"Число избирательных бюллетеней, выданных вне помещения"	458	280	1	9	0	0	76	3	9	3	0	2	0	3	7	0	2	4	1	4	0	0	2	0	0	50	0	0	1	1	0	0					
6	Число погашенных избирательных бюллетеней	588	35	35	11	0	0	0	22	0	30	25	8	3	0	35	0	4	35	19	22	65	14	26	36	49	24	0	10	17	38	0	25					
7	Число избирательных бюллетеней в переносных ящиках	458	280	1	9	0	0	76	3	9	3	0	2	0	3	7	0	2	4	1	4	0	0	2	0	0	50	0	0	1	1	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	64668	2435	2854	2280	2260	1915	2263	2115	1261	1567	2680	1800	1392	1867	2108	2400	2809	2311	1900	1764	2555	2536	2522	2774	1956	2416	2430	1820	1682	2121	520	1355					
9	Число недействительных избирательных бюллетеней	94	3	13	11	0	3	8	16	2	0	8	0	3	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	13	8	0	0					
10	Число действительных избирательных бюллетеней	65032	2712	2842	2278	2260	1912	2331	2102	1268	1570	2672	1802	1389	1870	2109	2400	2811	2315	1901	1768	2555	2536	2524	2774	1956	2466	2430	1820	1670	2114	520	1355					
11	Число полученных открепительных  удостоверений	932	30	31	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	31	30	30	30	30	30	30	30	30	30	30	30	30	30					
12	Число выданных открепительных удостоверений	27	8	1	2	1	1	0	2	0	0	0	0	0	0	0	2	3	0	0	2	1	1	1	0	0	0	0	0	0	1	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	41	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	30	0	0	0	0	0	0	0	0					
14	Число неиспользованных открепительных удостоверений	905	22	30	28	29	29	30	28	30	30	30	30	30	30	30	28	27	30	31	28	29	29	29	30	30	30	30	30	30	29	30	29					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																						
18	. Глазьев Сергей Юрьевич	79	3	1	1	2	1	9	6	0	0	7	5	2	0	3	4	0	2	2	1	9	0	2	2	0	3	1	0	2	2	5	4					
		0.12%	0.11%	0.04%	0.04%	0.09%	0.05%	0.38%	0.28%	0.00%	0.00%	0.26%	0.28%	0.14%	0.00%	0.14%	0.17%	0.00%	0.09%	0.11%	0.06%	0.35%	0.00%	0.08%	0.07%	0.00%	0.12%	0.04%	0.00%	0.12%	0.09%	0.96%	0.30%					
19	. Малышкин Олег Александрович	118	5	4	4	3	3	11	2	4	3	0	0	3	16	4	12	2	5	4	4	2	0	5	6	0	4	2	1	1	5	0	3					
		0.18%	0.18%	0.14%	0.17%	0.13%	0.16%	0.47%	0.09%	0.31%	0.19%	0.00%	0.00%	0.22%	0.86%	0.19%	0.50%	0.07%	0.22%	0.21%	0.23%	0.08%	0.00%	0.20%	0.22%	0.00%	0.16%	0.08%	0.05%	0.06%	0.24%	0.00%	0.22%					
20	. Миронов Сергей Михайлович	168	6	4	5	3	2	15	5	3	19	9	0	5	9	5	10	1	7	5	6	7	0	8	5	4	6	2	3	2	7	0	5					
		0.26%	0.22%	0.14%	0.22%	0.13%	0.10%	0.64%	0.24%	0.24%	1.21%	0.34%	0.00%	0.36%	0.48%	0.24%	0.42%	0.04%	0.30%	0.26%	0.34%	0.27%	0.00%	0.32%	0.18%	0.20%	0.24%	0.08%	0.16%	0.12%	0.33%	0.00%	0.37%					
21	. Путин Владимир Владимирович	62573	2625	2755	2210	2195	1848	2246	2020	1230	1445	2562	1712	1330	1799	2043	2281	2673	2245	1843	1711	2427	2422	2445	2681	1910	2388	2342	1752	1584	2045	494	1310					
