Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																						
Дата голосования: 18.09.2016																																																						
																																																						
Наименование Избирательной комиссии:    Старорусская																																																						
																																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																																						
																																																						
		Сумма	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812	УИК №1813	УИК №1814	УИК №1815	УИК №1816	УИК №1817	УИК №1818	УИК №1819	УИК №1820	УИК №1821	УИК №1822	УИК №1823	УИК №1824	УИК №1825	УИК №1826	УИК №1827	УИК №1828	УИК №1829	УИК №1830	УИК №1831	УИК №1832	УИК №1833	УИК №1834	УИК №1835	УИК №1836	УИК №1837	УИК №1838	УИК №1839	УИК №1840	УИК №1841	УИК №1842	УИК №1843									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	37073	252	270	437	337	481	554	430	315	436	314	549	368	284	1063	655	931	220	229	248	584	374	515	1183	772	1285	976	1416	868	1553	1549	1289	886	1313	1055	1181	471	1143	1049	1504	1668	2068	1569	2429									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	36700	250	280	450	350	450	550	430	350	450	350	550	350	300	1100	650	950	215	225	250	600	350	500	1150	750	1300	950	1400	800	1600	1500	1300	850	1250	1000	1100	450	1100	1000	1500	1700	2050	1550	2450									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	13095	148	101	163	110	185	184	143	120	265	148	220	109	130	406	199	367	63	70	92	182	134	122	390	283	436	356	492	356	575	571	348	277	342	207	394	164	452	590	663	660	622	376	880									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2702	26	39	83	35	60	116	142	82	52	83	77	104	58	35	138	113	70	68	57	110	53	107	60	21	16	10	24	34	20	30	32	187	66	108	30	28	22	29	19	23	161	57	17									
6	Число погашенных избирательных бюллетеней	20903	76	140	204	205	205	250	145	148	133	119	253	137	112	659	313	470	82	87	101	308	163	271	700	446	848	584	884	410	1005	899	920	386	842	685	676	258	626	381	818	1017	1267	1117	1553									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2702	26	39	83	35	60	116	142	82	52	83	77	104	58	35	138	113	70	68	57	110	53	107	60	21	16	10	24	34	20	30	32	187	66	108	30	28	22	29	19	23	161	57	17									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	13095	148	101	163	110	185	184	143	120	265	148	220	109	130	406	199	367	63	70	92	182	134	122	390	283	436	356	492	356	575	571	348	277	342	207	394	164	452	590	663	660	622	376	880									
9	Число недействительных избирательных бюллетеней	310	1	1	6	0	5	5	4	4	5	4	6	0	4	11	3	2	3	2	2	3	8	2	17	12	8	10	9	14	13	9	8	6	16	3	6	3	13	13	12	12	12	13	20									
10	Число действительных избирательных бюллетеней	15487	173	139	240	145	240	295	281	198	312	227	291	213	184	430	334	478	130	136	147	289	179	227	433	292	444	356	507	376	582	592	372	458	392	312	418	189	461	606	670	671	771	420	877									
