Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																										
Дата голосования: 04.12.2011																										
																										
Наименование Избирательной комиссии:    Озерская																										
																										
Сводная таблица результатов выборов																										
																										
		Сумма	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397					
1	"Число избирателей, внесенных в список избирателей"	12078	416	444	422	425	632	475	477	491	526	307	309	470	477	416	626	574	612	2330	1649					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11350	400	450	400	400	600	450	450	500	500	300	300	450	500	400	600	550	600	2000	1500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	5573	181	171	203	171	251	233	231	245	321	167	154	164	197	162	227	326	218	1093	858					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	469	12	16	23	29	56	14	18	36	16	20	15	26	22	8	11	21	27	46	53					
6	Число погашенных избирательных бюллетеней	5308	207	263	174	200	293	203	201	219	163	113	131	260	281	230	362	203	355	861	589					
7	Число избирательных бюллетеней в переносных ящиках для голосования	469	12	16	23	29	56	14	18	36	16	20	15	26	22	8	11	21	27	46	53					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	5572	181	171	203	171	251	233	231	245	321	167	154	164	197	162	226	326	218	1093	858					
9	Число недействительных избирательных бюллетеней	92	4	2	2	1	4	2	6	8	8	4	4	4	1	5	4	6	2	15	10					
10	Число действительных избирательных бюллетеней	5949	189	185	224	199	303	245	243	273	329	183	165	186	218	165	233	341	243	1124	901					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	149	6	6	6	6	7	6	6	4	11	4	8	7	6	6	6	10	5	20	19					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	121	4	6	6	6	7	3	6	4	9	1	7	7	5	6	2	10	2	12	18					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	58	11	4	2	1	1	3	3	3	4	2	4	1	2	3	1	2	2	1	8					
14	Число погашенных неиспользованных открепительных удостоверений	28	2	0	0	0	0	3	0	0	2	3	1	0	1	0	4	0	3	8	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																										
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	854	18	21	29	26	41	15	33	27	35	28	26	14	14	12	29	41	34	228	183					
		14.14%	9.33%	11.23%	12.83%	13.00%	13.36%	6.07%	13.25%	9.61%	10.39%	14.97%	15.38%	7.37%	6.39%	7.06%	12.24%	11.82%	13.88%	20.02%	20.09%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	906	38	32	33	33	46	26	51	41	54	23	19	23	36	24	32	44	26	186	139					
		14.99%	19.69%	17.11%	14.60%	16.50%	14.98%	10.53%	20.48%	14.59%	16.02%	12.30%	11.24%	12.11%	16.44%	14.12%	13.50%	12.68%	10.61%	16.33%	15.26%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	55	1	0	1	0	2	4	1	1	6	1	1	1	3	0	4	1	2	14	12					
		0.91%	0.52%	0.00%	0.44%	0.00%	0.65%	1.62%	0.40%	0.36%	1.78%	0.53%	0.59%	0.53%	1.37%	0.00%	1.69%	0.29%	0.82%	1.23%	1.32%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	977	30	35	17	14	58	50	15	26	34	21	17	27	22	22	36	64	51	253	185					
		16.17%	15.54%	18.72%	7.52%	7.00%	18.89%	20.24%	6.02%	9.25%	10.09%	11.23%	10.06%	14.21%	10.05%	12.94%	15.19%	18.44%	20.82%	22.21%	20.31%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	104	7	1	0	5	1	3	8	2	9	0	3	0	3	2	4	10	3	28	15					
		1.72%	3.63%	0.53%	0.00%	2.50%	0.33%	1.21%	3.21%	0.71%	2.67%	0.00%	1.78%	0.00%	1.37%	1.18%	1.69%	2.88%	1.22%	2.46%	1.65%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3029	94	96	142	120	155	147	131	175	190	109	98	120	139	105	128	181	127	409	363					
		50.14%	48.70%	51.34%	62.83%	60.00%	50.49%	59.51%	52.61%	62.28%	56.38%	58.29%	57.99%	63.16%	63.47%	61.76%	54.01%	52.16%	51.84%	35.91%	39.85%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	24	1	0	2	1	0	0	4	1	1	1	1	1	1	0	0	0	0	6	4					
		0.40%	0.52%	0.00%	0.88%	0.50%	0.00%	0.00%	1.61%	0.36%	0.30%	0.53%	0.59%	0.53%	0.46%	0.00%	0.00%	0.00%	0.00%	0.53%	0.44%					
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
