Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва														
Дата голосования: 02.12.2007														
														
Наименование Избирательной комиссии:    Сунженская														
														
Сводная таблица результатов выборов														
														
		Сумма	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256					
1	"Число избирателей, внесенных в списки избирателей"	9150	1634	1086	1348	552	1136	928	2466					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	9150	1634	1086	1348	552	1136	928	2466					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	9094	1626	1079	1335	552	1127	926	2449					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	15	3	0	4	0	3	0	5					
6	Число погашенных избирательных бюллетеней	39	5	7	9	0	6	2	10					
7	Число избирательных бюллетеней в переносных ящиках для голосования	15	3	0	4	0	3	0	5					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	9094	1626	1079	1335	552	1127	926	2449					
9	Число недействительных избирательных бюллетеней	11	1	2	1	0	2	1	4					
10	Число действительных избирательных бюллетеней	9098	1628	1077	1338	552	1128	925	2450					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	200	35	30	30	20	30	20	35					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	2	1	0	1	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	0	0	0	0	0	0	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	198	34	30	29	20	30	20	35					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	2	0	0	0	0	0	0	2					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0					
														
18	1.Политическая партия «Аграрная партия России»	2	0	0	2	0	0	0	0					
		0.02%	0.00%	0.00%	0.15%	0.00%	0.00%	0.00%	0.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	3	1	0	1	0	0	0	1					
		0.03%	0.06%	0.00%	0.07%	0.00%	0.00%	0.00%	0.04%					
20	3.Политическая партия «Демократическая партия России»	1	0	0	0	0	0	0	1					
		0.01%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.04%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	15	3	3	3	2	0	4	0					
		0.16%	0.18%	0.28%	0.22%	0.36%	0.00%	0.43%	0.00%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	4	0	0	0	0	2	0	2					
		0.04%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	0.08%					
23	6.Политическая партия «Партия социальной справедливости»	0	0	0	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	0	0	0	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	3	0	2	1	0	0	0	0					
		0.03%	0.00%	0.19%	0.07%	0.00%	0.00%	0.00%	0.00%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	1	0	0	1	0	0	0	0					
		0.01%	0.00%	0.00%	0.07%	0.00%	0.00%	0.00%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	9064	1622	1072	1330	550	1125	921	2444					
		99.51%	99.57%	99.35%	99.33%	99.64%	99.56%	99.46%	99.59%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	5	2	0	0	0	1	0	2					
		0.05%	0.12%	0.00%	0.00%	0.00%	0.09%	0.00%	0.08%					
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
