Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва														
Дата голосования: 04.12.2011														
														
Наименование Избирательной комиссии:    Сунженская														
														
Сводная таблица результатов выборов														
														
		Сумма	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264					
1	"Число избирателей, внесенных в список избирателей"	10868	1958	1470	2426	805	1005	1175	2029					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10904	1962	1477	2433	808	1007	1180	2037					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	10782	1941	1459	2397	801	998	1166	2020					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	18	3	2	4	1	1	3	4					
6	Число погашенных избирательных бюллетеней	104	18	16	32	6	8	11	13					
7	Число избирательных бюллетеней в переносных ящиках для голосования	18	3	2	4	1	1	3	4					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	10782	1941	1459	2397	801	998	1166	2020					
9	Число недействительных избирательных бюллетеней	17	4	3	5	0	0	2	3					
10	Число действительных избирательных бюллетеней	10783	1940	1458	2396	802	999	1167	2021					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	50	10	6	10	4	5	5	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	3	0	0	2	0	1	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	122	0	122	0	0	0	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	47	10	6	8	4	4	5	10					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0					
														
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	12	2	2	2	1	1	2	2					
		0.11%	0.10%	0.14%	0.08%	0.12%	0.10%	0.17%	0.10%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	10	2	1	1	0	3	2	1					
		0.09%	0.10%	0.07%	0.04%	0.00%	0.30%	0.17%	0.05%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	14	1	2	3	2	3	2	1					
		0.13%	0.05%	0.14%	0.12%	0.25%	0.30%	0.17%	0.05%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	11	2	2	2	1	2	1	1					
		0.10%	0.10%	0.14%	0.08%	0.12%	0.20%	0.09%	0.05%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	7	1	1	1	0	1	1	2					
		0.06%	0.05%	0.07%	0.04%	0.00%	0.10%	0.09%	0.10%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	10717	1931	1449	2384	796	987	1158	2012					
		99.23%	99.33%	99.18%	99.29%	99.25%	98.80%	99.06%	99.41%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	12	1	1	3	2	2	1	2					
		0.11%	0.05%	0.07%	0.12%	0.25%	0.20%	0.09%	0.10%					
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
