Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																			
Дата голосования: 18.09.2016																																			
																																			
Наименование Избирательной комиссии:    Егорлыкская																																			
																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																			
																																			
		Сумма	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	27906	1984	2153	1730	1850	1069	1630	804	1126	2070	706	830	1396	395	1005	394	970	821	1933	1386	1153	687	712	658	444									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	26149	1852	2025	1609	1688	1004	1524	763	1139	1945	663	785	1306	370	932	369	911	769	1786	1295	1062	650	669	618	415									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	18240	1321	1550	1102	762	841	1476	373	467	1215	451	520	858	290	590	292	786	459	1139	1252	811	466	484	405	330									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1292	35	30	32	74	20	48	2	29	111	46	58	79	30	107	24	22	67	181	3	78	61	51	69	35									
6	Число погашенных избирательных бюллетеней	6617	496	445	475	852	143	0	388	643	619	166	207	369	50	235	53	103	243	466	40	173	123	134	144	50									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1292	35	30	32	74	20	48	2	29	111	46	58	79	30	107	24	22	67	181	3	78	61	51	69	35									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	18239	1321	1550	1102	762	841	1476	373	467	1215	451	520	858	290	590	292	786	459	1139	1252	811	465	484	405	330									
9	Число недействительных избирательных бюллетеней	227	17	28	16	3	8	16	4	15	22	9	8	3	0	17	0	0	2	31	3	0	9	3	9	4									
10	Число действительных избирательных бюллетеней	19304	1339	1552	1118	833	853	1508	371	481	1304	488	570	934	320	680	316	808	524	1289	1252	889	517	532	465	361									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	330	20	20	20	20	20	20	20	20	20	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	114	5	14	9	7	4	3	13	15	10	3	2	3	0	2	3	4	5	4	0	0	4	2	2	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	47	6	8	1	3	1	4	1	4	4	2	0	1	0	0	2	0	0	2	1	0	2	1	3	1									
14	Число погашенных неиспользованных открепительных удостоверений	216	15	6	11	13	16	17	7	5	10	7	8	7	10	8	7	6	5	6	10	10	6	8	8	10									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	13	3	2	1	1	1	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
