Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																								
Дата голосования: 04.12.2011																																																								
																																																								
Наименование Избирательной комиссии:    Нефтекамская городская																																																								
																																																								
Сводная таблица результатов выборов																																																								
																																																								
		Сумма	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507					
1	"Число избирателей, внесенных в список избирателей"	101034	2228	2928	2222	862	2936	2222	3010	2172	2543	1486	2142	202	305	2999	2922	2927	2127	2106	2550	1983	2906	1797	2309	1076	1985	1579	2254	1663	2138	2311	2462	1942	2036	1783	1763	2781	2332	1538	1529	1792	1648	2077	2082	2390	3013	709	1338	2026	2903					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	90950	1950	2600	1950	800	2600	1950	2600	1900	2300	1450	1850	200	300	2700	2600	2550	1850	1900	2250	1800	2650	1600	2100	950	1850	2050	2050	1450	1900	1950	2200	1750	1800	1550	1550	2400	2100	1350	1300	1550	1450	1750	1800	2100	2700	550	1700	2000	2700					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	61542	1187	1599	1224	525	1685	1195	1799	1248	1617	932	1263	181	149	1803	2083	1964	1247	1292	1398	1233	1679	868	1404	598	1221	1542	1244	1096	1265	1400	1531	1011	1447	1026	1092	1802	1313	732	871	1128	985	1270	1744	1453	1776	370	1230	1316	1504					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1514	138	49	70	55	17	22	33	9	38	11	39	1	112	41	38	53	35	26	20	31	31	27	24	32	63	37	27	16	9	25	11	13	24	10	11	9	14	1	5	19	16	8	35	26	18	4	54	78	29					
6	Число погашенных избирательных бюллетеней	27888	625	952	656	220	898	733	768	643	645	507	548	18	39	856	479	533	564	582	830	536	940	705	672	320	566	471	779	338	626	525	658	726	329	514	447	589	773	617	424	403	449	472	21	621	906	176	416	606	1167					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1514	138	49	70	55	17	22	33	9	38	11	39	1	112	41	38	53	35	26	20	31	31	27	24	32	63	37	27	16	9	25	11	13	24	10	11	9	14	1	5	19	16	8	35	26	18	4	54	78	29					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	61514	1175	1599	1224	525	1685	1195	1798	1248	1612	932	1261	181	149	1803	2083	1964	1245	1292	1397	1233	1679	868	1404	598	1221	1542	1244	1096	1265	1400	1531	1011	1447	1026	1092	1802	1313	732	871	1128	985	1270	1741	1453	1776	370	1228	1316	1504					
9	Число недействительных избирательных бюллетеней	859	11	27	11	8	7	9	34	25	19	14	19	10	2	22	4	24	17	22	30	11	14	5	80	13	21	23	2	3	20	34	27	13	21	14	16	25	27	18	17	11	10	22	3	16	20	1	29	0	28					
10	Число действительных избирательных бюллетеней	62169	1302	1621	1283	572	1695	1208	1797	1232	1631	929	1281	172	259	1822	2117	1993	1263	1296	1387	1253	1696	890	1348	617	1263	1556	1269	1109	1254	1391	1515	1011	1450	1022	1087	1786	1300	715	859	1136	991	1256	1773	1463	1774	373	1253	1394	1505					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1343	20	33	25	15	38	25	50	45	36	15	35	1	1	45	40	35	25	35	30	25	55	19	32	10	30	25	30	25	25	25	20	25	20	15	25	25	25	15	30	30	15	30	25	30	70	8	20	20	45					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1216	18	30	25	10	36	20	42	45	34	14	30	0	0	44	40	34	23	34	30	22	54	19	32	10	26	25	22	15	23	25	20	22	20	15	24	23	25	14	29	21	15	26	23	25	64	4	11	16	37					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1058	189	17	13	12	18	17	33	20	20	16	47	8	14	17	17	39	27	29	15	15	19	11	20	16	16	12	21	22	21	16	15	12	16	14	18	8	11	7	23	14	13	19	20	17	19	4	12	15	44					
14	Число погашенных неиспользованных открепительных удостоверений	127	2	3	0	5	2	5	8	0	2	1	5	1	1	1	0	1	2	1	0	3	1	0	0	0	4	0	8	10	2	0	0	3	0	0	1	2	0	1	1	9	0	4	2	5	6	4	9	4	8					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	57	1	2	1	1	1	1	1	2	0	2	2	0	0	2	0	2	2	1	3	0	2	0	1	0	2	6	3	1	1	1	2	0	0	1	1	1	1	1	3	2	0	1	2	0	1	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																								
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	7009	161	231	90	66	208	134	275	175	217	128	152	10	21	191	121	124	183	129	204	152	269	69	159	72	149	181	103	145	136	178	180	120	154	125	98	131	142	79	104	157	137	193	47	96	314	25	131	130	213					
		11.12%	12.26%	14.02%	6.96%	11.38%	12.22%	11.01%	15.02%	13.92%	13.15%	13.57%	11.69%	5.49%	8.05%	10.36%	5.70%	6.15%	14.30%	9.79%	14.40%	12.03%	15.73%	7.71%	11.13%	11.43%	11.60%	11.46%	8.10%	13.04%	10.68%	12.49%	11.67%	11.72%	10.47%	12.07%	8.88%	7.23%	10.70%	10.78%	11.87%	13.69%	13.69%	15.10%	2.65%	6.49%	17.50%	6.68%	10.22%	9.33%	13.89%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	5813	134	184	90	73	132	153	208	145	138	136	144	15	21	156	43	106	141	81	145	149	196	15	165	105	78	44	108	115	163	96	183	130	154	94	115	131	180	71	96	136	102	154	19	104	200	41	102	132	190					
		9.22%	10.21%	11.17%	6.96%	12.59%	7.76%	12.57%	11.36%	11.54%	8.36%	14.42%	11.08%	8.24%	8.05%	8.46%	2.03%	5.26%	11.02%	6.15%	10.23%	11.79%	11.46%	1.68%	11.55%	16.67%	6.07%	2.79%	8.50%	10.34%	12.79%	6.74%	11.87%	12.70%	10.47%	9.07%	10.43%	7.23%	13.56%	9.69%	10.96%	11.86%	10.19%	12.05%	1.07%	7.03%	11.15%	10.96%	7.96%	9.47%	12.39%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	551	15	14	13	6	9	11	20	16	15	8	24	3	4	24	9	15	16	10	11	9	19	6	12	4	10	10	5	5	8	9	13	0	16	10	16	13	14	13	8	11	8	16	5	14	21	2	10	8	13					
