Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																											
Дата голосования: 02.12.2007																																																											
																																																											
Наименование Избирательной комиссии:    Нефтекамская городская																																																											
																																																											
Сводная таблица результатов выборов																																																											
																																																											
		Сумма	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507					
1	"Число избирателей, внесенных в списки избирателей"	98231	2880	1330	1068	2856	2425	1645	1863	2441	2248	1920	1546	1890	2405	2446	1858	2295	2066	2701	2272	1546	1747	382	1436	223	1370	2074	1731	1614	1888	1901	1660	1809	1766	1654	2397	1846	1704	1953	1785	2200	1396	2361	2098	2887	1510	623	1446	2616	2032	1860	1849	2712					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	89280	2500	1170	1000	2500	2200	1500	1650	2150	1950	1750	1400	1750	2200	2150	1650	2050	1850	2450	2000	1350	1500	370	1300	210	1350	1850	1600	1500	1750	1800	1520	1600	1500	1500	2350	1650	1550	1750	1570	2150	1300	2250	2000	2450	1530	610	1300	2350	1850	1700	1700	2650					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	84324	2419	1122	900	2434	2006	1455	1600	2071	1861	1517	1307	1578	2035	1870	1539	1993	1769	2196	1797	1202	1393	223	1157	174	1335	1761	1528	1371	1738	1677	1504	1591	1418	1467	2338	1473	1455	1743	1562	2122	1194	2203	1989	2381	1403	603	1216	2334	1784	1447	1495	2574					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1541	20	31	12	29	37	37	36	42	26	43	39	27	35	54	41	23	27	34	27	22	15	144	23	36	7	7	23	1	12	28	16	9	11	8	11	13	14	7	8	10	27	47	11	69	69	4	41	14	22	80	81	31					
6	Число погашенных избирательных бюллетеней	3415	61	17	88	37	157	8	14	37	63	190	54	145	130	226	70	34	54	220	176	126	92	3	120	0	8	82	49	128	0	95	0	0	71	25	1	164	81	0	0	18	79	0	0	0	58	3	43	2	44	173	124	45					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1541	20	31	12	29	37	37	36	42	26	43	39	27	35	54	41	23	27	34	27	22	15	144	23	36	7	7	23	1	12	28	16	9	11	8	11	13	14	7	8	10	27	47	11	69	69	4	41	14	22	80	81	31					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	84300	2408	1117	900	2434	2006	1455	1600	2071	1861	1517	1307	1578	2035	1870	1539	1993	1769	2196	1790	1201	1393	223	1157	174	1335	1761	1528	1371	1738	1677	1504	1591	1418	1467	2338	1473	1455	1743	1562	2122	1194	2203	1989	2381	1403	603	1216	2334	1784	1447	1495	2574					
9	Число недействительных избирательных бюллетеней	811	11	76	9	6	5	22	6	9	18	4	9	9	102	37	0	13	15	11	25	9	5	3	6	0	16	16	17	10	29	13	77	7	13	2	10	0	12	95	13	3	1	0	4	9	0	1	5	0	16	10	3	19					
10	Число действительных избирательных бюллетеней	85030	2417	1072	903	2457	2038	1470	1630	2104	1869	1556	1337	1596	1968	1887	1580	2003	1781	2219	1792	1214	1403	364	1174	210	1326	1752	1534	1362	1721	1692	1443	1593	1416	1473	2339	1486	1457	1655	1557	2129	1220	2250	1996	2441	1472	606	1252	2348	1790	1517	1573	2586					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1613	55	10	30	35	25	30	35	35	25	37	28	40	45	30	25	30	45	51	45	21	25	5	25	5	49	40	35	30	27	35	28	25	25	45	35	35	25	30	35	51	25	45	15	25	10	10	19	35	25	28	29	60					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1578	55	10	30	35	25	27	35	35	25	36	28	37	45	30	25	30	40	50	45	20	20	5	24	5	49	40	35	29	27	35	28	25	25	45	33	35	25	29	35	51	23	45	15	25	10	7	17	35	22	28	29	59					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	1102	45	11	25	44	34	10	35	19	13	9	11	12	16	22	25	11	15	34	10	17	19	22	10	0	13	7	5	22	34	18	27	16	7	11	24	4	5	13	15	15	5	14	12	230	20	4	18	14	11	10	7	52					
14	Число погашенных неиспользованных открепительных удостоверений	35	0	0	0	0	0	3	0	0	0	1	0	3	0	0	0	0	5	1	0	1	5	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	2	0	0	0	0	3	2	0	3	0	0	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	52	1	0	0	6	0	0	0	0	3	1	0	1	0	0	1	0	2	1	3	3	3	0	0	0	1	1	0	1	3	2	2	3	1	2	0	1	0	1	0	2	0	1	2	0	0	0	1	1	0	1	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																											
18	1.Политическая партия «Аграрная партия России»	774	10	3	9	22	20	6	21	34	39	4	14	6	41	0	13	26	23	31	28	16	15	2	20	2	10	23	29	20	18	18	19	5	32	3	19	23	11	17	18	1	10	12	4	0	4	14	2	17	24	6	6	4					
		0.90%	0.41%	0.26%	0.99%	0.89%	0.98%	0.40%	1.28%	1.61%	2.07%	0.26%	1.04%	0.37%	1.98%	0.00%	0.82%	1.29%	1.28%	1.39%	1.54%	1.31%	1.07%	0.54%	1.69%	0.95%	0.75%	1.30%	1.87%	1.46%	1.03%	1.06%	1.25%	0.31%	2.24%	0.20%	0.81%	1.55%	0.75%	0.97%	1.15%	0.05%	0.82%	0.53%	0.20%	0.00%	0.27%	2.31%	0.16%	0.72%	1.33%	0.39%	0.38%	0.15%					
19	2.Всероссийская политическая партия «Гражданская Сила»	370	8	2	0	17	8	4	2	5	11	1	10	2	18	14	7	16	0	14	11	9	11	0	9	1	6	4	11	6	17	9	0	5	11	3	6	47	2	3	2	3	3	6	2	13	0	4	2	8	2	5	7	3					
