Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва															
Дата голосования: 07.12.2003 0:00:00															
															
Наименование Избирательной комиссии:    Абазинская городская															
															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)															
															
		Сумма	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71					
1	"Число избирателей, внесенных в списки"	13322	2577	1660	1641	1415	2126	908	1030	1965					
2	"Число бюллетеней, полученных участковыми комиссиями"	12667	2455	1546	1530	1323	2043	840	980	1950					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	6446	1376	933	695	700	946	449	403	944					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	367	89	45	40	31	51	17	18	76					
6	Число погашенных бюллетеней	5854	990	568	795	592	1046	374	559	930					
7	Число бюллетеней в переносных ящиках для голосования	367	89	45	40	31	51	17	18	76					
8	Число бюллетеней в стационарных ящиках для голосования	6439	1376	933	695	700	946	448	397	944					
9	Число недействительных бюллетеней	55	10	8	1	7	11	5	6	7					
10	Число действительных бюллетеней	6751	1455	970	734	724	986	460	409	1013					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	142	25	15	20	15	20	12	15	20					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	42	8	3	4	5	7	1	7	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	28	9	4	6	4	0	1	2	2					
14	Число погашенных открепительных удостоверений	100	17	12	16	10	13	11	8	13					
15	Число открепительных удостоверений выданных ТИК	2	1	0	0	0	0	0	1	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0					
															
18	"1. ""ЕДИНЕНИЕ"""	25	6	1	4	3	4	4	0	3					
		0.36%	0.40%	0.10%	0.54%	0.41%	0.40%	0.86%	0.0%	0.29%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	150	39	16	22	20	19	11	10	13					
		2.20%	2.66%	1.63%	2.99%	2.73%	1.90%	2.36%	2.40%	1.27%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	226	52	41	26	27	29	8	12	31					
		3.32%	3.54%	4.19%	3.53%	3.69%	2.90%	1.72%	2.89%	3.03%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	374	91	73	38	37	44	24	16	51					
		5.49%	6.21%	7.46%	5.17%	5.06%	4.41%	5.16%	3.85%	4.99%					
22	"5. ""За Русь Святую"""	38	9	8	3	3	6	6	2	1					
		0.55%	0.61%	0.81%	0.40%	0.41%	0.60%	1.29%	0.48%	0.09%					
23	"6. ""Объединенная Российская партия ""Русь"""	19	3	5	1	2	5	1	1	1					
		0.27%	0.20%	0.51%	0.13%	0.27%	0.50%	0.21%	0.24%	0.09%					
24	"7. ""Новый курс - Автомобильная Россия"""	50	19	6	6	4	3	4	0	8					
		0.73%	1.29%	0.61%	0.81%	0.54%	0.30%	0.86%	0.0%	0.78%					
25	"8. ""Народно-республиканская партия России"""	8	2	1	1	0	1	1	1	1					
		0.11%	0.13%	0.10%	0.13%	0.0%	0.10%	0.21%	0.24%	0.09%					
26	"9. ""Российская экологическая партия ""Зеленые"""	36	10	4	7	3	5	3	1	3					
		0.52%	0.68%	0.40%	0.95%	0.41%	0.50%	0.64%	0.24%	0.29%					
27	"10. ""Аграрная партия России"""	200	37	39	21	21	34	19	6	23					
		2.93%	2.52%	3.98%	2.85%	2.87%	3.41%	4.08%	1.44%	2.25%					
28	"11. ""Истинные патриоты России"""	2	1	1	0	0	0	0	0	0					
		0.02%	0.06%	0.10%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	31	4	6	4	5	5	5	1	1					
		0.45%	0.27%	0.61%	0.54%	0.68%	0.50%	1.07%	0.24%	0.09%					
30	"13. ""Демократическая партия России"""	11	2	1	4	0	2	1	1	0					
		0.16%	0.13%	0.10%	0.54%	0.0%	0.20%	0.21%	0.24%	0.0%					
