Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																						
Дата голосования: 18.09.2016																						
																						
Наименование Избирательной комиссии:    Лескенская																						
																						
Сводная таблица итогов голосования по федеральному избирательному округу																						
																						
		Сумма	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	18451	2694	2709	1657	507	469	111	2424	2135	815	2497	2433									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	18350	2693	2707	1660	500	460	113	2420	2130	810	2490	2367									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	16680	2474	2505	1488	428	417	107	2203	1962	632	2190	2274									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	77	0	0	0	30	0	4	11	11	0	20	1									
6	Число погашенных избирательных бюллетеней	1593	219	202	172	42	43	2	206	157	178	280	92									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	77	0	0	0	30	0	4	11	11	0	20	1									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	16680	2474	2505	1488	428	417	107	2203	1962	632	2190	2274									
9	Число недействительных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	16757	2474	2505	1488	458	417	111	2214	1973	632	2210	2275									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	69	8	8	5	4	5	3	8	8	5	8	7									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	5	0	2	0	0	0	0	1	2	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	24	0	0	0	0	0	1	0	0	0	0	23									
14	Число погашенных неиспользованных открепительных удостоверений	64	8	6	5	4	5	3	7	6	5	8	7									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	11	2	2	1	1	0	0	2	1	0	0	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0									
																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	9	1	2	1	0	0	0	1	1	1	0	2									
		0.05%	0.04%	0.08%	0.07%	0.00%	0.00%	0.00%	0.05%	0.05%	0.16%	0.00%	0.09%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	2	0	0	0	0	0	0	1	1	0	0	0									
		0.01%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.05%	0.05%	0.00%	0.00%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	5	1	1	0	0	0	0	2	0	0	1	0									
		0.03%	0.04%	0.04%	0.00%	0.00%	0.00%	0.00%	0.09%	0.00%	0.00%	0.05%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	13144	1873	1830	1323	372	315	98	1644	1533	462	1834	1860									
		78.44%	75.71%	73.05%	88.91%	81.22%	75.54%	88.29%	74.25%	77.70%	73.10%	82.99%	81.76%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	109	12	9	7	4	1	1	17	15	13	9	21									
