Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																									
Дата голосования: 18.09.2016																									
																									
Наименование Избирательной комиссии:    район Ростокино																									
																									
Сводная таблица итогов голосования по федеральному избирательному округу																									
																									
		Сумма	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №3662	УИК №3663									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	22398	1799	1553	2333	297	1930	1301	1990	2535	1810	2315	2082	2188	147	118									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	15400	1200	1100	1600	200	1300	900	1400	1700	1200	1600	1450	1500	100	150									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8001	574	556	860	120	698	422	722	907	611	867	745	772	67	80									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	404	29	16	36	8	20	20	42	25	37	32	34	44	25	36									
6	Число погашенных избирательных бюллетеней	6981	597	528	704	72	582	458	636	767	552	701	671	671	8	34									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	404	29	16	36	8	20	20	42	25	37	32	34	44	25	36									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7984	574	552	860	120	698	420	722	905	608	864	742	772	67	80									
9	Число недействительных избирательных бюллетеней	154	16	11	17	2	11	8	17	18	7	15	9	21	0	2									
10	Число действительных избирательных бюллетеней	8234	587	557	879	126	707	432	747	912	638	881	767	795	92	114									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	195	10	20	20	10	10	10	20	15	20	25	20	15	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	128	4	14	11	2	7	4	19	10	9	20	18	10	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	237	9	33	28	18	17	8	12	22	17	8	10	42	4	9									
14	Число погашенных неиспользованных открепительных удостоверений	67	6	6	9	8	3	6	1	5	11	5	2	5	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	19	4	2	4	0	0	1	0	3	0	2	1	2	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	14	0	0	0	0	0	0	0	1	0	0	0	13	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	283	22	17	34	6	31	16	24	33	24	28	23	24	0	1									
		3.37%	3.65%	2.99%	3.79%	4.69%	4.32%	3.64%	3.14%	3.55%	3.72%	3.13%	2.96%	2.94%	0.00%	0.86%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	174	13	15	11	4	15	13	15	16	21	19	10	17	2	3									
		2.07%	2.16%	2.64%	1.23%	3.13%	2.09%	2.95%	1.96%	1.72%	3.26%	2.12%	1.29%	2.08%	2.17%	2.59%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	278	24	17	32	0	23	12	25	40	24	21	22	22	10	6									
		3.31%	3.98%	2.99%	3.57%	0.00%	3.20%	2.73%	3.27%	4.30%	3.72%	2.34%	2.84%	2.70%	10.87%	5.17%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2840	185	209	310	53	209	177	228	344	204	292	259	277	46	47									
		33.86%	30.68%	36.80%	34.60%	41.41%	29.11%	40.23%	29.84%	36.99%	31.63%	32.59%	33.38%	33.95%	50.00%	40.52%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	176	10	9	27	1	22	7	15	22	14	18	13	17	1	0									
		2.10%	1.66%	1.58%	3.01%	0.78%	3.06%	1.59%	1.96%	2.37%	2.17%	2.01%	1.68%	2.08%	1.09%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	24	0	1	3	1	1	2	3	3	3	3	2	1	0	1									
		0.29%	0.00%	0.18%	0.33%	0.78%	0.14%	0.45%	0.39%	0.32%	0.47%	0.33%	0.26%	0.12%	0.00%	0.86%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1072	57	69	129	16	101	42	83	144	82	121	103	98	8	19									
		12.78%	9.45%	12.15%	14.40%	12.50%	14.07%	9.55%	10.86%	15.48%	12.71%	13.50%	13.27%	12.01%	8.70%	16.38%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	276	31	12	31	6	25	19	27	25	33	23	22	21	0	1									
		3.29%	5.14%	2.11%	3.46%	4.69%	3.48%	4.32%	3.53%	2.69%	5.12%	2.57%	2.84%	2.57%	0.00%	0.86%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	302	24	26	44	4	35	25	30	25	19	23	19	27	0	1									
		3.60%	3.98%	4.58%	4.91%	3.13%	4.87%	5.68%	3.93%	2.69%	2.95%	2.57%	2.45%	3.31%	0.00%	0.86%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	19	1	0	1	1	0	1	3	2	4	4	1	1	0	0									
		0.23%	0.17%	0.00%	0.11%	0.78%	0.00%	0.23%	0.39%	0.22%	0.62%	0.45%	0.13%	0.12%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	891	81	64	78	9	63	46	111	77	67	107	90	92	1	5									
		10.62%	13.43%	11.27%	8.71%	7.03%	8.77%	10.45%	14.53%	8.28%	10.39%	11.94%	11.60%	11.27%	1.09%	4.31%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1189	83	84	110	18	115	47	106	109	85	135	126	129	17	25									
		14.18%	13.76%	14.79%	12.28%	14.06%	16.02%	10.68%	13.87%	11.72%	13.18%	15.07%	16.24%	15.81%	18.48%	21.55%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	55	3	2	9	0	3	1	7	7	6	7	0	8	0	2									
		0.66%	0.50%	0.35%	1.00%	0.00%	0.42%	0.23%	0.92%	0.75%	0.93%	0.78%	0.00%	0.98%	0.00%	1.72%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	655	53	32	60	7	64	24	70	65	52	80	77	61	7	3									
		7.81%	8.79%	5.63%	6.70%	5.47%	8.91%	5.45%	9.16%	6.99%	8.06%	8.93%	9.92%	7.48%	7.61%	2.59%									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
