Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																													
Дата голосования: 18.09.2016																													
																													
Наименование Избирательной комиссии:    Липецкая 114 ок																													
																													
Сводная таблица итогов голосования по федеральному избирательному округу																													
																													
		Сумма	УИК №1503	УИК №1505	УИК №1506	УИК №1507	УИК №1510	УИК №1511	УИК №1512	УИК №1515	УИК №1516	УИК №1517	УИК №1518	УИК №1522	УИК №1523	УИК №1524	УИК №1525	УИК №1528	УИК №1529	УИК №1534									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	19946	783	1516	1329	1104	409	2327	479	1859	849	921	563	1004	1996	549	1133	590	2012	523									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	19350	750	1500	1200	1050	400	2250	450	1850	800	900	550	1000	2000	500	1100	550	2000	500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8321	323	607	474	386	264	954	214	677	341	309	241	373	874	211	428	267	1214	164									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1386	52	76	193	99	71	61	45	62	29	116	25	79	74	60	71	62	141	70									
6	Число погашенных избирательных бюллетеней	9643	375	817	533	565	65	1235	191	1111	430	475	284	548	1052	229	601	221	645	266									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1386	52	76	193	99	71	61	45	62	29	116	25	79	74	60	71	62	141	70									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8321	323	607	474	386	264	954	214	677	341	309	241	373	874	211	428	267	1214	164									
9	Число недействительных избирательных бюллетеней	205	7	23	35	7	3	22	8	19	7	7	10	9	15	6	10	4	9	4									
10	Число действительных избирательных бюллетеней	9502	368	660	632	478	332	993	251	720	363	418	256	443	933	265	489	325	1346	230									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	194	8	12	12	12	10	20	10	15	15	10	10	10	10	5	10	5	15	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	79	5	11	4	3	1	17	7	2	3	0	3	2	7	0	2	2	10	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	74	9	10	3	0	7	4	4	2	6	6	3	1	3	2	2	5	2	5									
14	Число погашенных неиспользованных открепительных удостоверений	115	3	1	8	9	9	3	3	13	12	10	7	8	3	5	8	3	5	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	6	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	1	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	210	9	24	18	7	4	38	4	14	9	9	10	13	13	6	3	6	14	9									
		2.16%	2.40%	3.51%	2.70%	1.44%	1.19%	3.74%	1.54%	1.89%	2.43%	2.12%	3.76%	2.88%	1.37%	2.21%	0.60%	1.82%	1.03%	3.85%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	277	8	15	29	24	8	25	11	28	14	5	11	13	42	4	12	8	10	10									
		2.85%	2.13%	2.20%	4.35%	4.95%	2.39%	2.46%	4.25%	3.79%	3.78%	1.18%	4.14%	2.88%	4.43%	1.48%	2.40%	2.43%	0.74%	4.27%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	216	6	13	26	16	4	35	4	15	13	10	3	6	23	10	4	11	10	7									
		2.23%	1.60%	1.90%	3.90%	3.30%	1.19%	3.45%	1.54%	2.03%	3.51%	2.35%	1.13%	1.33%	2.43%	3.69%	0.80%	3.34%	0.74%	2.99%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5411	220	265	263	222	305	455	135	348	159	246	100	271	512	151	360	176	1089	134									
		55.74%	58.67%	38.80%	39.43%	45.77%	91.04%	44.83%	52.12%	47.09%	42.97%	57.88%	37.59%	59.96%	54.01%	55.72%	72.14%	53.50%	80.37%	57.26%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	56	2	2	9	2	1	7	6	5	3	3	0	3	5	0	1	0	7	0									
		0.58%	0.53%	0.29%	1.35%	0.41%	0.30%	0.69%	2.32%	0.68%	0.81%	0.71%	0.00%	0.66%	0.53%	0.00%	0.20%	0.00%	0.52%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	16	0	0	4	2	0	1	0	1	1	0	0	1	3	0	0	1	1	1									
		0.16%	0.00%	0.00%	0.60%	0.41%	0.00%	0.10%	0.00%	0.14%	0.27%	0.00%	0.00%	0.22%	0.32%	0.00%	0.00%	0.30%	0.07%	0.43%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1323	50	99	91	87	0	167	36	129	71	72	52	60	137	48	25	65	104	30									
		13.63%	13.33%	14.49%	13.64%	17.94%	0.00%	16.45%	13.90%	17.46%	19.19%	16.94%	19.55%	13.27%	14.45%	17.71%	5.01%	19.76%	7.68%	12.82%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	37	0	5	4	1	0	3	0	7	0	1	2	3	1	3	2	1	3	1									
		0.38%	0.00%	0.73%	0.60%	0.21%	0.00%	0.30%	0.00%	0.95%	0.00%	0.24%	0.75%	0.66%	0.11%	1.11%	0.40%	0.30%	0.22%	0.43%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	74	3	12	5	7	1	9	1	7	5	3	0	0	9	1	2	2	5	2									
		0.76%	0.80%	1.76%	0.75%	1.44%	0.30%	0.89%	0.39%	0.95%	1.35%	0.71%	0.00%	0.00%	0.95%	0.37%	0.40%	0.61%	0.37%	0.85%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	19	0	1	2	0	0	2	0	3	2	1	1	0	5	0	0	0	1	1									
		0.20%	0.00%	0.15%	0.30%	0.00%	0.00%	0.20%	0.00%	0.41%	0.54%	0.24%	0.38%	0.00%	0.53%	0.00%	0.00%	0.00%	0.07%	0.43%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	89	5	11	11	5	0	19	3	3	4	1	2	4	10	1	0	4	6	0									
		0.92%	1.33%	1.61%	1.65%	1.03%	0.00%	1.87%	1.16%	0.41%	1.08%	0.24%	0.75%	0.88%	1.05%	0.37%	0.00%	1.22%	0.44%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1349	43	178	130	72	0	169	45	118	57	51	70	49	124	27	75	31	84	26									
		13.90%	11.47%	26.06%	19.49%	14.85%	0.00%	16.65%	17.37%	15.97%	15.41%	12.00%	26.32%	10.84%	13.08%	9.96%	15.03%	9.42%	6.20%	11.11%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	44	0	4	6	5	0	7	1	4	4	0	1	2	4	3	0	0	2	1									
		0.45%	0.00%	0.59%	0.90%	1.03%	0.00%	0.69%	0.39%	0.54%	1.08%	0.00%	0.38%	0.44%	0.42%	1.11%	0.00%	0.00%	0.15%	0.43%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	381	22	31	34	28	9	56	5	38	21	16	4	18	45	11	5	20	10	8									
		3.93%	5.87%	4.54%	5.10%	5.77%	2.69%	5.52%	1.93%	5.14%	5.68%	3.76%	1.50%	3.98%	4.75%	4.06%	1.00%	6.08%	0.74%	3.42%									
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
