Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																											
Дата голосования: 18.09.2016																																																											
																																																											
Наименование Избирательной комиссии:    Рыльская																																																											
																																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																																											
																																																											
		Сумма	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	27186	872	1532	1564	995	1788	1691	934	837	925	1613	174	224	275	90	171	123	1065	573	387	315	1323	592	370	278	735	760	136	451	1064	397	133	178	182	405	198	297	193	250	225	280	248	304	221	748	361	169	226	314									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	21900	700	1240	1260	750	1420	1380	750	690	750	1300	150	180	220	70	140	100	860	460	320	260	1040	480	300	230	600	610	110	370	820	320	110	140	150	330	160	240	150	200	180	230	200	240	180	610	300	150	200	250									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	11943	468	682	645	486	835	639	443	356	356	734	58	84	65	50	78	76	504	192	204	192	728	212	138	101	281	258	63	238	457	132	54	79	75	114	104	146	119	113	125	107	106	129	111	301	151	68	131	155									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1448	9	33	43	0	41	20	9	30	13	15	20	35	69	9	20	13	31	63	20	6	30	48	35	30	32	28	22	27	61	45	17	8	25	48	16	46	16	45	19	61	26	32	14	73	53	28	36	28									
6	Число погашенных избирательных бюллетеней	8509	223	525	572	264	544	721	298	304	381	551	72	61	86	11	42	11	325	205	96	62	282	220	127	99	287	324	25	105	302	143	39	53	50	168	40	48	15	42	36	62	68	79	55	236	96	54	33	67									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1448	9	33	43	0	41	20	9	30	13	15	20	35	69	9	20	13	31	63	20	6	30	48	35	30	32	28	22	27	61	45	17	8	25	48	16	46	16	45	19	61	26	32	14	73	53	28	36	28									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	11942	467	682	645	486	835	639	443	356	356	734	58	84	65	50	78	76	504	192	204	192	728	212	138	101	281	258	63	238	457	132	54	79	75	114	104	146	119	113	125	107	106	129	111	301	151	68	131	155									
9	Число недействительных избирательных бюллетеней	425	11	9	27	19	77	27	13	4	13	27	0	0	2	0	3	0	8	8	7	8	20	7	3	32	3	6	0	8	21	4	2	4	7	3	4	2	5	0	3	0	2	7	5	11	0	2	0	1									
10	Число действительных избирательных бюллетеней	12965	465	706	661	467	799	632	439	382	356	722	78	119	132	59	95	89	527	247	217	190	738	253	170	99	310	280	85	257	497	173	69	83	93	159	116	190	130	158	141	168	130	154	120	363	204	94	167	182									
