Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																								
Дата голосования: 02.12.2007																																																								
																																																								
Наименование Избирательной комиссии:    Ростовская																																																								
																																																								
Сводная таблица результатов выборов																																																								
																																																								
		Сумма	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757					
1	"Число избирателей, внесенных в списки избирателей"	54293	2597	2291	2481	1550	1361	1390	2702	1405	2588	2371	2661	2426	366	361	191	568	94	305	437	1071	200	230	179	129	358	186	124	609	2105	1892	249	360	727	477	217	766	843	688	222	1654	2285	2271	386	1481	329	2721	816	475	2098					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	49760	2300	2200	2200	1300	1200	1300	2300	1300	2200	2200	2300	2200	350	350	170	550	100	300	400	1000	200	250	180	130	400	200	130	500	2000	1700	250	300	700	450	250	750	850	650	250	1500	2000	2000	350	1500	300	2500	800	450	2000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	29310	1346	1251	1394	760	702	758	1294	594	1415	1477	1581	1384	146	183	68	266	47	220	224	672	96	101	125	63	238	110	39	277	1025	1160	140	225	336	232	110	430	463	378	52	890	1457	1294	252	750	148	1436	362	247	1092					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3682	99	39	36	81	78	82	128	56	85	59	70	62	127	103	79	154	28	44	74	94	34	81	8	37	47	35	48	60	168	174	76	10	157	31	65	69	59	41	88	67	58	68	51	56	37	85	142	48	204					
6	Число погашенных избирательных бюллетеней	16768	855	910	770	459	420	460	878	650	700	664	649	754	77	64	23	130	25	36	102	234	70	68	47	30	115	55	43	163	807	366	34	65	207	187	75	251	328	231	110	543	485	638	47	694	115	979	296	155	704					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3682	99	39	36	81	78	82	128	56	85	59	70	62	127	103	79	154	28	44	74	94	34	81	8	37	47	35	48	60	168	174	76	10	157	31	65	69	59	41	88	67	58	68	51	56	37	85	142	48	204					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	29194	1346	1251	1389	760	702	758	1294	594	1411	1474	1490	1384	146	183	68	266	47	220	224	670	96	101	125	63	238	110	39	277	1025	1160	140	225	336	232	110	430	463	378	52	885	1455	1290	252	750	148	1436	362	247	1092					
9	Число недействительных избирательных бюллетеней	266	5	11	21	6	5	9	17	3	16	15	14	18	0	0	1	3	0	2	4	10	1	0	2	0	1	0	0	2	5	13	2	4	1	4	1	4	2	3	0	8	18	10	0	4	1	12	2	0	6					
10	Число действительных избирательных бюллетеней	32610	1440	1279	1404	835	775	831	1405	647	1480	1518	1546	1428	273	286	146	417	75	262	294	754	129	182	131	100	284	145	87	335	1188	1321	214	231	492	259	174	495	520	416	140	944	1495	1348	303	802	184	1509	502	295	1290					
