Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																		
Дата голосования: 07.12.2003 0:00:00																																		
																																		
Наименование Избирательной комиссии:    Район Лефортово																																		
																																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																		
																																		
		Сумма	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК  3117	УИК  3118	УИК  3119					
1	"Число избирателей, внесенных в списки"	53078	1988	1453	1888	1529	1522	1534	1860	1568	2458	2724	2174	2597	3198	1762	1202	3172	2063	2415	2603	2726	2590	2620	2515	2288	481	102	46					
2	"Число бюллетеней, полученных участковыми комиссиями"	52730	1990	1460	1900	1530	1510	1530	1860	1570	2440	2730	2120	2640	2590	1780	1010	2800	2080	2570	2540	2740	2620	2700	2540	2270	1000	130	80					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	30778	929	738	912	847	850	829	1044	871	1484	1534	1287	1525	2455	922	622	2058	1511	1341	1493	1427	1374	1415	1329	1352	481	102	46					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	800	29	20	25	16	34	31	44	30	38	19	45	32	16	22	16	55	33	48	19	55	37	43	45	48	0	0	0					
6	Число погашенных бюллетеней	21150	1032	702	963	667	626	670	772	669	918	1177	788	1083	117	836	372	687	536	1181	1028	1258	1209	1242	1166	870	519	28	34					
7	Число бюллетеней в переносных ящиках для голосования	800	29	20	25	16	34	31	44	30	38	19	45	32	16	22	16	55	33	48	19	55	37	43	45	48	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	30585	928	736	912	844	850	828	1041	871	1408	1531	1282	1521	2435	917	617	2039	1497	1337	1478	1426	1374	1409	1323	1352	481	102	46					
9	Число недействительных бюллетеней	330	8	4	14	8	10	19	15	5	20	33	6	14	28	7	7	7	15	11	11	19	19	11	17	18	1	3	0					
10	Число действительных бюллетеней	31055	949	752	923	852	874	840	1070	896	1426	1517	1321	1539	2423	932	626	2087	1515	1374	1486	1462	1392	1441	1351	1382	480	99	46					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1393	50	40	50	40	40	50	50	40	70	70	40	70	135	43	30	80	60	60	70	70	70	70	35	60	0	0	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	817	30	19	19	17	13	15	22	23	25	26	24	41	131	33	14	66	48	39	21	39	46	33	29	44	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	605	29	13	24	16	18	17	22	9	30	35	29	29	45	0	34	18	18	32	32	23	14	12	17	16	41	14	18					
14	Число погашенных открепительных удостоверений	576	20	21	31	23	27	35	28	17	45	44	16	29	4	10	16	14	12	21	49	31	24	37	6	16	0	0	0					
15	Число открепительных удостоверений выданных ТИК	7	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	3	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																		
18	"1. ""ЕДИНЕНИЕ"""	209	4	0	5	3	10	4	6	5	17	9	5	9	13	3	7	22	22	5	2	19	4	10	7	10	7	1	0					
		0.66%	0.41%	0.0%	0.53%	0.34%	1.13%	0.46%	0.55%	0.55%	1.17%	0.58%	0.37%	0.57%	0.53%	0.31%	1.10%	1.05%	1.43%	0.36%	0.13%	1.28%	0.28%	0.68%	0.51%	0.71%	1.45%	0.98%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	2581	98	77	83	61	64	61	86	69	202	119	133	130	74	93	61	169	108	143	186	100	105	90	102	123	24	7	13					
		8.22%	10.24%	10.18%	8.85%	7.09%	7.23%	7.10%	7.92%	7.65%	13.96%	7.67%	10.02%	8.37%	3.01%	9.90%	9.63%	8.07%	7.05%	10.32%	12.42%	6.75%	7.44%	6.19%	7.45%	8.78%	4.98%	6.86%	28.26%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	665	29	15	28	18	25	14	15	27	28	39	32	38	21	21	15	21	18	29	20	43	31	49	27	33	26	3	0					
		2.11%	3.03%	1.98%	2.98%	2.09%	2.82%	1.62%	1.38%	2.99%	1.93%	2.51%	2.41%	2.44%	0.85%	2.23%	2.36%	1.00%	1.17%	2.09%	1.33%	2.90%	2.19%	3.37%	1.97%	2.35%	5.40%	2.94%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	2898	89	74	113	101	82	71	117	104	198	136	120	143	74	85	72	142	99	159	178	133	118	139	146	152	35	10	8					
		9.23%	9.29%	9.78%	12.05%	11.74%	9.27%	8.26%	10.78%	11.54%	13.69%	8.77%	9.04%	9.20%	3.01%	9.05%	11.37%	6.78%	6.47%	11.48%	11.89%	8.98%	8.36%	9.57%	10.67%	10.85%	7.27%	9.80%	17.39%					
22	"5. ""За Русь Святую"""	163	4	4	7	4	9	3	7	8	6	9	10	5	8	0	1	7	10	8	6	4	12	11	4	12	2	2	0					
		0.51%	0.41%	0.52%	0.74%	0.46%	1.01%	0.34%	0.64%	0.88%	0.41%	0.58%	0.75%	0.32%	0.32%	0.0%	0.15%	0.33%	0.65%	0.57%	0.40%	0.27%	0.85%	0.75%	0.29%	0.85%	0.41%	1.96%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	94	0	0	5	1	4	1	5	0	5	5	1	3	25	2	1	4	10	1	3	5	6	3	1	1	2	0	0					
		0.29%	0.0%	0.0%	0.53%	0.11%	0.45%	0.11%	0.46%	0.0%	0.34%	0.32%	0.07%	0.19%	1.01%	0.21%	0.15%	0.19%	0.65%	0.07%	0.20%	0.33%	0.42%	0.20%	0.07%	0.07%	0.41%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	571	10	10	17	27	23	17	17	18	31	39	18	24	45	11	18	37	25	23	26	22	25	23	23	32	8	2	0					
		1.81%	1.04%	1.32%	1.81%	3.13%	2.60%	1.97%	1.56%	1.99%	2.14%	2.51%	1.35%	1.54%	1.83%	1.17%	2.84%	1.76%	1.63%	1.66%	1.73%	1.48%	1.77%	1.58%	1.68%	2.28%	1.66%	1.96%	0.0%					
25	"8. ""Народно-республиканская партия России"""	34	3	1	0	0	0	2	1	1	1	0	2	0	14	2	0	0	1	0	0	1	2	0	1	1	0	1	0					
		0.10%	0.31%	0.13%	0.0%	0.0%	0.0%	0.23%	0.09%	0.11%	0.06%	0.0%	0.15%	0.0%	0.57%	0.21%	0.0%	0.0%	0.06%	0.0%	0.0%	0.06%	0.14%	0.0%	0.07%	0.07%	0.0%	0.98%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	283	4	3	7	9	5	7	7	7	11	7	9	10	28	12	8	27	20	15	20	14	8	16	7	14	8	0	0					
		0.90%	0.41%	0.39%	0.74%	1.04%	0.56%	0.81%	0.64%	0.77%	0.76%	0.45%	0.67%	0.64%	1.14%	1.27%	1.26%	1.28%	1.30%	1.08%	1.33%	0.94%	0.56%	1.10%	0.51%	1.0%	1.66%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	493	10	11	14	14	12	6	17	12	22	30	25	27	38	17	4	26	12	15	31	38	22	23	30	32	5	0	0					
		1.57%	1.04%	1.45%	1.49%	1.62%	1.35%	0.69%	1.56%	1.33%	1.52%	1.93%	1.88%	1.73%	1.55%	1.81%	0.63%	1.24%	0.78%	1.08%	2.07%	2.56%	1.55%	1.58%	2.19%	2.28%	1.03%	0.0%	0.0%					
28	"11. ""Истинные патриоты России"""	36	2	1	1	0	2	0	2	2	3	1	0	4	7	1	0	3	2	0	0	3	0	0	0	0	2	0	0					
		0.11%	0.20%	0.13%	0.10%	0.0%	0.22%	0.0%	0.18%	0.22%	0.20%	0.06%	0.0%	0.25%	0.28%	0.10%	0.0%	0.14%	0.13%	0.0%	0.0%	0.20%	0.0%	0.0%	0.0%	0.0%	0.41%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	348	11	8	7	8	8	9	7	6	13	17	19	13	49	13	7	20	13	9	19	19	10	18	21	19	2	2	1					
		1.10%	1.14%	1.05%	0.74%	0.93%	0.90%	1.04%	0.64%	0.66%	0.89%	1.09%	1.43%	0.83%	1.99%	1.38%	1.10%	0.95%	0.84%	0.64%	1.26%	1.28%	0.70%	1.23%	1.53%	1.35%	0.41%	1.96%	2.17%					
30	"13. ""Демократическая партия России"""	50	1	1	1	4	0	1	1	2	2	1	1	3	7	3	1	4	3	0	1	3	3	2	1	1	3	0	0					
		0.15%	0.10%	0.13%	0.10%	0.46%	0.0%	0.11%	0.09%	0.22%	0.13%	0.06%	0.07%	0.19%	0.28%	0.31%	0.15%	0.19%	0.19%	0.0%	0.06%	0.20%	0.21%	0.13%	0.07%	0.07%	0.62%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	103	0	3	3	3	4	0	6	0	5	8	4	9	9	1	0	3	9	5	3	7	7	3	2	5	2	0	2					
		0.32%	0.0%	0.39%	0.32%	0.34%	0.45%	0.0%	0.55%	0.0%	0.34%	0.51%	0.30%	0.57%	0.36%	0.10%	0.0%	0.14%	0.58%	0.36%	0.20%	0.47%	0.49%	0.20%	0.14%	0.35%	0.41%	0.0%	4.34%					
32	"15. ""Партия СЛОН"""	95	0	2	2	7	0	0	2	1	1	1	9	2	11	2	2	15	4	3	9	6	3	8	2	3	0	0	0					
		0.30%	0.0%	0.26%	0.21%	0.81%	0.0%	0.0%	0.18%	0.11%	0.06%	0.06%	0.67%	0.12%	0.44%	0.21%	0.31%	0.71%	0.26%	0.21%	0.60%	0.40%	0.21%	0.55%	0.14%	0.21%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	4608	142	93	91	131	133	163	185	162	164	214	258	297	360	142	91	259	106	215	266	205	201	204	227	227	56	15	1					
		14.68%	14.83%	12.30%	9.71%	15.23%	15.04%	18.97%	17.05%	17.98%	11.34%	13.80%	19.44%	19.12%	14.68%	15.12%	14.37%	12.36%	6.92%	15.52%	17.76%	13.84%	14.24%	14.04%	16.59%	16.21%	11.64%	14.70%	2.17%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	35	1	0	3	0	0	1	0	1	1	2	1	1	3	1	0	6	5	2	0	2	1	3	0	1	0	0	0					
		0.11%	0.10%	0.0%	0.32%	0.0%	0.0%	0.11%	0.0%	0.11%	0.06%	0.12%	0.07%	0.06%	0.12%	0.10%	0.0%	0.28%	0.32%	0.14%	0.0%	0.13%	0.07%	0.20%	0.0%	0.07%	0.0%	0.0%	0.0%					
35	"18. ""ЛДПР"""	2662	57	59	69	67	50	45	57	48	79	113	75	104	475	47	50	231	374	112	109	107	100	82	63	62	16	6	5					
		8.48%	5.95%	7.80%	7.36%	7.79%	5.65%	5.23%	5.25%	5.32%	5.46%	7.29%	5.65%	6.69%	19.37%	5.00%	7.89%	11.03%	24.44%	8.08%	7.28%	7.22%	7.08%	5.64%	4.60%	4.42%	3.32%	5.88%	10.86%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	248	11	10	10	8	5	4	3	7	9	13	5	10	19	10	3	13	15	8	9	15	16	21	12	10	1	1	0					
		0.79%	1.14%	1.32%	1.06%	0.93%	0.56%	0.46%	0.27%	0.77%	0.62%	0.83%	0.37%	0.64%	0.77%	1.06%	0.47%	0.62%	0.98%	0.57%	0.60%	1.01%	1.13%	1.44%	0.87%	0.71%	0.20%	0.98%	0.0%					
37	"20. ""Политическая партия ""Единая Россия"""	9988	326	272	313	265	307	300	350	280	425	531	376	449	711	293	164	759	403	411	406	504	485	522	464	436	191	33	12					
		31.82%	34.06%	35.97%	33.40%	30.81%	34.72%	34.92%	32.25%	31.07%	29.39%	34.25%	28.33%	28.91%	29.00%	31.20%	25.90%	36.24%	26.33%	29.67%	27.12%	34.03%	34.37%	35.95%	33.91%	31.14%	39.70%	32.35%	26.08%					
38	"21. ""Российская Конституционно-демократическая партия"""	50	0	2	1	2	2	0	2	0	1	5	3	3	3	1	3	2	3	0	0	2	2	7	0	3	2	1	0					
		0.15%	0.0%	0.26%	0.10%	0.23%	0.22%	0.0%	0.18%	0.0%	0.06%	0.32%	0.22%	0.19%	0.12%	0.10%	0.47%	0.09%	0.19%	0.0%	0.0%	0.13%	0.14%	0.48%	0.0%	0.21%	0.41%	0.98%	0.0%					
39	"22. ""Развитие предпринимательства"""	74	4	4	3	2	0	3	3	0	1	4	0	3	9	2	1	7	6	8	2	1	2	1	4	2	2	0	0					
