Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва													
Дата голосования: 04.12.2011													
													
Наименование Избирательной комиссии:    Провиденская													
													
Сводная таблица результатов выборов													
													
		Сумма	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44					
1	"Число избирателей, внесенных в список избирателей"	2348	1323	238	187	183	247	170					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	2433	1285	269	211	212	280	176					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	18	10	0	0	0	0	8					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	1820	897	225	178	166	224	130					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	150	83	10	6	14	20	17					
6	Число погашенных избирательных бюллетеней	445	295	34	27	32	36	21					
7	Число избирательных бюллетеней в переносных ящиках для голосования	168	93	10	6	14	20	25					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	1820	897	225	178	166	224	130					
9	Число недействительных избирательных бюллетеней	92	34	15	14	5	23	1					
10	Число действительных избирательных бюллетеней	1896	956	220	170	175	221	154					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	113	8	15	15	20	38	17					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	93	8	15	15	15	38	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	77	62	4	4	4	3	0					
14	Число погашенных неиспользованных открепительных удостоверений	20	0	0	0	5	0	15					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	37	14	10	9	4	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0					
													
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	92	64	8	7	5	4	4					
		4.63%	6.46%	3.40%	3.80%	2.78%	1.64%	2.58%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	98	70	7	10	3	2	6					
		4.93%	7.07%	2.98%	5.43%	1.67%	0.82%	3.87%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	23	18	3	0	1	0	1					
		1.16%	1.82%	1.28%	0.00%	0.56%	0.00%	0.65%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	72	52	2	5	4	3	6					
		3.62%	5.25%	0.85%	2.72%	2.22%	1.23%	3.87%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	15	11	2	0	1	1	0					
		0.75%	1.11%	0.85%	0.00%	0.56%	0.41%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1585	735	196	147	161	209	137					
		79.73%	74.24%	83.40%	79.89%	89.44%	85.66%	88.39%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	11	6	2	1	0	2	0					
		0.55%	0.61%	0.85%	0.54%	0.00%	0.82%	0.00%					
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
