Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва													
Дата голосования: 02.12.2007													
													
Наименование Избирательной комиссии:    Провиденская													
													
Сводная таблица результатов выборов													
													
		Сумма	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42					
1	"Число избирателей, внесенных в списки избирателей"	2620	1500	251	187	275	208	199					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	2551	1408	248	194	303	210	188					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	31	12	0	0	0	0	19					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	2170	1140	242	172	260	196	160					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	72	37	5	5	10	6	9					
6	Число погашенных избирательных бюллетеней	278	219	1	17	33	8	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	103	49	5	5	10	6	28					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	2170	1140	242	172	260	196	160					
9	Число недействительных избирательных бюллетеней	76	52	2	9	0	3	10					
10	Число действительных избирательных бюллетеней	2197	1137	245	168	270	199	178					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	209	59	30	30	30	30	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	45	11	11	4	12	5	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	41	24	4	3	5	4	1					
14	Число погашенных неиспользованных открепительных удостоверений	164	48	19	26	18	25	28					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	41	15	3	7	11	3	2					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0					
													
18	1.Политическая партия «Аграрная партия России»	19	14	3	2	0	0	0					
		0.84%	1.18%	1.21%	1.13%	0.00%	0.00%	0.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	17	14	1	1	0	1	0					
		0.75%	1.18%	0.40%	0.56%	0.00%	0.50%	0.00%					
20	3.Политическая партия «Демократическая партия России»	1	0	1	0	0	0	0					
		0.04%	0.00%	0.40%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	59	42	2	2	7	6	0					
		2.60%	3.53%	0.81%	1.13%	2.59%	2.97%	0.00%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	6	3	0	2	1	0	0					
		0.26%	0.25%	0.00%	1.13%	0.37%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	3	1	2	0	0	0	0					
		0.13%	0.08%	0.81%	0.00%	0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	108	76	7	5	7	5	8					
		4.75%	6.39%	2.83%	2.82%	2.59%	2.48%	4.26%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	72	55	6	2	6	3	0					
		3.17%	4.63%	2.43%	1.13%	2.22%	1.49%	0.00%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	8	4	3	0	0	1	0					
		0.35%	0.34%	1.21%	0.00%	0.00%	0.50%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	1888	913	220	153	249	183	170					
		83.06%	76.79%	89.07%	86.44%	92.22%	90.59%	90.43%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	16	15	0	1	0	0	0					
		0.70%	1.26%	0.00%	0.56%	0.00%	0.00%	0.00%					
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
