Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																					
Дата голосования: 07.12.2003 0:00:00																																					
																																					
Наименование Избирательной комиссии:    Афанасьевская																																					
																																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																					
																																					
		Сумма	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46					
1	"Число избирателей, внесенных в списки"	11926	2456	1335	167	86	160	642	705	123	227	273	146	178	788	205	228	311	105	253	603	228	241	326	111	523	448	138	480	107	133	200					
2	"Число бюллетеней, полученных участковыми комиссиями"	12124	2442	1342	172	83	160	638	712	128	236	280	147	179	788	207	227	317	108	253	601	231	246	328	111	533	450	140	493	222	146	204					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	6462	1253	547	115	58	96	385	383	81	137	129	111	103	528	137	141	152	51	106	320	117	123	187	81	254	241	86	224	101	86	129					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	918	20	84	9	0	40	34	28	4	27	62	4	23	43	30	21	54	18	60	19	10	12	60	18	73	48	23	76	6	2	10					
6	Число погашенных бюллетеней	4744	1169	711	48	25	24	219	301	43	72	89	32	53	217	40	65	111	39	87	262	104	111	81	12	206	161	31	193	115	58	65					
7	Число бюллетеней в переносных ящиках для голосования	918	20	84	9	0	40	34	28	4	27	62	4	23	43	30	21	54	18	60	19	10	12	60	18	73	48	23	76	6	2	10					
8	Число бюллетеней в стационарных ящиках для голосования	6460	1253	546	115	58	96	385	383	81	137	129	111	103	528	137	141	152	51	106	320	117	123	187	81	254	241	86	223	101	86	129					
9	Число недействительных бюллетеней	210	49	16	7	5	1	13	11	1	2	5	2	4	18	3	3	6	1	4	7	5	2	5	1	13	13	2	6	1	1	3					
10	Число действительных бюллетеней	7168	1224	614	117	53	135	406	400	84	162	186	113	122	553	164	159	200	68	162	332	122	133	242	98	314	276	107	293	106	87	136					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	199	24	15	4	4	6	8	10	4	8	5	4	4	10	5	5	5	4	5	10	5	5	6	4	3	8	4	8	5	5	6					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	47	18	6	0	2	2	0	2	0	4	0	0	0	1	0	0	0	0	0	4	1	2	1	0	1	0	0	1	0	1	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	37	2	0	0	1	0	1	1	3	2	1	1	0	1	0	1	3	0	1	0	1	1	5	2	1	1	1	3	2	0	2					
14	Число погашенных открепительных удостоверений	152	6	9	4	2	4	8	8	4	4	5	4	4	9	5	5	5	4	5	6	4	3	5	4	2	8	4	7	5	4	5					
15	Число открепительных удостоверений выданных ТИК	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																					
18	"1. ""ЕДИНЕНИЕ"""	114	6	9	2	1	1	9	4	3	0	1	3	2	16	3	0	3	2	2	9	4	2	3	2	9	7	3	2	2	2	2					
		1.54%	0.47%	1.42%	1.61%	1.72%	0.73%	2.14%	0.97%	3.52%	0.0%	0.52%	2.60%	1.58%	2.80%	1.79%	0.0%	1.45%	2.89%	1.20%	2.65%	3.14%	1.48%	1.21%	2.02%	2.75%	2.42%	2.75%	0.66%	1.86%	2.27%	1.43%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	113	30	15	3	1	5	14	5	4	0	1	0	0	6	1	1	0	0	0	6	2	0	0	1	3	9	2	0	3	1	0					
		1.53%	2.35%	2.38%	2.41%	1.72%	3.67%	3.34%	1.21%	4.70%	0.0%	0.52%	0.0%	0.0%	1.05%	0.59%	0.61%	0.0%	0.0%	0.0%	1.76%	1.57%	0.0%	0.0%	1.01%	0.91%	3.11%	1.83%	0.0%	2.80%	1.13%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	300	22	27	4	5	1	21	29	5	6	6	3	7	15	5	8	12	9	3	26	9	8	6	1	24	10	6	11	3	3	5					
		4.06%	1.72%	4.28%	3.22%	8.62%	0.73%	5.01%	7.05%	5.88%	3.65%	3.14%	2.60%	5.55%	2.62%	2.99%	4.93%	5.82%	13.04%	1.80%	7.66%	7.08%	5.92%	2.42%	1.01%	7.33%	3.46%	5.50%	3.67%	2.80%	3.40%	3.59%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	100	26	11	4	2	0	8	4	1	4	3	1	2	1	1	1	3	1	1	4	0	3	4	0	0	2	5	2	3	1	2					
		1.35%	2.04%	1.74%	3.22%	3.44%	0.0%	1.90%	0.97%	1.17%	2.43%	1.57%	0.86%	1.58%	0.17%	0.59%	0.61%	1.45%	1.44%	0.60%	1.17%	0.0%	2.22%	1.61%	0.0%	0.0%	0.69%	4.58%	0.66%	2.80%	1.13%	1.43%					
22	"5. ""За Русь Святую"""	47	7	4	1	1	0	2	3	1	0	3	1	0	2	0	1	1	0	2	4	1	1	1	1	3	1	3	0	2	1	0					
		0.63%	0.54%	0.63%	0.80%	1.72%	0.0%	0.47%	0.72%	1.17%	0.0%	1.57%	0.86%	0.0%	0.35%	0.0%	0.61%	0.48%	0.0%	1.20%	1.17%	0.78%	0.74%	0.40%	1.01%	0.91%	0.34%	2.75%	0.0%	1.86%	1.13%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	42	4	4	0	0	0	2	5	1	0	3	0	1	4	1	0	2	2	1	2	1	0	2	0	1	1	2	1	1	0	1					
