Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																				
Дата голосования: 18.09.2016																																																				
																																																				
Наименование Избирательной комиссии:    Краснокамская																																																				
																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																				
																																																				
		Сумма	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	56350	862	1197	1103	793	1919	2386	1711	1964	1857	747	1094	2168	1964	2008	1622	1282	1636	2009	1373	1489	1720	2344	2156	1429	1036	476	1282	2118	1929	564	1379	406	369	163	996	2139	2239	471	573	1258	119									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	51200	800	1100	1000	750	1750	2150	1550	1800	1700	700	1000	1900	1800	1800	1500	1150	1500	1800	1250	1350	1600	2100	1950	1300	950	450	1150	1900	1700	500	1250	350	350	150	900	1950	2050	450	550	1150	100									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	20368	246	333	379	326	804	1023	760	887	726	308	397	792	706	805	639	541	601	709	541	595	656	785	570	486	349	106	433	791	523	159	426	141	95	47	287	827	809	138	121	453	48									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	518	1	7	4	2	6	6	9	12	17	11	6	78	12	17	30	14	5	13	4	5	7	11	6	3	0	0	7	19	26	5	25	17	14	9	19	8	15	13	0	49	6									
6	Число погашенных избирательных бюллетеней	30314	553	760	617	422	940	1121	781	901	957	381	597	1030	1082	978	831	595	894	1078	705	750	937	1304	1374	811	601	344	710	1090	1151	336	799	192	241	94	594	1115	1226	299	429	648	46									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	518	1	7	4	2	6	6	9	12	17	11	6	78	12	17	30	14	5	13	4	5	7	11	6	3	0	0	7	19	26	5	25	17	14	9	19	8	15	13	0	49	6									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	20355	245	333	378	326	804	1015	759	887	724	308	397	792	706	805	639	541	601	709	541	595	656	785	570	486	349	106	433	791	523	159	426	141	95	47	287	827	809	138	121	453	48									
9	Число недействительных избирательных бюллетеней	789	8	16	16	7	16	47	49	39	15	15	17	52	21	23	33	19	34	30	26	13	21	29	14	17	14	3	22	23	28	7	16	5	0	0	6	27	20	10	6	25	0									
10	Число действительных избирательных бюллетеней	20084	238	324	366	321	794	974	719	860	726	304	386	818	697	799	636	536	572	692	519	587	642	767	562	472	335	103	418	787	521	157	435	153	109	56	300	808	804	141	115	477	54									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1700	25	35	35	25	60	70	50	60	60	25	30	60	60	60	50	40	50	60	40	45	50	70	65	40	30	15	40	60	60	20	40	10	10	5	30	65	70	15	20	40	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	390	3	5	12	6	12	20	17	19	13	10	9	12	17	24	10	9	7	9	4	4	20	23	12	3	5	2	7	9	6	8	6	4	1	0	0	30	18	2	5	6	1									
