Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																	
Дата голосования: 18.09.2016																																																	
																																																	
"Наименование Избирательной комиссии:    Орск, Октябрьская"																																																	
																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																	
																																																	
		Сумма	УИК №1244	УИК №1245	УИК №1246	УИК №1247	УИК №1248	УИК №1249	УИК №1250	УИК №1251	УИК №1252	УИК №1253	УИК №1254	УИК №1255	УИК №1256	УИК №1257	УИК №1258	УИК №1259	УИК №1260	УИК №1261	УИК №1262	УИК №1263	УИК №1264	УИК №1265	УИК №1266	УИК №1267	УИК №1268	УИК №1269	УИК №1270	УИК №1271	УИК №1272	УИК №1273	УИК №1274	УИК №1275	УИК №1276	УИК №1277	УИК №1278	УИК №1279	УИК №1280	УИК №1281									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	70746	2493	2299	2318	2075	2300	2605	1939	2018	2076	2234	2117	1012	2648	1692	1426	1960	1342	1535	1692	1406	1404	1640	2117	1999	1530	1565	2426	1060	1313	2037	1760	2898	2435	1945	2529	2415	161	325									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	58700	2000	2000	2000	2000	2000	2000	2000	1800	1800	2000	1800	1000	2000	1200	1200	1800	1200	1200	1200	1200	1000	1400	1600	1600	1400	1200	1800	1000	1000	1800	1200	2200	2000	1800	1800	1800	400	300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	21664	693	671	665	648	650	865	707	654	672	585	617	338	785	543	394	548	469	519	485	470	321	638	708	495	346	507	746	312	356	701	399	923	711	697	774	774	153	125									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1106	14	5	19	8	7	12	13	3	4	9	6	101	26	22	25	43	14	29	20	133	32	13	35	28	38	14	17	68	12	42	169	21	32	5	27	17	8	15									
6	Число погашенных избирательных бюллетеней	35930	1293	1324	1316	1344	1343	1123	1280	1143	1124	1406	1177	561	1189	635	781	1209	717	652	695	597	647	749	857	1077	1016	679	1037	620	632	1057	632	1256	1257	1098	999	1009	239	160									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1106	14	5	19	8	7	12	13	3	4	9	6	101	26	22	25	43	14	29	20	133	32	13	35	28	38	14	17	68	12	42	169	21	32	5	27	17	8	15									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	21663	693	671	665	648	650	865	707	654	672	584	617	338	785	543	394	548	469	519	485	470	321	638	708	495	346	507	746	312	356	701	399	923	711	697	774	774	153	125									
9	Число недействительных избирательных бюллетеней	714	25	14	21	24	23	17	25	25	19	18	24	15	20	15	21	14	17	16	23	11	16	37	18	17	14	12	17	7	15	21	17	25	16	29	24	30	6	6									
10	Число действительных избирательных бюллетеней	22055	682	662	663	632	634	860	695	632	657	575	599	424	791	550	398	577	466	532	482	592	337	614	725	506	370	509	746	373	353	722	551	919	727	673	777	761	155	134									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	840	25	25	25	25	20	25	25	25	25	25	25	10	25	15	15	25	20	20	20	20	20	20	25	25	20	20	25	15	15	25	15	25	25	25	25	25	10	40									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	458	16	11	8	10	10	21	21	17	15	8	16	10	17	8	5	12	10	6	10	6	9	11	14	5	4	11	18	3	8	12	8	20	15	16	17	13	1	36									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	305	6	11	16	10	1	3	4	1	3	6	3	4	17	6	6	15	3	14	11	9	11	7	9	18	10	8	9	16	6	11	11	3	5	12	9	5	3	3									
14	Число погашенных неиспользованных открепительных удостоверений	382	9	14	17	15	10	4	4	8	10	17	9	0	8	7	10	13	10	14	10	14	11	9	11	20	16	9	7	12	7	13	7	5	10	9	8	12	9	4									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	84	3	2	3	3	2	5	0	2	2	3	6	0	8	0	1	6	0	0	2	0	0	0	2	5	2	2	5	0	0	1	1	6	1	3	3	5	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	304	3	9	12	8	7	15	12	12	10	7	8	8	15	8	5	11	4	6	7	7	5	12	7	9	9	7	6	0	4	12	6	8	13	14	4	10	4	0									
		1.34%	0.42%	1.33%	1.75%	1.22%	1.07%	1.71%	1.67%	1.83%	1.48%	1.18%	1.28%	1.82%	1.85%	1.42%	1.19%	1.86%	0.83%	1.09%	1.39%	1.16%	1.42%	1.84%	0.94%	1.72%	2.34%	1.34%	0.79%	0.00%	1.09%	1.62%	1.06%	0.85%	1.75%	1.99%	0.50%	1.26%	2.48%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	732	16	27	22	20	23	31	35	20	30	17	27	18	35	19	7	18	23	17	15	14	11	24	25	11	19	10	24	8	6	24	16	20	24	15	21	25	6	9									
		3.21%	2.26%	3.99%	3.22%	3.05%	3.50%	3.53%	4.86%	3.04%	4.44%	2.87%	4.33%	4.10%	4.32%	3.36%	1.67%	3.05%	4.76%	3.10%	2.97%	2.32%	3.12%	3.69%	3.36%	2.10%	4.95%	1.92%	3.15%	2.11%	1.63%	3.23%	2.82%	2.12%	3.23%	2.14%	2.62%	3.16%	3.73%	6.43%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	526	13	11	11	17	11	24	29	7	25	15	19	4	23	13	13	13	11	17	12	10	8	6	14	12	12	14	14	11	5	13	17	22	17	17	25	13	5	3									
		2.31%	1.84%	1.63%	1.61%	2.59%	1.67%	2.74%	4.03%	1.07%	3.70%	2.53%	3.05%	0.91%	2.84%	2.30%	3.10%	2.20%	2.28%	3.10%	2.38%	1.66%	2.27%	0.92%	1.88%	2.29%	3.13%	2.69%	1.83%	2.89%	1.36%	1.75%	2.99%	2.33%	2.29%	2.42%	3.12%	1.64%	3.11%	2.14%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	8443	272	261	280	224	240	291	239	241	237	222	225	198	306	227	146	235	153	192	192	242	125	232	291	192	139	186	271	162	139	291	221	357	255	242	292	328	44	53									
		37.08%	38.47%	38.61%	40.94%	34.15%	36.53%	33.18%	33.19%	36.68%	35.06%	37.44%	36.12%	45.10%	37.73%	40.18%	34.84%	39.76%	31.68%	35.04%	38.02%	40.13%	35.41%	35.64%	39.17%	36.71%	36.20%	35.70%	35.52%	42.63%	37.77%	39.17%	38.91%	37.82%	34.32%	34.47%	36.45%	41.47%	27.33%	37.86%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	198	7	13	4	3	5	2	5	5	8	3	5	0	6	6	8	5	4	16	4	5	4	3	4	4	1	4	6	3	4	8	5	12	3	3	8	10	2	0									
		0.87%	0.99%	1.92%	0.58%	0.46%	0.76%	0.23%	0.69%	0.76%	1.18%	0.51%	0.80%	0.00%	0.74%	1.06%	1.91%	0.85%	0.83%	2.92%	0.79%	0.83%	1.13%	0.46%	0.54%	0.76%	0.26%	0.77%	0.79%	0.79%	1.09%	1.08%	0.88%	1.27%	0.40%	0.43%	0.99%	1.26%	1.24%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	45	1	1	4	4	0	2	1	1	3	2	1	0	1	0	0	0	0	4	2	2	1	1	1	1	0	2	0	0	0	1	3	0	1	0	1	1	1	2									
		0.20%	0.14%	0.15%	0.58%	0.61%	0.00%	0.23%	0.14%	0.15%	0.44%	0.34%	0.16%	0.00%	0.12%	0.00%	0.00%	0.00%	0.00%	0.73%	0.40%	0.33%	0.28%	0.15%	0.13%	0.19%	0.00%	0.38%	0.00%	0.00%	0.00%	0.13%	0.53%	0.00%	0.13%	0.00%	0.12%	0.13%	0.62%	1.43%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	4516	128	139	128	148	150	191	146	120	126	129	123	74	144	89	79	113	92	85	77	116	75	121	150	111	85	86	169	98	105	147	138	205	134	138	153	134	44	26									
		19.83%	18.10%	20.56%	18.71%	22.56%	22.83%	21.78%	20.28%	18.26%	18.64%	21.75%	19.74%	16.86%	17.76%	15.75%	18.85%	19.12%	19.05%	15.51%	15.25%	19.24%	21.25%	18.59%	20.19%	21.22%	22.14%	16.51%	22.15%	25.79%	28.53%	19.78%	24.30%	21.72%	18.03%	19.66%	19.10%	16.94%	27.33%	18.57%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	205	7	1	4	5	9	6	6	12	12	2	3	2	3	7	3	6	5	14	9	3	2	5	11	2	2	4	3	4	5	7	6	8	7	3	9	7	0	1									
		0.90%	0.99%	0.15%	0.58%	0.76%	1.37%	0.68%	0.83%	1.83%	1.78%	0.34%	0.48%	0.46%	0.37%	1.24%	0.72%	1.02%	1.04%	2.55%	1.78%	0.50%	0.57%	0.77%	1.48%	0.38%	0.52%	0.77%	0.39%	1.05%	1.36%	0.94%	1.06%	0.85%	0.94%	0.43%	1.12%	0.88%	0.00%	0.71%									
