Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																															
Дата голосования: 18.09.2016																																															
																																															
Наименование Избирательной комиссии:    Симферопольская - 20																																															
																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																															
																																															
		Сумма	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1145	УИК №1146	УИК №1149	УИК №1150	УИК №1151	УИК №1162	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179	УИК №1192	УИК №1193	УИК №1194	УИК №1195	УИК №1196	УИК №1197	УИК №1198	УИК №1199	УИК №1200	УИК №1206									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	46537	1739	1241	2525	1967	1886	865	404	2005	1178	3277	1911	1929	850	1902	819	1607	1763	778	781	1576	1647	709	787	2039	465	500	1756	548	1454	963	738	768	171	1404	1295	290									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	36050	1340	970	1970	1530	1470	670	310	1560	920	2440	1480	1490	650	1470	640	1250	1350	600	600	1220	1300	550	610	1580	370	390	1370	420	1120	710	570	600	130	1100	1000	300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	20221	737	459	1090	690	742	257	216	784	572	2001	951	840	393	498	366	837	693	293	450	743	711	394	349	925	225	272	839	76	244	310	332	360	83	743	507	239									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1261	40	39	62	48	19	45	11	53	29	37	29	23	23	21	44	88	63	28	27	25	100	49	40	41	8	18	45	7	9	18	60	13	12	36	23	28									
6	Число погашенных избирательных бюллетеней	14568	563	472	818	792	709	368	83	723	319	402	500	627	234	951	230	325	594	279	123	452	489	107	221	614	137	100	486	337	867	382	178	227	35	321	470	33									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1261	40	39	62	48	19	45	11	53	29	37	29	23	23	21	44	88	63	28	27	25	100	49	40	41	8	18	45	7	9	18	60	13	12	36	23	28									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	20221	737	459	1090	690	742	257	216	784	572	2001	951	840	393	498	366	837	693	293	450	743	711	394	349	925	225	272	839	76	244	310	332	360	83	743	507	239									
9	Число недействительных избирательных бюллетеней	389	19	6	28	9	14	6	5	19	6	34	17	20	3	7	8	12	24	6	3	10	6	7	9	27	5	8	12	4	12	7	10	5	2	7	6	6									
10	Число действительных избирательных бюллетеней	21093	758	492	1124	729	747	296	222	818	595	2004	963	843	413	512	402	913	732	315	474	758	805	436	380	939	228	282	872	79	241	321	382	368	93	772	524	261									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1050	40	26	58	45	43	20	10	46	27	68	44	44	19	43	20	37	40	18	18	36	38	16	18	47	10	11	40	12	33	21	17	18	5	32	30	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	358	17	13	23	12	11	11	6	16	10	37	20	11	4	3	5	17	4	2	4	5	15	14	3	14	9	2	13	0	8	9	4	7	0	20	9	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	214	5	4	12	3	2	8	2	1	4	44	3	9	6	5	6	4	5	1	3	8	5	3	1	9	4	2	5	2	26	2	4	1	0	5	10	0									
14	Число погашенных неиспользованных открепительных удостоверений	692	23	13	35	33	32	9	4	30	17	31	24	33	15	40	15	20	36	16	14	31	23	2	15	33	1	9	27	12	25	12	13	11	5	12	21	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	221	10	2	19	5	8	2	2	6	6	19	8	9	3	2	1	4	9	1	3	7	6	5	4	14	2	0	18	3	4	8	7	4	2	3	2	13									
		1.03%	1.29%	0.40%	1.65%	0.68%	1.05%	0.66%	0.88%	0.72%	0.99%	0.93%	0.82%	1.04%	0.72%	0.39%	0.24%	0.43%	1.19%	0.31%	0.63%	0.91%	0.74%	1.13%	1.03%	1.45%	0.86%	0.00%	2.04%	3.61%	1.58%	2.44%	1.79%	1.07%	2.11%	0.39%	0.38%	4.87%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	321	20	12	9	8	8	4	0	14	12	35	10	15	7	10	4	15	10	9	7	9	11	14	10	13	5	1	9	1	1	1	2	11	1	7	7	9									
