Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																	
Дата голосования: 18.09.2016																																	
																																	
Наименование Избирательной комиссии:    Еловская																																	
																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																	
																																	
		Сумма	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	9162	438	661	1260	1306	1873	272	391	331	237	194	209	313	473	224	213	152	80	149	114	68	76	128									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	7007	340	500	940	990	1430	205	290	250	185	150	160	235	365	170	160	115	85	110	85	73	74	95									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3218	136	203	396	455	652	102	140	123	107	76	77	97	195	98	60	66	41	42	48	41	21	42									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	440	34	31	32	29	34	19	18	8	5	8	9	49	38	12	29	8	4	42	17	3	4	7									
6	Число погашенных избирательных бюллетеней	3349	170	266	512	506	744	84	132	119	73	66	74	89	132	60	71	41	40	26	20	29	49	46									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	440	34	31	32	29	34	19	18	8	5	8	9	49	38	12	29	8	4	42	17	3	4	7									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3218	136	203	396	455	652	102	140	123	107	76	77	97	195	98	60	66	41	42	48	41	21	42									
9	Число недействительных избирательных бюллетеней	117	7	6	13	13	29	4	6	5	6	3	2	4	7	3	2	2	0	0	3	0	1	1									
10	Число действительных избирательных бюллетеней	3541	163	228	415	471	657	117	152	126	106	81	84	142	226	107	87	72	45	84	62	44	24	48									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	260	15	20	35	35	50	5	10	10	8	5	5	10	15	7	5	5	3	5	4	2	2	4									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	83	4	2	12	14	13	1	2	2	1	5	2	0	15	2	0	3	3	0	0	2	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	41	0	1	7	1	5	1	3	2	1	1	2	2	0	0	4	0	1	2	3	0	5	0									
14	Число погашенных неиспользованных открепительных удостоверений	177	11	18	23	21	37	4	8	8	7	0	3	10	0	5	5	2	0	5	4	0	2	4									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	12	0	0	5	1	3	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	27	3	2	4	2	5	0	0	1	1	1	1	2	1	0	0	1	1	1	0	0	1	0									
		0.74%	1.76%	0.85%	0.93%	0.41%	0.73%	0.00%	0.00%	0.76%	0.89%	1.19%	1.16%	1.37%	0.43%	0.00%	0.00%	1.35%	2.22%	1.19%	0.00%	0.00%	4.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	100	6	8	11	11	27	1	3	1	3	1	1	2	7	4	1	0	0	3	4	2	1	3									
		2.73%	3.53%	3.42%	2.57%	2.27%	3.94%	0.83%	1.90%	0.76%	2.68%	1.19%	1.16%	1.37%	3.00%	3.64%	1.12%	0.00%	0.00%	3.57%	6.15%	4.55%	4.00%	6.12%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	90	6	5	9	12	14	3	3	4	2	4	3	8	1	1	3	4	1	3	1	2	0	1									
		2.46%	3.53%	2.14%	2.10%	2.48%	2.04%	2.48%	1.90%	3.05%	1.79%	4.76%	3.49%	5.48%	0.43%	0.91%	3.37%	5.41%	2.22%	3.57%	1.54%	4.55%	0.00%	2.04%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1778	87	145	178	206	290	49	72	72	56	44	42	72	126	69	33	49	30	55	34	33	10	26									
		48.61%	51.18%	61.97%	41.59%	42.56%	42.27%	40.50%	45.57%	54.96%	50.00%	52.38%	48.84%	49.32%	54.08%	62.73%	37.08%	66.22%	66.67%	65.48%	52.31%	75.00%	40.00%	53.06%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	12	0	2	1	1	3	1	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0									
		0.33%	0.00%	0.85%	0.23%	0.21%	0.44%	0.83%	0.00%	0.00%	0.89%	1.19%	2.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	5	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0									
		0.14%	0.00%	0.43%	0.23%	0.00%	0.00%	0.00%	0.63%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.91%	0.00%	0.00%	0.00%	0.00%	1.54%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	728	25	30	99	84	132	36	35	20	26	26	21	35	43	18	33	11	7	17	7	4	9	10									
		19.90%	14.71%	12.82%	23.13%	17.36%	19.24%	29.75%	22.15%	15.27%	23.21%	30.95%	24.42%	23.97%	18.45%	16.36%	37.08%	14.86%	15.56%	20.24%	10.77%	9.09%	36.00%	20.41%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	10	0	4	0	0	2	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0									
		0.27%	0.00%	1.71%	0.00%	0.00%	0.29%	0.00%	0.00%	0.76%	0.00%	0.00%	0.00%	0.00%	0.86%	0.00%	0.00%	0.00%	0.00%	0.00%	1.54%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	85	6	3	8	23	23	3	3	2	0	0	1	0	7	2	0	1	0	0	0	0	2	1									
		2.32%	3.53%	1.28%	1.87%	4.75%	3.35%	2.48%	1.90%	1.53%	0.00%	0.00%	1.16%	0.00%	3.00%	1.82%	0.00%	1.35%	0.00%	0.00%	0.00%	0.00%	8.00%	2.04%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	4	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0									
		0.11%	0.59%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.68%	0.43%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	38	2	2	9	7	6	1	0	1	0	1	2	1	1	0	1	0	0	0	3	0	0	1									
