Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																													
Дата голосования: 18.09.2016																																																													
																																																													
Наименование Избирательной комиссии:    Аургазинская																																																													
																																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																																													
																																																													
		Сумма	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	28462	406	524	807	441	373	883	339	635	697	131	869	418	558	653	248	115	237	633	642	507	317	403	611	521	211	92	255	591	265	782	574	528	198	1434	2763	1364	1456	1478	455	496	202	538	214	358	453	218	367	291	172	739									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	29503	412	530	821	455	380	895	342	665	750	149	966	438	611	700	258	123	242	626	659	534	306	409	613	534	215	102	307	611	271	810	580	540	203	1445	2950	1397	1484	1554	455	513	210	544	220	354	485	228	375	297	175	760									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	17553	269	392	524	389	271	689	193	477	311	78	441	157	267	338	184	75	180	591	354	393	245	223	400	309	143	73	234	450	186	429	407	174	128	1236	1060	509	878	626	182	194	138	420	184	250	415	196	354	266	158	513									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3605	105	107	208	12	58	80	95	45	94	18	63	79	291	187	19	33	46	13	272	99	23	123	138	59	22	10	21	13	26	92	138	41	35	26	113	5	17	172	130	88	41	86	16	76	23	10	0	0	0	137									
6	Число погашенных избирательных бюллетеней	8345	38	31	89	54	51	126	54	143	345	53	462	202	53	175	55	15	16	22	33	42	38	63	75	166	50	19	52	148	59	289	35	325	40	183	1777	883	589	756	143	231	31	38	20	28	47	22	21	31	17	110									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	3605	105	107	208	12	58	80	95	45	94	18	63	79	291	187	19	33	46	13	272	99	23	123	138	59	22	10	21	13	26	92	138	41	35	26	113	5	17	172	130	88	41	86	16	76	23	10	0	0	0	137									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	17553	269	392	524	389	271	689	193	477	311	78	441	157	267	338	184	75	180	591	354	393	245	223	400	309	143	73	234	450	186	429	407	174	128	1236	1060	509	878	626	182	194	138	420	184	250	415	196	354	266	158	513									
9	Число недействительных избирательных бюллетеней	140	0	0	11	0	5	0	0	0	28	3	9	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	0	3	0	0	0	0	0	0	32	9	5	14	8	1	0	3	0	3	0	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	21018	374	499	721	401	324	769	288	522	377	93	495	236	558	525	203	108	226	604	626	489	268	346	535	368	165	83	255	460	212	521	545	215	163	1262	1141	505	890	784	304	281	179	503	200	323	438	206	354	266	158	650									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	450	5	3	5	5	5	8	10	15	7	10	32	10	5	50	10	10	5	3	6	10	3	3	3	10	3	3	3	5	3	10	3	3	3	23	40	20	23	10	3	10	3	10	3	3	15	3	6	3	3	3									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	409	0	3	5	5	5	8	10	15	7	10	32	10	5	50	10	10	0	0	6	10	2	1	3	0	1	0	3	5	3	10	3	3	3	23	40	15	23	10	1	10	3	10	3	3	15	3	6	0	3	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	132	4	2	3	4	1	4	1	3	4	2	7	4	2	5	2	2	1	6	5	1	7	3	2	0	2	0	2	0	5	3	6	0	0	4	6	1	1	4	2	4	1	2	3	2	1	3	0	0	3	2									
14	Число погашенных неиспользованных открепительных удостоверений	41	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	0	0	1	2	0	10	2	3	0	0	0	0	0	0	0	0	0	5	0	0	2	0	0	0	0	0	0	0	0	3	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	22	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	3	6	2	3	1	0	0	0	0	0	0	1	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	177	0	0	3	2	0	5	7	4	13	1	13	2	0	7	8	3	0	0	0	6	0	0	7	3	0	0	3	0	1	14	0	0	0	1	15	3	11	10	4	1	0	3	2	3	8	1	5	1	0	7									
		0.84%	0.00%	0.00%	0.41%	0.50%	0.00%	0.65%	2.43%	0.77%	3.21%	1.04%	2.58%	0.85%	0.00%	1.33%	3.94%	2.78%	0.00%	0.00%	0.00%	1.22%	0.00%	0.00%	1.30%	0.82%	0.00%	0.00%	1.18%	0.00%	0.47%	2.69%	0.00%	0.00%	0.00%	0.08%	1.28%	0.58%	1.23%	1.25%	1.28%	0.35%	0.00%	0.59%	1.00%	0.92%	1.83%	0.49%	1.41%	0.38%	0.00%	1.08%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	687	0	9	18	0	3	2	13	22	14	4	31	13	0	32	15	3	0	0	10	29	0	0	28	4	6	0	7	0	17	27	7	47	12	0	85	11	79	30	23	2	10	32	3	20	0	2	0	17	0	0									
		3.25%	0.00%	1.80%	2.46%	0.00%	0.91%	0.26%	4.51%	4.21%	3.46%	4.17%	6.15%	5.51%	0.00%	6.10%	7.39%	2.78%	0.00%	0.00%	1.60%	5.89%	0.00%	0.00%	5.20%	1.09%	3.64%	0.00%	2.75%	0.00%	8.02%	5.18%	1.28%	21.86%	7.36%	0.00%	7.25%	2.14%	8.83%	3.76%	7.37%	0.71%	5.59%	6.32%	1.50%	6.13%	0.00%	0.97%	0.00%	6.39%	0.00%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	257	5	0	9	6	4	5	5	0	3	0	7	6	0	4	3	0	0	11	8	8	0	0	22	6	0	3	8	0	1	5	6	0	2	2	38	10	19	16	2	2	0	3	0	0	10	3	0	2	3	10									
		1.21%	1.34%	0.00%	1.23%	1.50%	1.22%	0.65%	1.74%	0.00%	0.74%	0.00%	1.39%	2.54%	0.00%	0.76%	1.48%	0.00%	0.00%	1.82%	1.28%	1.63%	0.00%	0.00%	4.09%	1.63%	0.00%	3.61%	3.14%	0.00%	0.47%	0.96%	1.10%	0.00%	1.23%	0.16%	3.24%	1.95%	2.12%	2.01%	0.64%	0.71%	0.00%	0.59%	0.00%	0.00%	2.28%	1.46%	0.00%	0.75%	1.90%	1.54%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	12235	277	454	415	237	195	421	207	300	220	64	255	42	397	343	122	65	152	344	404	302	131	230	409	216	103	58	145	301	107	324	376	110	133	804	585	252	458	449	181	46	80	40	146	36	250	161	228	163	99	398									
		57.83%	74.06%	90.98%	56.69%	59.10%	59.27%	54.75%	71.88%	57.47%	54.32%	66.67%	50.60%	17.80%	71.15%	65.33%	60.10%	60.19%	67.26%	56.95%	64.54%	61.38%	48.88%	66.47%	76.02%	58.70%	62.42%	69.88%	56.86%	65.01%	50.47%	62.19%	68.99%	51.16%	81.60%	63.71%	49.87%	49.03%	51.17%	56.27%	58.01%	16.31%	44.69%	7.91%	73.00%	11.04%	57.08%	78.16%	64.41%	61.28%	62.66%	61.23%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	108	0	0	5	6	0	4	0	1	2	0	9	2	6	5	0	0	0	5	0	2	0	0	1	0	0	0	0	0	0	0	0	3	0	1	16	3	11	8	2	1	0	0	0	0	0	4	4	0	0	7									
		0.51%	0.00%	0.00%	0.68%	1.50%	0.00%	0.52%	0.00%	0.19%	0.49%	0.00%	1.79%	0.85%	1.08%	0.95%	0.00%	0.00%	0.00%	0.83%	0.00%	0.41%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.40%	0.00%	0.08%	1.36%	0.58%	1.23%	1.00%	0.64%	0.35%	0.00%	0.00%	0.00%	0.00%	0.00%	1.94%	1.13%	0.00%	0.00%	1.08%									
24	"6. Политическая партия ""Гражданская Платформа"""	39	0	0	2	0	0	3	2	0	3	0	5	0	0	2	0	0	0	0	0	3	0	0	0	0	4	0	0	0	0	0	0	2	0	0	4	0	1	3	0	3	0	1	0	0	0	1	0	0	0	0									
