Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																		
Дата голосования: 02.12.2007																																																																																		
																																																																																		
Наименование Избирательной комиссии:    Невская N24																																																																																		
																																																																																		
Сводная таблица результатов выборов																																																																																		
																																																																																		
		Сумма	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1232	УИК №1233	УИК №1234	УИК №1235	УИК №1236	УИК №1237	УИК №1238	УИК №1239	УИК №1240	УИК №1241	УИК №1242	УИК №1243	УИК №1244	УИК №1245	УИК №1246	УИК №1247	УИК №1248	УИК №1249	УИК №1250	УИК №1251	УИК №1252	УИК №1253	УИК №1254	УИК №1255	УИК №1256	УИК №1257	УИК №1258	УИК №1259	УИК №1260	УИК №1261	УИК №1262	УИК №1263	УИК №1264	УИК №1265	УИК №1266	УИК №1267	УИК №1268	УИК №1269	УИК №1270	УИК №1271	УИК №1272	УИК №1273	УИК №1274	УИК №1275	УИК №1276	УИК №1277	УИК №1278	УИК №1279	УИК №1280	УИК №1281	УИК №1282	УИК №1283	УИК №1284	УИК №1285	УИК №1286	УИК №1287	УИК №1288	УИК №1289	УИК №1290	УИК №1291	УИК №1803	УИК №1804	УИК №1805	УИК №1806					
1	"Число избирателей, внесенных в списки избирателей"	175469	2320	2740	2528	2179	2184	2296	2898	2892	2783	2184	2364	2366	1849	1797	2263	2141	2060	1893	1827	1742	1773	2032	2366	2566	2294	2805	2412	1864	1787	2323	2055	2649	2231	2155	1738	2550	2367	2342	2592	2579	2321	2450	2434	2425	2819	2862	2719	3060	2953	2284	2455	2079	2401	2491	1800	2090	2752	2539	3056	1990	2610	2306	2447	2750	2582	2265	2213	2127	2263	2211	1470	2335	2249	2320	2555					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	154000	2000	2500	2000	2000	2000	2000	2500	2500	2500	2000	2000	2000	1500	1500	2000	2000	1500	1500	1500	1500	1500	2000	2000	2000	2000	2500	2000	1500	1500	2000	2000	2000	2000	2000	1500	2500	2000	2000	2500	2500	2000	2000	2000	2000	2500	2500	2500	2500	2500	2000	2000	2000	2000	2500	1500	1500	2500	2500	2500	2000	2500	2000	2000	2500	2500	2000	2000	2000	2000	2000	1500	2000	2000	2000	2500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	82308	950	1172	1258	1062	953	989	1370	1264	1100	1068	1009	1065	743	798	1043	1051	984	880	860	938	952	954	1076	1241	996	1274	1172	926	877	1003	997	1285	944	921	630	892	1010	918	1256	1110	1113	1198	1257	1338	1495	1229	1166	1529	1538	1330	1208	873	1158	1178	948	1023	1273	1066	1232	902	1268	1065	1158	1301	1094	948	1030	1019	1211	1061	1226	1155	1136	1278	1313					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1698	69	13	24	21	36	50	27	15	25	33	21	27	20	16	18	15	14	17	13	9	19	16	31	32	26	32	40	10	15	35	28	27	24	21	18	30	17	5	9	26	10	20	18	20	10	10	38	7	14	10	21	17	17	19	14	29	22	17	18	26	17	15	23	16	33	22	12	6	8	14	183	14	6	12	16					
6	Число погашенных избирательных бюллетеней	69990	981	1315	718	917	1011	961	1103	1221	1375	899	970	908	737	686	939	934	502	603	627	553	529	1030	891	727	976	1194	788	564	608	962	975	688	1032	1058	852	1578	973	1077	1235	1364	877	782	725	642	995	1261	1296	964	948	660	771	1110	825	1303	538	448	1205	1417	1250	1072	1215	920	819	1183	1373	1030	958	975	781	925	91	831	858	710	1171					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1698	69	13	24	21	36	50	27	15	25	33	21	27	20	16	18	15	14	17	13	9	19	16	31	32	26	32	40	10	15	35	28	27	24	21	18	30	17	5	9	26	10	20	18	20	10	10	38	7	14	10	21	17	17	19	14	29	22	17	18	26	17	15	23	16	33	22	12	6	8	14	183	14	6	12	16					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	82173	947	1171	1258	1062	951	985	1368	1259	1098	1068	1007	1065	743	798	1042	1051	984	876	860	935	952	952	1076	1237	992	1273	1171	924	877	1002	997	1283	941	921	627	892	1010	918	1251	1108	1110	1195	1257	1337	1495	1229	1165	1529	1538	1326	1207	872	1158	1178	948	1021	1242	1062	1232	901	1267	1058	1158	1298	1092	948	1029	1017	1211	1061	1226	1152	1136	1275	1311					
9	Число недействительных избирательных бюллетеней	684	8	7	10	17	5	8	16	13	4	7	7	7	6	8	10	7	14	12	6	7	8	9	6	8	9	12	11	3	10	8	7	17	6	9	2	7	4	4	4	8	5	10	0	13	10	10	8	24	16	9	8	5	8	18	9	15	11	9	7	6	5	7	12	14	1	5	7	4	12	17	21	8	12	15	12					
10	Число действительных избирательных бюллетеней	83187	1008	1177	1272	1066	982	1027	1379	1261	1119	1094	1021	1085	757	806	1050	1059	984	881	867	937	963	959	1101	1261	1009	1293	1200	931	882	1029	1018	1293	959	933	643	915	1023	919	1256	1126	1115	1205	1275	1344	1495	1229	1195	1512	1536	1327	1220	884	1167	1179	953	1035	1253	1070	1243	921	1279	1066	1169	1300	1124	965	1034	1019	1207	1058	1388	1158	1130	1272	1315					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	3790	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	60	50	50	50	50	50	50	50	50	50	70	50	50	50	50	50	90	50	50	50	50	50	50	50	50	50	50	50	0	50	50	50	70					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	2428	47	33	32	37	29	44	36	49	37	28	39	25	27	23	22	27	33	25	27	39	37	27	45	20	40	28	26	26	36	24	26	37	25	24	22	30	46	44	22	29	37	20	50	28	31	30	26	35	39	37	21	27	49	39	16	43	42	20	77	25	26	30	29	41	34	32	38	28	34	36	0	31	27	31	46					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	3143	40	65	105	29	22	10	23	71	16	53	21	20	23	14	185	100	146	40	19	32	34	34	34	26	10	44	20	8	17	19	26	96	24	57	61	37	19	33	14	29	17	14	27	38	19	8	24	24	40	20	10	21	21	27	13	36	18	12	15	20	17	22	13	8	32	47	19	11	70	17	710	12	15	31	19					
14	Число погашенных неиспользованных открепительных удостоверений	1361	3	17	18	13	21	6	14	1	13	22	11	25	23	27	28	23	17	25	23	11	13	23	5	30	10	22	24	24	14	26	24	13	25	26	28	20	4	6	27	21	13	30	10	22	19	20	24	15	11	13	29	23	21	11	34	7	8	30	13	25	24	20	21	9	16	18	12	22	16	14	0	19	23	19	24					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	348	6	6	1	6	6	1	8	9	4	2	5	4	1	3	5	7	4	5	3	5	1	7	5	4	6	3	4	0	5	3	3	2	5	5	4	4	10	10	4	10	3	6	6	2	6	5	7	9	7	7	4	4	4	1	1	4	4	3	11	4	3	11	4	2	6	8	4	0	6	1	0	6	5	4	4					
16	Число утраченных избирательных бюллетеней	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																		
18	1.Политическая партия «Аграрная партия России»	2008	15	24	18	16	18	13	40	25	34	31	26	28	19	16	31	23	22	23	15	20	26	24	29	31	25	44	28	19	24	35	16	25	29	15	31	20	20	22	28	31	34	38	28	29	40	13	31	49	38	20	33	22	24	22	30	19	33	32	36	26	39	38	30	33	20	33	26	32	26	24	26	33	18	32	22					
		2.39%	1.48%	2.03%	1.40%	1.48%	1.82%	1.26%	2.87%	1.96%	3.03%	2.82%	2.53%	2.56%	2.49%	1.97%	2.92%	2.16%	2.20%	2.58%	1.72%	2.12%	2.68%	2.48%	2.62%	2.44%	2.46%	3.37%	2.31%	2.03%	2.69%	3.38%	1.56%	1.91%	3.01%	1.59%	4.81%	2.17%	1.95%	2.38%	2.22%	2.73%	3.04%	3.13%	2.20%	2.14%	2.66%	1.05%	2.58%	3.19%	2.45%	1.50%	2.69%	2.47%	2.04%	1.84%	3.12%	1.81%	2.61%	2.97%	2.88%	2.80%	3.04%	3.54%	2.54%	2.51%	1.78%	3.40%	2.50%	3.13%	2.13%	2.23%	1.85%	2.83%	1.58%	2.49%	1.66%					
19	2.Всероссийская политическая партия «Гражданская Сила»	1586	23	28	21	21	16	17	23	19	21	17	17	20	14	20	14	33	25	24	15	21	34	24	15	35	9	22	19	21	7	28	10	33	12	17	19	15	15	18	22	16	20	21	25	32	36	19	18	23	27	35	23	18	16	16	21	25	34	16	30	13	21	22	23	21	19	20	16	13	28	24	9	25	17	29	31					
