Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																												
Дата голосования: 04.12.2011																												
																												
Наименование Избирательной комиссии:    Духовницкая																												
																												
Сводная таблица результатов выборов																												
																												
		Сумма	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839					
1	"Число избирателей, внесенных в список избирателей"	11457	1151	1136	866	1208	486	554	780	268	393	286	333	267	459	408	240	587	158	366	293	623	595					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11765	1176	1151	883	1231	490	595	824	274	393	293	332	287	470	436	242	613	162	373	295	647	598					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	6423	578	566	424	523	206	406	408	206	276	149	251	152	296	207	154	351	99	246	156	336	433					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	889	35	44	53	82	41	76	94	5	16	31	27	51	46	34	38	33	15	23	49	78	18					
6	Число погашенных избирательных бюллетеней	4453	563	541	406	626	243	113	322	63	101	113	54	84	128	195	50	229	48	104	90	233	147					
7	Число избирательных бюллетеней в переносных ящиках для голосования	888	35	44	53	81	41	76	94	5	16	31	27	51	46	34	38	33	15	23	49	78	18					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	6420	577	566	424	522	206	406	408	206	276	149	251	152	296	207	154	350	99	246	156	336	433					
9	Число недействительных избирательных бюллетеней	111	9	11	6	15	4	4	23	7	6	0	1	6	3	0	3	3	0	3	1	2	4					
10	Число действительных избирательных бюллетеней	7197	603	599	471	588	243	478	479	204	286	180	277	197	339	241	189	380	114	266	204	412	447					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	455	30	30	30	30	15	30	30	10	20	20	15	15	15	25	10	25	10	20	15	30	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	236	19	13	23	24	2	30	30	2	1	2	0	15	9	13	2	18	2	10	4	14	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	58	3	4	8	7	0	3	3	1	6	1	3	2	1	4	1	1	1	4	2	2	1					
14	Число погашенных неиспользованных открепительных удостоверений	219	11	17	7	6	13	0	0	8	19	18	15	0	6	12	8	7	8	10	11	16	27					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	23	4	4	4	0	1	1	2	0	0	1	0	0	0	4	0	0	0	1	0	1	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																												
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1237	132	159	122	112	58	46	65	29	61	38	40	34	35	34	19	47	27	38	34	51	56					
		16.93%	21.57%	26.07%	25.58%	18.57%	23.48%	9.54%	12.95%	13.74%	20.89%	21.11%	14.39%	16.75%	10.23%	14.11%	9.90%	12.27%	23.68%	14.13%	16.59%	12.32%	12.42%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	622	69	52	23	50	25	37	30	23	35	18	18	9	18	21	15	32	9	25	29	33	51					
		8.51%	11.27%	8.52%	4.82%	8.29%	10.12%	7.68%	5.98%	10.90%	11.99%	10.00%	6.47%	4.43%	5.26%	8.71%	7.81%	8.36%	7.89%	9.29%	14.15%	7.97%	11.31%					
