Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																													
Дата голосования: 04.12.2011																																																													
																																																													
Наименование Избирательной комиссии:    Лабинская																																																													
																																																													
Сводная таблица результатов выборов																																																													
																																																													
		Сумма	УИК №2901	УИК №2902	УИК №2903	УИК №2904	УИК №2905	УИК №2906	УИК №2907	УИК №2908	УИК №2909	УИК №2910	УИК №2911	УИК №2912	УИК №2913	УИК №2914	УИК №2915	УИК №2916	УИК №2917	УИК №2918	УИК №2919	УИК №2920	УИК №2921	УИК №2922	УИК №2923	УИК №2924	УИК №2925	УИК №2926	УИК №2927	УИК №2928	УИК №2929	УИК №2930	УИК №2931	УИК №2932	УИК №2933	УИК №2934	УИК №2935	УИК №2936	УИК №2937	УИК №2938	УИК №2939	УИК №2940	УИК №2941	УИК №2942	УИК №2943	УИК №2944	УИК №2945	УИК №2946	УИК №2947	УИК №2948	УИК №2949	УИК №2950	УИК №2951	УИК №2952	УИК №2953	УИК №2954					
1	"Число избирателей, внесенных в список избирателей"	74640	2400	2424	2258	2379	1777	2103	2101	1641	1828	1897	1178	1614	1162	825	1153	1324	2092	2804	1373	2315	2195	1597	1451	2117	2762	1322	1376	398	1253	1320	1731	1048	488	2571	408	935	661	328	465	2187	1772	361	1564	712	788	345	417	1392	730	752	400	1299	395	452					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	62550	1900	1800	1900	1900	1500	1700	1700	1200	1400	1900	1000	1300	950	700	900	1000	1600	2300	1200	2210	2000	1400	1100	2100	2300	1100	1100	320	1000	1200	1400	870	400	2300	330	800	550	260	400	2000	1400	300	1300	570	710	300	340	1200	600	700	340	1100	330	370					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	43137	1154	1283	1331	1065	963	1213	1446	855	1146	1100	619	844	742	445	680	703	1069	2122	1087	1384	1088	1171	776	951	1856	656	828	250	835	972	1124	691	262	1647	206	438	436	198	137	1447	992	166	810	350	127	166	245	787	392	620	229	563	178	292					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	9261	201	167	102	90	464	392	171	63	109	156	142	268	149	101	96	156	142	178	110	219	249	114	160	242	259	194	257	63	77	118	91	120	103	335	82	237	62	26	187	234	161	119	305	204	559	89	72	262	169	45	105	306	124	55					
6	Число погашенных избирательных бюллетеней	10152	545	350	467	745	73	95	83	282	145	644	239	188	59	154	124	141	389	0	3	607	663	115	164	907	185	250	15	7	88	110	185	59	35	318	42	125	52	36	76	319	247	15	185	16	24	45	23	151	39	35	6	231	28	23					
7	Число избирательных бюллетеней в переносных ящиках для голосования	9261	201	167	102	90	464	392	171	63	109	156	142	268	149	101	96	156	142	178	110	219	249	114	160	242	259	194	257	63	77	118	91	120	103	335	82	237	62	26	187	234	161	119	305	204	559	89	72	262	169	45	105	306	124	55					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	43127	1154	1279	1330	1065	963	1213	1446	855	1146	1100	619	844	741	444	680	703	1069	2122	1087	1384	1088	1171	773	951	1856	656	828	250	835	972	1124	691	262	1647	206	438	436	198	137	1447	992	166	810	350	127	166	245	787	392	620	229	563	178	292					
9	Число недействительных избирательных бюллетеней	847	25	21	26	26	9	8	14	18	12	53	17	28	15	14	26	22	26	31	102	27	21	17	17	14	37	30	19	7	12	43	15	17	0	0	0	4	7	3	2	18	12	1	0	0	12	3	0	0	1	1	1	5	6	2					
10	Число действительных избирательных бюллетеней	51541	1330	1425	1406	1129	1418	1597	1603	900	1243	1203	744	1084	875	531	750	837	1185	2269	1095	1576	1316	1268	916	1179	2078	820	1066	306	900	1047	1200	794	365	1982	288	671	491	221	322	1663	1141	284	1115	554	674	252	317	1049	560	664	333	864	296	345					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2441	28	60	30	30	60	55	39	27	20	20	39	41	40	40	20	60	20	55	60	100	85	60	60	22	51	100	68	20	50	50	70	40	20	105	20	40	40	15	20	80	60	20	60	40	40	20	20	85	40	40	30	75	30	21					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	2301	28	47	26	30	58	55	39	26	20	20	33	41	40	40	20	60	20	55	60	100	85	57	60	22	51	100	68	20	50	42	70	40	20	105	20	40	40	13	20	62	43	10	53	5	40	16	17	85	40	40	30	75	30	14					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	542	4	17	26	3	17	26	17	15	6	22	31	24	24	18	10	19	14	10	8	11	29	15	11	13	11	8	11	8	3	2	5	2	1	17	0	1	13	5	3	3	5	0	5	2	12	2	5	5	7	2	2	8	3	1					
14	Число погашенных неиспользованных открепительных удостоверений	140	0	13	4	0	2	0	0	1	0	0	6	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	2	0	18	17	10	7	35	0	4	3	0	0	0	0	0	0	7					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	98	5	5	4	0	3	1	3	4	1	2	1	4	0	0	2	1	2	7	2	7	9	3	1	3	1	3	0	1	3	1	0	0	1	1	0	0	0	0	0	0	0	0	2	1	1	4	0	2	2	1	0	4	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																													
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3432	161	88	148	131	30	50	99	119	97	162	20	117	78	4	75	25	136	29	70	172	165	117	82	139	62	100	79	20	49	47	29	57	13	78	24	57	36	19	22	82	15	27	36	18	35	20	20	40	30	20	16	37	18	12					
		6.55%	11.88%	6.09%	10.34%	11.34%	2.10%	3.12%	6.12%	12.96%	7.73%	12.90%	2.63%	10.52%	8.76%	0.73%	9.66%	2.91%	11.23%	1.26%	5.85%	10.73%	12.34%	9.11%	8.79%	11.65%	2.93%	11.76%	7.28%	6.39%	5.37%	4.31%	2.39%	7.03%	3.56%	3.94%	8.33%	8.44%	7.23%	8.48%	6.79%	4.88%	1.30%	9.47%	3.23%	3.25%	5.10%	7.84%	6.31%	3.81%	5.35%	3.01%	4.79%	4.26%	5.96%	3.46%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	4523	185	121	205	169	60	54	151	119	124	162	19	133	130	2	93	25	185	60	60	239	200	141	122	184	65	144	70	37	71	48	57	83	21	121	37	70	50	38	54	101	28	42	30	29	42	20	20	50	61	12	26	110	11	32					
		8.63%	13.65%	8.37%	14.32%	14.63%	4.20%	3.36%	9.34%	12.96%	9.88%	12.90%	2.50%	11.96%	14.61%	0.37%	11.98%	2.91%	15.28%	2.61%	5.01%	14.91%	14.96%	10.97%	13.08%	15.42%	3.07%	16.94%	6.45%	11.82%	7.79%	4.40%	4.69%	10.23%	5.75%	6.10%	12.85%	10.37%	10.04%	16.96%	16.67%	6.01%	2.43%	14.74%	2.69%	5.23%	6.12%	7.84%	6.31%	4.77%	10.87%	1.80%	7.78%	12.66%	3.64%	9.22%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	478	19	12	13	19	13	8	15	15	29	24	3	13	14	0	6	11	25	20	8	23	21	11	10	18	5	9	14	1	5	1	7	6	0	10	1	7	6	0	1	6	10	5	9	2	1	2	3	7	1	1	0	5	3	0					
		0.91%	1.40%	0.83%	0.91%	1.65%	0.91%	0.50%	0.93%	1.63%	2.31%	1.91%	0.39%	1.17%	1.57%	0.00%	0.77%	1.28%	2.06%	0.87%	0.67%	1.43%	1.57%	0.86%	1.07%	1.51%	0.24%	1.06%	1.29%	0.32%	0.55%	0.09%	0.58%	0.74%	0.00%	0.50%	0.35%	1.04%	1.20%	0.00%	0.31%	0.36%	0.87%	1.75%	0.81%	0.36%	0.15%	0.78%	0.95%	0.67%	0.18%	0.15%	0.00%	0.58%	0.99%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	10303	281	329	344	257	261	242	243	248	250	237	178	261	185	203	160	181	315	440	194	374	292	203	206	287	404	219	175	86	103	116	290	105	73	353	53	88	116	47	80	260	327	56	238	139	70	40	58	194	101	51	60	139	60	31					
		19.67%	20.74%	22.75%	24.02%	22.25%	18.29%	15.08%	15.03%	27.02%	19.92%	18.87%	23.39%	23.47%	20.79%	37.25%	20.62%	21.07%	26.01%	19.13%	16.21%	23.33%	21.84%	15.80%	22.08%	24.06%	19.10%	25.76%	16.13%	27.48%	11.29%	10.64%	23.87%	12.95%	20.00%	17.81%	18.40%	13.04%	23.29%	20.98%	24.69%	15.47%	28.36%	19.65%	21.35%	25.09%	10.20%	15.69%	18.30%	18.49%	18.00%	7.67%	17.96%	15.99%	19.87%	8.93%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	776	29	9	36	25	20	8	29	33	30	55	6	36	23	2	20	23	31	28	21	51	37	11	40	23	11	7	7	3	10	12	5	3	2	15	1	5	4	0	0	8	17	0	7	3	2	1	1	18	1	3	1	3	0	0					
		1.48%	2.14%	0.62%	2.51%	2.16%	1.40%	0.50%	1.79%	3.59%	2.39%	4.38%	0.79%	3.24%	2.58%	0.37%	2.58%	2.68%	2.56%	1.22%	1.75%	3.18%	2.77%	0.86%	4.29%	1.93%	0.52%	0.82%	0.65%	0.96%	1.10%	1.10%	0.41%	0.37%	0.55%	0.76%	0.35%	0.74%	0.80%	0.00%	0.00%	0.48%	1.47%	0.00%	0.63%	0.54%	0.29%	0.39%	0.32%	1.72%	0.18%	0.45%	0.30%	0.35%	0.00%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	31735	646	861	656	517	1026	1230	1057	358	681	544	514	515	445	320	393	566	488	1674	738	704	591	779	450	520	1525	333	716	157	656	823	812	539	255	1405	170	439	279	116	160	1185	741	153	784	363	523	168	214	738	362	577	229	566	204	270					
