Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																													
Дата голосования: 02.12.2007																																																													
																																																													
Наименование Избирательной комиссии:    Лабинская																																																													
																																																													
Сводная таблица результатов выборов																																																													
																																																													
		Сумма	УИК №2901	УИК №2902	УИК №2903	УИК №2904	УИК №2905	УИК №2906	УИК №2907	УИК №2908	УИК №2909	УИК №2910	УИК №2911	УИК №2912	УИК №2913	УИК №2914	УИК №2915	УИК №2916	УИК №2917	УИК №2918	УИК №2919	УИК №2920	УИК №2921	УИК №2922	УИК №2923	УИК №2924	УИК №2925	УИК №2926	УИК №2927	УИК №2928	УИК №2929	УИК №2930	УИК №2931	УИК №2932	УИК №2933	УИК №2934	УИК №2935	УИК №2936	УИК №2937	УИК №2938	УИК №2939	УИК №2940	УИК №2941	УИК №2942	УИК №2943	УИК №2944	УИК №2945	УИК №2946	УИК №2947	УИК №2948	УИК №2949	УИК №2950	УИК №2951	УИК №2952	УИК №2953	УИК №2954					
1	"Число избирателей, внесенных в списки избирателей"	75879	2197	2291	2364	2436	2053	2044	2100	1688	1865	1875	1255	1597	1450	874	1130	1741	2534	2679	1412	2194	2031	1608	1596	2075	2244	1330	1395	405	1219	1165	1787	1121	540	2601	427	957	698	345	479	2151	1849	370	1612	764	866	394	436	1439	706	764	625	976	646	479					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	70730	2000	1800	2200	2300	1800	1900	2000	1600	1700	1700	1100	1400	1300	800	1100	1600	2400	2500	1300	2100	1800	1500	1500	1900	2400	1200	1400	350	1100	1300	1700	1000	500	2300	400	900	700	300	450	2100	1800	340	1500	700	850	370	400	1400	700	700	600	900	600	470					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	41837	1075	1358	1180	1561	987	1042	1132	910	987	978	650	968	795	477	585	1101	1472	1563	678	1307	1117	791	782	1073	1430	713	728	247	629	666	1093	622	322	1468	253	396	455	227	140	1308	1228	190	1007	342	289	208	249	715	401	504	350	406	332	350					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	6641	67	39	285	70	259	158	93	102	82	144	78	78	101	48	67	114	77	98	66	95	132	68	113	125	99	140	280	53	77	117	47	114	113	177	57	288	53	23	160	289	159	78	195	148	392	71	66	278	98	88	99	185	106	32					
6	Число погашенных избирательных бюллетеней	22252	858	403	735	669	554	700	775	588	631	578	372	354	404	275	448	385	851	839	556	698	551	641	605	702	871	347	392	50	394	517	560	264	65	655	90	216	192	50	150	503	413	72	298	210	169	91	85	407	201	108	151	309	162	88					
7	Число избирательных бюллетеней в переносных ящиках для голосования	6640	67	39	285	70	259	157	93	102	82	144	78	78	101	48	67	114	77	98	66	95	132	68	113	125	99	140	280	53	77	117	47	114	113	177	57	288	53	23	160	289	159	78	195	148	392	71	66	278	98	88	99	185	106	32					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	41814	1075	1358	1180	1561	987	1036	1131	910	987	978	650	968	795	477	585	1101	1472	1563	678	1307	1117	791	782	1068	1430	713	728	245	629	666	1093	622	322	1468	253	396	455	227	140	1300	1228	190	1007	342	289	208	249	715	400	504	350	406	332	350					
9	Число недействительных избирательных бюллетеней	793	21	19	22	33	21	15	27	23	20	6	12	12	17	8	11	12	104	27	26	16	12	15	18	22	10	15	18	14	10	8	12	14	8	34	2	0	6	7	9	21	9	4	8	3	3	3	1	16	13	8	2	6	6	4					
10	Число действительных избирательных бюллетеней	47661	1121	1378	1443	1598	1225	1178	1197	989	1049	1116	716	1034	879	517	641	1203	1445	1634	718	1386	1237	844	877	1171	1519	838	990	284	696	775	1128	722	427	1611	308	684	502	243	291	1568	1378	264	1194	487	678	276	314	977	485	584	447	585	432	378					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1156	33	130	36	16	27	7	12	24	28	28	18	24	2	13	17	26	39	42	0	34	30	25	25	13	39	20	22	6	19	20	28	17	8	38	6	15	20	5	7	35	29	5	25	11	13	6	6	23	31	11	10	15	10	7					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	410	7	23	9	8	13	7	8	12	4	9	18	4	2	3	6	8	12	8	0	3	10	6	5	7	12	11	8	3	6	3	9	1	2	7	0	2	15	1	0	11	7	1	25	3	3	4	5	15	28	10	6	7	6	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	259	2	7	4	5	3	5	3	8	0	8	39	23	8	2	1	5	2	5	0	2	3	0	2	5	15	5	8	3	0	1	3	2	3	36	0	2	1	4	4	4	1	1	0	2	5	1	0	2	3	4	0	4	0	3					
14	Число погашенных неиспользованных открепительных удостоверений	746	26	107	27	8	14	0	4	12	24	19	0	20	0	10	11	18	27	34	0	31	20	19	20	6	27	9	14	3	13	17	19	16	6	31	6	13	5	4	7	24	22	4	0	8	10	2	1	8	3	1	4	8	4	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																													
18	1.Политическая партия «Аграрная партия России»	844	17	18	23	48	21	22	14	12	17	23	16	17	12	13	9	22	24	39	10	14	26	12	15	15	30	21	20	9	11	10	20	8	8	30	3	1	13	12	3	14	23	9	37	8	8	5	3	25	9	10	6	13	8	8					
