Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																	
Дата голосования: 02.12.2007																																																	
																																																	
Наименование Избирательной комиссии:    Чистоозерная																																																	
																																																	
Сводная таблица результатов выборов																																																	
																																																	
		Сумма	УИК №1278	УИК №1279	УИК №1280	УИК №1281	УИК №1282	УИК №1283	УИК №1284	УИК №1285	УИК №1286	УИК №1287	УИК №1288	УИК №1289	УИК №1290	УИК №1291	УИК №1292	УИК №1293	УИК №1294	УИК №1295	УИК №1296	УИК №1297	УИК №1298	УИК №1299	УИК №1300	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319					
1	"Число избирателей, внесенных в списки избирателей"	15515	374	1011	1299	1389	1143	1152	135	60	405	65	269	866	313	433	110	108	516	19	191	393	383	120	432	107	66	491	53	486	582	406	85	318	109	231	56	353	492	81	31	249	45	88					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	15224	373	905	1155	1260	1040	1040	136	45	413	66	276	880	386	440	150	150	525	20	190	392	382	120	435	146	70	495	55	505	585	412	85	320	115	230	60	360	495	85	35	250	51	91					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	9146	231	509	639	598	551	578	84	42	261	46	196	444	308	293	108	106	354	19	121	195	230	66	268	107	52	336	41	300	316	247	68	253	85	182	40	258	270	59	31	154	41	59					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	650	12	45	50	85	18	57	5	3	18	0	12	45	5	15	2	2	39	0	6	17	15	13	11	0	0	33	0	19	40	18	0	17	4	0	0	6	32	4	0	0	0	2					
6	Число погашенных избирательных бюллетеней	5428	130	351	466	577	471	405	47	0	134	20	68	391	73	132	40	42	132	1	63	180	137	41	156	39	18	126	14	186	229	147	17	50	26	48	20	96	193	22	4	96	10	30					
7	Число избирательных бюллетеней в переносных ящиках для голосования	650	12	45	50	85	18	57	5	3	18	0	12	45	5	15	2	2	39	0	6	17	15	13	11	0	0	33	0	19	40	18	0	17	4	0	0	6	32	4	0	0	0	2					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	9146	231	509	639	598	551	578	84	42	261	46	196	444	308	293	108	106	354	19	121	195	230	66	268	107	52	336	41	300	316	247	68	253	85	182	40	258	270	59	31	154	41	59					
9	Число недействительных избирательных бюллетеней	112	0	10	3	5	9	5	1	1	3	0	2	3	1	1	0	2	2	1	0	1	3	1	4	1	3	7	0	8	7	3	1	10	0	5	0	2	2	1	0	3	0	1					
10	Число действительных избирательных бюллетеней	9684	243	544	686	678	560	630	88	44	276	46	206	486	312	307	110	106	391	18	127	211	242	78	275	106	49	362	41	311	349	262	67	260	89	177	40	262	300	62	31	151	41	60					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	177	7	13	15	15	10	10	5	3	5	3	5	7	7	5	3	3	7	3	4	4	2	1	2	1	1	5	1	6	2	1	1	2	1	1	1	2	3	1	1	1	6	1					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	76	1	9	14	12	7	7	0	0	2	0	0	3	1	4	0	0	0	0	0	0	0	0	0	0	0	2	0	4	2	0	0	1	0	0	0	0	2	1	0	0	4	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	69	0	4	7	7	4	0	1	3	1	1	0	3	0	1	1	1	1	1	2	1	4	1	2	1	1	5	1	0	5	0	1	1	1	1	0	0	1	1	0	3	1	0					
14	Число погашенных неиспользованных открепительных удостоверений	101	6	4	1	3	3	3	5	3	3	3	5	4	6	1	3	3	7	3	4	4	2	1	2	1	1	3	1	2	0	1	1	1	1	1	1	2	1	0	1	1	2	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
