Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва												
Дата голосования: 07.12.2003 0:00:00												
												
Наименование Избирательной комиссии:    Малышевская поселковая												
												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)												
												
		Сумма	УИК №2575	УИК №2576	УИК №2577	УИК №2578	УИК №2579					
1	"Число избирателей, внесенных в списки"	10198	1306	2249	2223	2183	2237					
2	"Число бюллетеней, полученных участковыми комиссиями"	10255	1265	2270	2250	2200	2270					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	4330	362	1055	1078	964	871					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	221	57	34	34	58	38					
6	Число погашенных бюллетеней	5704	846	1181	1138	1178	1361					
7	Число бюллетеней в переносных ящиках для голосования	221	57	34	34	58	38					
8	Число бюллетеней в стационарных ящиках для голосования	4329	362	1055	1078	964	870					
9	Число недействительных бюллетеней	65	4	7	22	14	18					
10	Число действительных бюллетеней	4485	415	1082	1090	1008	890					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	150	30	30	30	30	30					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	41	2	3	13	9	14					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	21	6	3	1	6	5					
14	Число погашенных открепительных удостоверений	109	28	27	17	21	16					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0					
												
18	"1. ""ЕДИНЕНИЕ"""	33	7	9	8	7	2					
		0.72%	1.67%	0.82%	0.71%	0.68%	0.22%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	143	12	41	34	24	32					
		3.14%	2.86%	3.76%	3.05%	2.34%	3.52%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	201	13	51	35	64	38					
		4.41%	3.10%	4.68%	3.14%	6.26%	4.18%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	197	13	57	50	43	34					
		4.32%	3.10%	5.23%	4.49%	4.20%	3.74%					
22	"5. ""За Русь Святую"""	37	5	7	7	12	6					
		0.81%	1.19%	0.64%	0.62%	1.17%	0.66%					
23	"6. ""Объединенная Российская партия ""Русь"""	14	2	3	5	0	4					
		0.30%	0.47%	0.27%	0.44%	0.0%	0.44%					
24	"7. ""Новый курс - Автомобильная Россия"""	35	7	7	7	8	6					
		0.76%	1.67%	0.64%	0.62%	0.78%	0.66%					
25	"8. ""Народно-республиканская партия России"""	5	1	3	0	1	0					
		0.10%	0.23%	0.27%	0.0%	0.09%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	9	3	3	0	1	2					
		0.19%	0.71%	0.27%	0.0%	0.09%	0.22%					
27	"10. ""Аграрная партия России"""	93	12	22	24	19	16					
		2.04%	2.86%	2.02%	2.15%	1.85%	1.76%					
28	"11. ""Истинные патриоты России"""	7	1	1	1	0	4					
		0.15%	0.23%	0.09%	0.08%	0.0%	0.44%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	84	13	21	13	21	16					
		1.84%	3.10%	1.92%	1.16%	2.05%	1.76%					
30	"13. ""Демократическая партия России"""	18	3	5	1	6	3					
		0.39%	0.71%	0.45%	0.08%	0.58%	0.33%					
31	"14. ""Великая Россия - Евразийский Союз"""	16	2	5	3	3	3					
		0.35%	0.47%	0.45%	0.26%	0.29%	0.33%					
32	"15. ""Партия СЛОН"""	3	1	1	0	1	0					
		0.06%	0.23%	0.09%	0.0%	0.09%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	515	37	114	136	123	105					
		11.31%	8.83%	10.46%	12.23%	12.03%	11.56%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	9	0	3	1	2	3					
		0.19%	0.0%	0.27%	0.08%	0.19%	0.33%					
35	"18. ""ЛДПР"""	572	54	157	139	118	104					
		12.57%	12.88%	14.41%	12.49%	11.54%	11.45%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	95	11	29	20	14	21					
		2.08%	2.62%	2.66%	1.79%	1.36%	2.31%					
37	"20. ""Политическая партия ""Единая Россия"""	1877	167	423	480	427	380					
		41.25%	39.85%	38.84%	43.16%	41.78%	41.85%					
38	"21. ""Российская Конституционно-демократическая партия"""	10	1	4	1	0	4					
		0.21%	0.23%	0.36%	0.08%	0.0%	0.44%					
39	"22. ""Развитие предпринимательства"""	11	1	1	2	6	1					
		0.24%	0.23%	0.09%	0.17%	0.58%	0.11%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	340	35	77	84	73	71					
		7.47%	8.35%	7.07%	7.55%	7.14%	7.81%					
												
41	Против всех	161	14	38	39	35	35					
		3.53%	3.34%	3.48%	3.50%	3.42%	3.85%					
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
