Выборы Президента Российской Федерации																																									
																																									
Наименование Избирательной комиссии:    Мценская																																									
																																									
Итоги голосования 																																									
																																									
		Сумма	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505					
1	"Число избирателей, внесенных в список"	14384	523	252	460	470	326	304	310	281	159	258	230	369	169	268	555	325	405	216	192	814	634	131	384	374	300	807	474	957	147	210	389	217	2033	441					
2	Число полученных избирательных бюллетеней	14476	552	262	461	488	323	308	292	312	154	265	222	369	163	271	578	340	404	220	195	822	639	131	386	373	298	801	474	961	138	220	399	223	2000	432					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	9223	335	197	280	302	216	188	130	175	111	155	120	261	134	268	296	167	283	125	110	647	348	80	318	138	144	426	247	598	117	145	314	129	1424	295					
5	"Число избирательных бюллетеней, выданных вне помещения"	3759	140	50	155	76	91	65	134	89	41	87	99	39	25	0	211	112	101	83	77	126	263	49	35	223	132	257	184	305	21	55	69	73	223	69					
6	Число погашенных избирательных бюллетеней	1494	77	15	26	110	16	55	28	48	2	23	3	69	4	3	71	61	20	12	8	49	28	2	33	12	22	118	43	58	0	20	16	21	353	68					
7	Число избирательных бюллетеней в переносных ящиках	3759	140	50	155	76	91	65	134	89	41	87	99	39	25	0	211	112	101	83	77	126	263	49	35	223	132	257	184	305	21	55	69	73	223	69					
8	Число бюллетеней в стационарных ящиках для голосования	9223	335	197	280	302	216	188	130	175	111	155	120	261	134	268	296	167	283	125	110	647	348	80	318	138	144	426	247	598	117	145	314	129	1424	295					
9	Число недействительных избирательных бюллетеней	86	7	0	1	3	3	1	0	0	1	5	0	4	0	4	3	2	2	0	1	2	0	0	4	1	1	5	2	5	1	1	3	2	19	3					
10	Число действительных избирательных бюллетеней	12896	468	247	434	375	304	252	264	264	151	237	219	296	159	264	504	277	382	208	186	771	611	129	349	360	275	678	429	898	137	199	380	200	1628	361					
11	Число полученных открепительных  удостоверений	350	14	9	10	15	7	7	12	27	5	10	5	9	3	5	15	5	5	11	20	9	6	6	5	10	5	29	5	10	6	15	10	3	30	7					
12	Число выданных открепительных удостоверений	281	14	9	9	13	4	5	12	27	0	7	2	6	1	1	15	4	5	11	18	7	5	2	3	7	3	29	5	7	1	14	8	2	22	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	252	3	5	11	7	8	5	11	6	8	8	9	9	3	3	11	5	9	4	7	10	13	4	3	6	6	7	10	6	7	8	3	3	27	7					
14	Число неиспользованных открепительных удостоверений	69	0	0	1	2	3	2	0	0	5	3	3	3	2	4	0	1	0	0	2	2	1	4	2	3	2	0	0	3	5	1	2	1	8	4					
15	"Число открепительных удостоверений, выданных в ТИК"	7	1	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																									
18	. Глазьев Сергей Юрьевич	440	14	11	13	13	8	15	2	9	2	4	8	15	8	2	29	9	15	3	2	5	21	3	4	3	22	12	17	47	3	4	14	17	72	14					
		3.39%	2.95%	4.45%	2.99%	3.44%	2.61%	5.93%	0.76%	3.41%	1.32%	1.65%	3.65%	5.00%	5.03%	0.75%	5.72%	3.23%	3.91%	1.44%	1.07%	0.65%	3.44%	2.33%	1.13%	0.83%	7.97%	1.76%	3.94%	5.20%	2.17%	2.00%	3.66%	8.42%	4.37%	3.85%					
19	. Малышкин Олег Александрович	367	16	11	5	6	9	2	4	11	5	6	7	18	2	1	7	9	17	3	2	2	13	4	0	12	12	33	14	30	3	0	27	6	60	10					
		2.83%	3.37%	4.45%	1.15%	1.59%	2.93%	0.79%	1.52%	4.17%	3.29%	2.48%	3.20%	6.00%	1.26%	0.37%	1.38%	3.23%	4.43%	1.44%	1.07%	0.26%	2.13%	3.10%	0.00%	3.32%	4.35%	4.83%	3.25%	3.32%	2.17%	0.00%	7.05%	2.97%	3.64%	2.75%					
20	. Миронов Сергей Михайлович	105	2	2	2	3	7	0	3	3	1	3	3	2	2	0	3	4	6	4	1	0	2	0	0	4	3	8	2	11	0	1	3	3	15	2					
		0.81%	0.42%	0.81%	0.46%	0.79%	2.28%	0.00%	1.14%	1.14%	0.66%	1.24%	1.37%	0.67%	1.26%	0.00%	0.59%	1.43%	1.56%	1.92%	0.53%	0.00%	0.33%	0.00%	0.00%	1.11%	1.09%	1.17%	0.46%	1.22%	0.00%	0.50%	0.78%	1.49%	0.91%	0.55%					
