Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																									
Дата голосования: 04.12.2011																																																									
																																																									
"Наименование Избирательной комиссии:    Астрахань, Кировская"																																																									
																																																									
Сводная таблица результатов выборов																																																									
																																																									
		Сумма	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №580	УИК №581	УИК №582					
1	"Число избирателей, внесенных в список избирателей"	85796	1497	2531	1594	2033	1848	2196	1641	921	1481	1298	1453	1436	1577	1277	1451	477	672	1262	1783	1304	2232	1937	2602	1628	1924	2116	1410	2830	1554	1581	1787	2016	1568	1767	1694	1709	2383	2250	2525	2273	2906	2389	2264	2158	1340	2679	495	583	597	867					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	77585	1300	2180	1470	1750	1570	1980	1340	820	1240	1220	1300	1350	1570	1030	1350	480	550	1160	1660	1150	1890	1710	2430	1480	1800	1950	1290	2510	1450	1460	1650	1860	1450	1600	1570	1550	2140	2140	2240	2110	2640	2270	2000	2000	1240	2170	495	560	600	860					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	47154	710	1579	663	773	1002	1457	781	562	863	756	481	746	638	712	780	477	337	603	754	774	1052	1120	1652	470	994	1150	796	1296	722	817	813	1123	865	1125	1184	1000	1600	1148	1574	1400	2065	1541	1142	1263	789	1024	488	547	481	465					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2549	9	35	24	42	256	64	22	25	19	31	12	41	108	30	15	0	46	30	17	10	38	24	30	10	16	19	22	11	19	169	17	25	20	16	10	15	62	96	19	50	22	28	158	32	32	279	0	12	106	356					
6	Число погашенных избирательных бюллетеней	27882	581	566	783	935	312	459	537	233	358	433	807	563	824	288	555	3	167	527	889	366	800	566	748	1000	790	781	472	1203	709	474	820	712	565	459	376	535	478	896	647	660	553	701	700	705	419	867	7	1	13	39					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2549	9	35	24	42	256	64	22	25	19	31	12	41	108	30	15	0	46	30	17	10	38	24	30	10	16	19	22	11	19	169	17	25	20	16	10	15	62	96	19	50	22	28	158	32	32	279	0	12	106	356					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	46885	709	1404	661	773	1002	1451	771	562	863	756	481	746	630	703	780	477	328	603	754	774	1052	1120	1652	470	994	1139	765	1296	722	817	813	1123	865	1125	1184	1000	1600	1145	1574	1396	2065	1541	1142	1263	789	1024	488	547	481	465					
9	Число недействительных избирательных бюллетеней	968	11	27	15	7	0	31	14	3	19	4	6	59	12	7	16	116	4	30	28	1	0	26	20	5	21	31	0	19	7	13	23	21	16	23	17	23	0	25	81	12	0	8	0	22	82	33	1	10	5	14					
10	Число действительных избирательных бюллетеней	48466	707	1412	670	808	1258	1484	779	584	863	783	487	728	726	726	779	361	370	603	743	783	1090	1118	1662	475	989	1127	787	1288	734	973	807	1127	869	1118	1177	992	1662	1216	1512	1434	2087	1561	1300	1273	739	1270	487	549	582	807					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	3246	41	116	74	65	60	75	89	30	51	67	45	55	140	118	70	0	20	41	62	58	77	68	138	55	111	76	46	82	59	65	61	77	61	59	70	55	86	71	89	100	90	98	76	71	50	78	0	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	3125	40	116	74	57	59	70	87	30	47	65	45	54	129	103	70	0	20	41	62	53	73	66	134	54	92	76	45	82	59	64	61	77	60	55	70	55	86	71	89	100	90	96	73	61	43	71	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	2278	13	134	45	24	81	85	61	31	147	15	60	43	20	21	16	176	82	14	25	71	210	99	17	32	22	33	23	8	11	24	19	30	13	25	13	43	32	19	131	26	2	9	14	19	15	80	0	25	64	56					
