Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																							
Дата голосования: 02.12.2007																																																																							
																																																																							
"Наименование Избирательной комиссии:    Астрахань, Кировская"																																																																							
																																																																							
Сводная таблица результатов выборов																																																																							
																																																																							
		Сумма	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470					
1	"Число избирателей, внесенных в списки избирателей"	84188	1152	1471	1437	1488	1706	1086	897	1404	1115	1238	1120	1313	1218	1207	1529	1542	1171	1026	1181	986	757	591	1086	1015	1430	1181	1266	1195	1224	943	1587	1441	1204	1458	1105	1107	1589	1509	1707	1525	1614	1813	1674	1580	1468	1748	1315	1312	1743	1284	1254	1250	1290	1881	1385	1541	1453	965	1589	559	1194	1614	1390	1065					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	76910	990	1350	1300	1400	1300	940	860	1250	1000	1150	950	1250	1150	1100	1300	1400	1100	990	1150	950	640	560	1020	1000	1200	1000	1200	1150	1200	920	1450	1300	1150	1400	1100	1100	1400	1300	1550	1450	1500	1550	1400	1350	1400	1600	1200	1250	1550	1200	1200	1200	1200	1700	1250	1350	1310	840	1410	570	1150	1460	1250	1050					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	50843	706	1004	770	839	1064	535	561	871	708	824	764	784	736	824	830	854	660	562	622	530	488	544	733	502	761	573	754	720	726	652	997	730	716	956	758	671	853	769	1038	939	1085	1233	937	894	892	1137	856	779	947	779	791	874	886	1228	813	900	863	461	810	479	770	979	834	688					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2566	43	14	20	29	56	174	23	39	33	19	35	37	27	41	36	68	28	110	24	25	33	0	27	8	34	122	29	24	34	11	38	22	11	9	14	26	25	15	29	12	19	20	271	71	26	20	17	11	14	29	16	5	18	22	52	40	32	290	42	72	17	18	19	21					
6	Число погашенных избирательных бюллетеней	23388	241	332	510	532	180	231	276	340	259	307	151	429	387	235	434	478	412	318	504	395	119	16	260	490	292	305	417	406	440	257	415	548	423	435	328	403	522	516	483	499	396	297	192	385	482	443	327	460	589	392	393	321	296	450	385	410	415	89	558	19	363	463	397	341					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2678	43	14	20	29	56	174	23	39	33	19	35	37	27	41	36	68	28	110	24	25	33	0	27	8	146	122	29	24	34	11	38	22	11	9	14	26	25	15	29	12	19	20	271	71	26	20	17	11	14	29	16	5	18	22	52	40	32	290	42	72	17	18	19	21					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	50814	706	1004	770	839	1064	535	561	871	708	822	764	784	736	823	830	854	660	562	622	530	488	544	733	502	760	573	753	720	726	652	997	730	700	956	757	671	853	769	1038	936	1085	1233	937	894	891	1137	856	778	946	779	791	874	885	1228	813	900	863	461	810	479	770	979	834	688					
9	Число недействительных избирательных бюллетеней	751	10	9	8	11	8	13	12	14	9	11	6	10	13	7	9	14	10	8	11	13	10	37	6	12	31	14	4	17	9	11	8	12	38	4	6	11	5	14	17	8	7	13	12	16	14	9	7	4	14	17	19	12	9	1	7	6	11	21	0	31	5	11	16	9					
10	Число действительных избирательных бюллетеней	52741	739	1009	782	857	1112	696	572	896	732	830	793	811	750	857	857	908	678	664	635	542	511	507	754	498	875	681	778	727	751	652	1027	740	673	961	765	686	873	770	1050	940	1097	1240	1196	949	903	1148	866	785	946	791	788	867	894	1249	858	934	884	730	852	520	782	986	837	700					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	2653	65	50	40	65	27	20	40	55	39	40	20	30	30	25	30	45	55	210	20	34	10	0	39	30	35	35	28	30	40	40	40	34	35	166	30	35	40	27	48	55	38	35	35	45	55	47	39	30	55	30	30	25	20	85	30	25	45	20	42	0	34	55	45	51					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	2498	54	37	40	65	27	20	35	49	39	39	17	30	30	25	30	45	36	207	20	33	10	0	39	27	35	34	28	29	39	30	39	34	19	160	30	22	38	27	48	50	38	35	35	45	54	46	38	29	53	29	30	25	20	84	30	25	45	19	42	0	28	49	36	47					
