Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																														
Дата голосования: 02.12.2007																																																														
																																																														
Наименование Избирательной комиссии:    Бакалинская																																																														
																																																														
Сводная таблица результатов выборов																																																														
																																																														
		Сумма	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139					
1	"Число избирателей, внесенных в списки избирателей"	21484	965	1188	950	1167	557	1042	1017	385	386	365	385	425	184	240	153	343	347	293	535	124	359	156	337	276	118	176	205	218	204	785	321	313	120	744	412	355	317	318	603	519	189	122	294	298	680	376	158	378	91	385	172	62	107	137	128					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	21733	966	1188	995	1168	564	1021	1033	375	398	394	390	433	184	250	153	344	354	293	535	129	354	160	337	276	118	176	205	218	200	800	321	313	120	767	413	362	297	322	586	522	189	126	323	313	755	375	165	355	92	386	175	63	108	143	131					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	19640	891	1093	916	1112	516	978	959	329	378	352	368	353	173	218	144	336	346	270	504	122	317	120	326	261	106	167	194	197	148	757	295	281	110	639	293	313	252	285	556	502	166	110	269	265	591	359	158	245	87	369	151	62	107	111	113					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1465	60	19	15	27	32	42	44	32	6	13	11	51	11	22	9	5	1	21	31	2	32	34	9	14	12	9	11	20	52	28	26	32	10	104	116	40	45	32	27	16	23	12	23	33	65	11	0	96	4	15	21	0	0	24	15					
6	Число погашенных избирательных бюллетеней	628	15	76	64	29	16	1	30	14	14	29	11	29	0	10	0	3	7	2	0	5	5	6	2	1	0	0	0	1	0	15	0	0	0	24	4	9	0	5	3	4	0	4	31	15	99	5	7	14	1	2	3	1	1	8	3					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1464	60	19	15	27	32	42	44	32	6	13	11	51	11	22	9	5	1	21	31	2	32	34	9	14	12	9	11	20	52	28	26	32	10	104	116	40	45	32	27	16	23	12	23	33	64	11	0	96	4	15	21	0	0	24	15					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	19638	891	1093	916	1112	516	978	959	329	376	352	368	353	173	218	144	336	346	270	504	122	317	120	326	261	106	167	194	197	148	757	295	281	110	639	293	313	252	285	556	502	166	110	269	265	591	359	158	245	87	369	151	62	107	111	113					
9	Число недействительных избирательных бюллетеней	101	0	10	0	3	0	0	4	29	1	1	0	0	0	0	0	0	1	0	1	5	1	1	1	0	0	0	0	4	7	3	1	0	0	0	1	5	0	0	4	2	0	5	1	1	0	0	0	0	0	0	6	0	1	1	1					
10	Число действительных избирательных бюллетеней	21001	951	1102	931	1136	548	1020	999	332	381	364	379	404	184	240	153	341	346	291	534	119	348	153	334	275	118	176	205	213	193	782	320	313	120	743	408	348	297	317	579	516	189	117	291	297	655	370	158	341	91	384	166	62	106	134	127					
