Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																														
Дата голосования: 04.12.2011																																																														
																																																														
Наименование Избирательной комиссии:    Бакалинская																																																														
																																																														
Сводная таблица результатов выборов																																																														
																																																														
		Сумма	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133					
1	"Число избирателей, внесенных в список избирателей"	22660	1043	1528	1043	1110	581	1085	1315	439	395	306	336	370	376	410	184	390	387	354	575	138	381	153	307	118	379	280	115	164	202	233	221	748	756	377	319	310	270	625	545	190	101	318	242	155	770	418	395	154	309	134	175	69	99	138	125					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	23557	1066	1557	1088	1138	683	1135	1386	448	406	311	346	399	380	407	188	395	401	356	661	138	393	155	313	117	381	281	121	166	214	226	223	840	840	382	311	315	369	622	550	190	104	324	251	155	785	411	405	156	299	137	181	71	106	144	130					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	20573	964	1476	998	1019	514	957	1176	409	370	295	320	355	359	345	174	381	373	332	543	130	346	127	293	107	363	269	110	154	170	173	201	690	668	328	287	285	252	578	528	176	92	307	213	148	481	289	380	154	265	85	173	66	94	118	113					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1220	26	7	6	36	43	29	31	30	11	10	8	15	13	51	10	4	11	15	32	8	28	24	11	10	11	10	5	10	32	39	15	39	80	45	22	24	16	34	12	14	9	6	20	5	57	115	10	0	32	49	0	3	5	20	12					
6	Число погашенных избирательных бюллетеней	1764	76	74	84	83	126	149	179	9	25	6	18	29	8	11	4	10	17	9	86	0	19	4	9	0	7	2	6	2	12	14	7	111	92	9	2	6	101	10	10	0	3	11	18	2	247	7	15	2	2	3	8	2	7	6	5					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1220	26	7	6	36	43	29	31	30	11	10	8	15	13	51	10	4	11	15	32	8	28	24	11	10	11	10	5	10	32	39	15	39	80	45	22	24	16	34	12	14	9	6	20	5	57	115	10	0	32	49	0	3	5	20	12					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	20573	964	1476	998	1019	514	957	1176	409	370	295	320	355	359	345	174	381	373	332	543	130	346	127	293	107	363	269	110	154	170	173	201	690	668	328	287	285	252	578	528	176	92	307	213	148	481	289	380	154	265	85	173	66	94	118	113					
9	Число недействительных избирательных бюллетеней	119	0	0	8	0	12	0	9	2	0	0	0	0	1	0	0	0	0	0	5	0	0	0	8	1	0	0	1	0	0	0	7	36	2	1	6	0	0	6	2	0	0	5	0	0	0	0	2	0	1	0	3	0	0	0	1					
10	Число действительных избирательных бюллетеней	21674	990	1483	996	1055	545	986	1198	437	381	305	328	370	371	396	184	385	384	347	570	138	374	151	296	116	374	279	114	164	202	212	209	693	746	372	303	309	268	606	538	190	101	308	233	153	538	404	388	154	296	134	170	69	99	138	124					
