Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																					
Дата голосования: 18.09.2016																					
																					
Наименование Избирательной комиссии:    Поддорская																					
																					
Сводная таблица итогов голосования по федеральному избирательному округу																					
																					
		Сумма	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	3505	409	221	124	229	342	138	645	966	167	264									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	3554	406	224	124	229	345	144	663	981	168	270									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	1456	172	60	54	110	160	58	253	411	68	110									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	314	40	39	15	12	22	23	70	43	22	28									
6	Число погашенных избирательных бюллетеней	1784	194	125	55	107	163	63	340	527	78	132									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	314	40	39	15	12	22	23	70	43	22	28									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	1456	172	60	54	110	160	58	253	411	68	110									
9	Число недействительных избирательных бюллетеней	39	4	0	1	4	2	2	13	5	2	6									
10	Число действительных избирательных бюллетеней	1731	208	99	68	118	180	79	310	449	88	132									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	144	20	10	5	10	15	9	25	30	5	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	46	1	3	1	0	3	9	12	9	1	7									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	25	8	1	1	3	1	4	2	2	1	2									
14	Число погашенных неиспользованных открепительных удостоверений	98	19	7	4	10	12	0	13	21	4	8									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	21	0	0	0	2	0	1	10	8	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0									
																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	12	2	1	0	0	2	0	3	1	2	1									
		0.68%	0.94%	1.01%	0.00%	0.00%	1.10%	0.00%	0.93%	0.22%	2.22%	0.72%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	52	13	5	1	1	3	3	6	11	4	5									
		2.94%	6.13%	5.05%	1.45%	0.82%	1.65%	3.70%	1.86%	2.42%	4.44%	3.62%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	49	5	3	2	0	6	2	12	12	2	5									
		2.77%	2.36%	3.03%	2.90%	0.00%	3.30%	2.47%	3.72%	2.64%	2.22%	3.62%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	840	110	62	52	57	87	46	117	188	39	82									
		47.46%	51.89%	62.63%	75.36%	46.72%	47.80%	56.79%	36.22%	41.41%	43.33%	59.42%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	13	2	0	1	0	1	0	1	7	1	0									
		0.73%	0.94%	0.00%	1.45%	0.00%	0.55%	0.00%	0.31%	1.54%	1.11%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	4	0	2	0	0	1	1	0	0	0	0									
		0.23%	0.00%	2.02%	0.00%	0.00%	0.55%	1.23%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	354	23	10	6	42	45	14	79	95	21	19									
		20.00%	10.85%	10.10%	8.70%	34.43%	24.73%	17.28%	24.46%	20.93%	23.33%	13.77%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	2	0	0	0	0	0	1	0	0	0	1									
		0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	1.23%	0.00%	0.00%	0.00%	0.72%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	16	1	1	0	0	1	1	4	8	0	0									
		0.90%	0.47%	1.01%	0.00%	0.00%	0.55%	1.23%	1.24%	1.76%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	0	0	0	0	0	0	0	0	0	0	0									
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	13	2	2	1	0	1	0	2	3	1	1									
		0.73%	0.94%	2.02%	1.45%	0.00%	0.55%	0.00%	0.62%	0.66%	1.11%	0.72%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	262	42	13	4	14	25	7	56	74	16	11									
		14.80%	19.81%	13.13%	5.80%	11.48%	13.74%	8.64%	17.34%	16.30%	17.78%	7.97%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	10	1	0	0	0	1	0	6	1	0	1									
		0.56%	0.47%	0.00%	0.00%	0.00%	0.55%	0.00%	1.86%	0.22%	0.00%	0.72%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	104	7	0	1	4	7	4	24	49	2	6									
		5.88%	3.30%	0.00%	1.45%	3.28%	3.85%	4.94%	7.43%	10.79%	2.22%	4.35%									
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
