Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																										
Дата голосования: 18.09.2016																										
																										
Наименование Избирательной комиссии:    Дновская																										
																										
Сводная таблица итогов голосования по федеральному избирательному округу																										
																										
		Сумма	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	10809	1642	1765	1251	1394	1500	437	264	418	239	515	267	237	189	257	434									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8560	1200	1300	900	1000	1000	400	270	400	240	500	270	240	190	250	400									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3047	538	502	324	362	359	85	81	95	73	145	84	115	72	84	128									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	887	21	31	29	20	86	144	71	92	48	44	52	56	51	54	88									
6	Число погашенных избирательных бюллетеней	4626	641	767	547	618	555	171	118	213	119	311	134	69	67	112	184									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	887	21	31	29	20	86	144	71	92	48	44	52	56	51	54	88									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3047	538	502	324	362	359	85	81	95	73	145	84	115	72	84	128									
9	Число недействительных избирательных бюллетеней	75	8	9	4	4	20	1	2	4	3	8	3	3	0	5	1									
10	Число действительных избирательных бюллетеней	3859	551	524	349	378	425	228	150	183	118	181	133	168	123	133	215									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	200	20	20	20	20	20	10	10	10	10	10	10	10	10	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	69	2	6	4	3	2	0	10	2	8	2	4	10	10	4	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	36	3	8	4	5	10	0	0	0	0	2	0	1	0	2	1									
14	Число погашенных неиспользованных открепительных удостоверений	131	18	14	16	17	18	10	0	8	2	8	6	0	0	6	8									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	51	15	8	0	7	7	3	1	3	0	4	1	1	0	0	1									
		1.30%	2.68%	1.50%	0.00%	1.83%	1.57%	1.31%	0.66%	1.60%	0.00%	2.12%	0.74%	0.58%	0.00%	0.00%	0.46%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	100	10	13	7	9	14	4	4	5	5	6	0	5	4	4	10									
		2.54%	1.79%	2.44%	1.98%	2.36%	3.15%	1.75%	2.63%	2.67%	4.13%	3.17%	0.00%	2.92%	3.25%	2.90%	4.63%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	90	11	14	9	9	8	6	4	1	6	11	2	1	1	2	5									
		2.29%	1.97%	2.63%	2.55%	2.36%	1.80%	2.62%	2.63%	0.53%	4.96%	5.82%	1.47%	0.58%	0.81%	1.45%	2.31%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2022	267	248	154	175	231	161	105	126	72	87	65	85	44	73	129									
		51.40%	47.76%	46.53%	43.63%	45.81%	51.91%	70.31%	69.08%	67.38%	59.50%	46.03%	47.79%	49.71%	35.77%	52.90%	59.72%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	29	2	2	3	6	3	3	0	0	1	2	2	3	2	0	0									
		0.74%	0.36%	0.38%	0.85%	1.57%	0.67%	1.31%	0.00%	0.00%	0.83%	1.06%	1.47%	1.75%	1.63%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	8	1	0	1	0	0	0	1	1	0	1	2	0	1	0	0									
