Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																				
Дата голосования: 07.12.2003 0:00:00																																				
																																				
"Наименование Избирательной комиссии:    Пермь, Ленинская"																																				
																																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																				
																																				
		Сумма	УИК №3101	УИК №3102	УИК №3103	УИК №3104	УИК №3105	УИК №3106	УИК №3107	УИК №3109	УИК №3110	УИК №3111	УИК №3112	УИК №3113	УИК №3114	УИК №3115	УИК №3116	УИК №3117	УИК №3118	УИК №3119	УИК №3120	УИК №3121	УИК №3122	УИК №3123	УИК №3124	УИК №3125	УИК №3126	УИК №3127	УИК №3128	УИК №3129	УИК №3130					
1	"Число избирателей, внесенных в списки"	43722	1846	1858	1635	1703	1522	1384	1851	1329	1947	1689	1259	1461	1564	1451	1775	1874	2074	1747	1882	1612	1735	1360	1654	1126	629	665	1137	129	1824					
2	"Число бюллетеней, полученных участковыми комиссиями"	44950	1800	1700	1500	1500	1500	1400	2000	1300	1800	1600	1700	1700	1600	1700	1600	1700	1900	1600	1700	1500	1600	1200	1900	1500	800	800	1200	150	3000					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	28663	945	1033	1139	963	1019	860	1013	865	1317	1121	905	1022	958	1008	1088	1079	1224	1128	1130	940	1211	509	1146	802	629	665	991	129	1824					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1060	151	41	35	35	54	69	40	36	43	49	27	18	35	39	50	45	18	41	53	64	47	31	14	6	0	0	19	0	0					
6	Число погашенных бюллетеней	15226	703	626	326	502	427	471	947	399	440	430	768	660	607	653	462	576	658	431	517	496	342	660	740	692	171	135	190	21	1176					
7	Число бюллетеней в переносных ящиках для голосования	1060	151	41	35	35	54	69	40	36	43	49	27	18	35	39	50	45	18	41	53	64	47	31	14	6	0	0	19	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	28583	945	1033	1139	963	1019	860	1011	864	1304	1120	904	1020	907	1008	1087	1077	1223	1128	1127	940	1211	509	1146	802	628	664	991	129	1824					
9	Число недействительных бюллетеней	414	15	21	13	10	12	9	6	11	20	14	9	3	6	13	10	9	24	4	26	22	14	15	4	2	20	42	23	14	23					
10	Число действительных бюллетеней	29229	1081	1053	1161	988	1061	920	1045	889	1327	1155	922	1035	936	1034	1127	1113	1217	1165	1154	982	1244	525	1156	806	608	622	987	115	1801					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	3388	50	50	50	55	60	40	70	50	48	45	60	380	370	570	55	70	70	60	45	60	60	30	340	700	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	2953	49	42	47	44	40	38	52	38	38	45	60	331	295	481	51	61	62	53	41	49	55	24	317	640	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	4738	46	47	19	25	22	25	30	56	0	19	78	155	202	128	34	26	31	31	56	12	27	14	122	310	508	524	283	84	1824					
14	Число погашенных открепительных удостоверений	435	1	8	3	11	20	2	18	12	10	0	0	49	75	89	4	9	8	7	4	11	5	6	23	60	0	0	0	0	0					
15	Число открепительных удостоверений выданных ТИК	33	3	0	1	2	1	1	3	2	1	1	2	0	0	1	0	3	1	3	2	1	2	3	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
