Выборы Президента Российской Федерации																																																			
																																																			
"Наименование Избирательной комиссии:    Тольятти, Комсомольская"																																																			
																																																			
Итоги голосования 																																																			
																																																			
		Сумма	УИК №1641	УИК №1642	УИК №1643	УИК №1644	УИК №1645	УИК №1646	УИК №1647	УИК №1648	УИК №1649	УИК №1650	УИК №1651	УИК №1652	УИК №1653	УИК №1654	УИК №1655	УИК №1656	УИК №1657	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №1662	УИК №1663	УИК №1664	УИК №1665	УИК №1666	УИК №1667	УИК №1668	УИК №1669	УИК №1670	УИК №1671	УИК №1672	УИК №1673	УИК №1674	УИК №1675	УИК №1676	УИК №1677	УИК №1678	УИК №1679	УИК №1680	УИК №1681	УИК №1682	УИК №1683	УИК №1684					
1	"Число избирателей, внесенных в список"	95028	2620	2509	2459	2240	2148	2336	2148	1924	1994	2167	2368	2223	2246	2259	2035	2038	2252	2128	2406	2246	1900	2131	2021	1718	2196	2214	1631	2150	1879	2384	2656	2564	2589	2428	1770	1990	1764	2436	2150	1080	1492	2471	2459	2209					
2	Число полученных избирательных бюллетеней	92000	2500	2500	2300	2200	2000	2300	2000	1900	2000	2000	2300	2200	2200	2200	2000	2000	2200	2000	2300	2200	1900	2000	2000	1700	2200	2200	1500	2000	1900	2400	2500	2500	2500	2400	1700	2000	1700	2400	2000	1000	1400	2300	2300	2200					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	51128	1418	1431	1342	1203	1181	1310	1286	1118	1111	1237	1316	1248	1284	1207	1129	1146	1210	1215	1308	1266	1077	1209	1078	721	1222	1057	800	1362	950	1281	1317	1317	1444	1308	855	1017	991	1287	1126	496	635	1224	1250	1138					
5	"Число избирательных бюллетеней, выданных вне помещения"	1388	17	21	17	27	126	62	47	19	31	37	30	18	36	25	19	43	35	18	48	20	17	23	18	75	11	14	39	51	15	12	12	17	6	25	12	11	53	30	36	51	98	20	9	37					
6	Число погашенных избирательных бюллетеней	39484	1065	1048	941	970	693	928	667	763	858	726	954	934	880	968	852	811	955	767	944	914	806	768	904	904	967	1129	661	587	935	1107	1171	1166	1050	1067	833	972	656	1083	838	453	667	1056	1041	1025					
7	Число избирательных бюллетеней в переносных ящиках	1388	17	21	17	27	126	62	47	19	31	37	30	18	36	25	19	43	35	18	48	20	17	23	18	75	11	14	39	51	15	12	12	17	6	25	12	11	53	30	36	51	98	20	9	37					
8	Число бюллетеней в стационарных ящиках для голосования	51087	1418	1431	1342	1203	1178	1310	1286	1118	1109	1237	1312	1248	1284	1205	1129	1144	1210	1215	1308	1265	1077	1209	1078	720	1222	1057	800	1362	950	1277	1307	1317	1444	1308	853	1011	991	1285	1124	496	635	1224	1250	1138					
9	Число недействительных избирательных бюллетеней	424	7	12	9	6	11	9	13	5	8	10	12	10	15	7	10	5	10	3	9	12	11	7	7	13	15	5	6	12	9	13	5	18	18	12	10	7	11	14	5	9	7	13	11	3					
10	Число действительных избирательных бюллетеней	52051	1428	1440	1350	1224	1293	1363	1320	1132	1132	1264	1330	1256	1305	1223	1138	1182	1235	1230	1347	1273	1083	1225	1089	782	1218	1066	833	1401	956	1276	1314	1316	1432	1321	855	1015	1033	1301	1155	538	726	1231	1248	1172					
