Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																					
Дата голосования: 18.09.2016																																					
																																					
Наименование Избирательной комиссии:    Ейская районная																																					
																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																					
																																					
		Сумма	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	32472	2313	1349	1650	2069	884	444	1204	1317	1931	1666	204	1959	346	328	383	138	625	1569	1870	644	2689	1854	928	1500	1643	965									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	32325	2300	1350	1675	2075	875	450	1200	1325	1925	1650	200	1950	325	325	375	125	600	1550	1875	650	2675	1875	925	1500	1650	900									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	14146	918	573	599	777	614	286	540	599	647	820	128	887	241	259	221	100	513	510	575	260	1168	778	389	606	705	433									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1925	123	40	271	192	15	40	63	66	82	101	17	53	9	4	0	7	24	118	103	76	90	49	38	173	76	95									
6	Число погашенных избирательных бюллетеней	16254	1259	737	805	1106	246	124	597	660	1196	729	55	1010	75	62	154	18	63	922	1197	314	1417	1048	498	721	869	372									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1925	123	40	271	192	15	40	63	66	82	101	17	53	9	4	0	7	24	118	103	76	90	49	38	173	76	95									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	14127	918	573	599	777	613	286	540	599	633	820	128	885	241	259	221	100	513	510	574	260	1168	778	389	606	704	433									
9	Число недействительных избирательных бюллетеней	350	17	12	11	0	19	9	24	22	20	16	2	14	3	2	3	2	5	12	29	12	38	24	12	12	17	13									
10	Число действительных избирательных бюллетеней	15702	1024	601	859	969	609	317	579	643	695	905	143	924	247	261	218	105	532	616	648	324	1220	803	415	767	763	515									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	342	20	12	14	23	8	5	11	12	17	18	5	18	5	5	5	5	6	14	22	22	24	17	9	13	23	9									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	214	6	5	14	17	3	2	6	7	8	18	0	15	2	2	1	0	1	10	22	22	18	7	4	4	20	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	143	15	3	7	4	3	4	1	4	4	6	1	8	2	2	1	5	5	9	4	6	10	6	8	3	15	7									
14	Число погашенных неиспользованных открепительных удостоверений	128	14	7	0	6	5	3	5	5	9	0	5	3	3	3	4	5	5	4	0	0	6	10	5	9	3	9									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	58	3	2	2	5	1	2	2	4	3	6	1	1	0	0	0	0	0	1	2	1	6	6	1	9	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	248	22	7	13	12	10	2	5	6	24	13	5	8	2	3	1	1	1	12	13	7	14	20	8	20	13	6									
		1.54%	2.11%	1.14%	1.49%	1.24%	1.59%	0.61%	0.83%	0.90%	3.36%	1.41%	3.45%	0.85%	0.80%	1.14%	0.45%	0.93%	0.19%	1.91%	1.92%	2.08%	1.11%	2.42%	1.87%	2.57%	1.67%	1.14%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	481	20	14	28	20	13	10	24	15	23	33	1	32	12	5	4	1	8	19	19	18	40	36	17	23	23	23									
		2.99%	1.92%	2.28%	3.22%	2.06%	2.07%	3.07%	3.98%	2.26%	3.22%	3.58%	0.69%	3.41%	4.80%	1.90%	1.81%	0.93%	1.49%	3.03%	2.81%	5.36%	3.18%	4.35%	3.98%	2.95%	2.95%	4.36%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	333	25	12	13	16	11	4	15	14	27	15	2	21	2	8	3	2	9	19	14	4	20	17	10	9	22	19									
		2.07%	2.40%	1.96%	1.49%	1.65%	1.75%	1.23%	2.49%	2.11%	3.78%	1.63%	1.38%	2.24%	0.80%	3.04%	1.36%	1.87%	1.68%	3.03%	2.07%	1.19%	1.59%	2.06%	2.34%	1.16%	2.82%	3.60%									
