Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																								
Дата голосования: 02.12.2007																																								
																																								
Наименование Избирательной комиссии:    Рамонская																																								
																																								
Сводная таблица результатов выборов																																								
																																								
		Сумма	УИК №3201	УИК №3202	УИК №3203	УИК №3204	УИК №3205	УИК №3206	УИК №3207	УИК №3208	УИК №3209	УИК №3210	УИК №3211	УИК №3212	УИК №3213	УИК №3214	УИК №3215	УИК №3216	УИК №3217	УИК №3218	УИК №3219	УИК №3220	УИК №3221	УИК №3222	УИК №3223	УИК №3224	УИК №3225	УИК №3226	УИК №3227	УИК №3228	УИК №3229	УИК №3230	УИК №3231	УИК №3232	УИК №3233					
1	"Число избирателей, внесенных в списки избирателей"	25330	2873	2028	1609	312	794	882	2215	1190	1343	282	766	650	392	380	227	186	100	912	418	263	1895	206	238	204	626	535	76	367	568	224	425	75	2069					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	23585	2600	1800	1500	300	700	800	2000	1300	1200	300	750	600	350	400	200	200	100	800	400	240	1700	210	220	200	550	550	85	360	550	250	400	70	1900					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	17276	2183	1159	1360	205	506	466	1863	833	1018	168	435	391	213	237	147	102	46	533	317	184	1436	88	150	95	275	300	43	209	298	71	197	48	1700					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3795	402	114	119	47	110	145	135	118	177	58	131	149	108	93	44	53	52	116	41	41	246	118	47	47	252	108	26	116	137	105	130	19	191					
6	Число погашенных избирательных бюллетеней	2514	15	527	21	48	84	189	2	349	5	74	184	60	29	70	9	45	2	151	42	15	18	4	23	58	23	142	16	35	115	74	73	3	9					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3795	402	114	119	47	110	145	135	118	177	58	131	149	108	93	44	53	52	116	41	41	246	118	47	47	252	108	26	116	137	105	130	19	191					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	17274	2183	1159	1360	204	506	466	1863	833	1018	167	435	391	213	237	147	102	46	533	317	184	1436	88	150	95	275	300	43	209	298	71	197	48	1700					
9	Число недействительных избирательных бюллетеней	191	20	14	15	6	5	8	20	9	12	9	6	2	2	3	1	3	0	5	4	0	14	0	1	4	2	5	1	2	1	0	1	1	15					
10	Число действительных избирательных бюллетеней	20878	2565	1259	1464	245	611	603	1978	942	1183	216	560	538	319	327	190	152	98	644	354	225	1668	206	196	138	525	403	68	323	434	176	326	66	1876					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	366	25	20	5	3	19	12	36	13	16	3	9	11	11	6	7	4	3	11	4	5	12	13	8	3	5	25	7	10	20	4	5	5	26					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	350	25	20	5	3	19	11	36	13	16	2	9	11	11	6	7	4	2	11	3	2	12	13	8	0	3	25	5	10	20	2	5	5	26					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	383	29	28	10	4	15	19	6	117	10	3	8	8	3	7	13	4	3	6	2	7	12	10	5	2	4	5	2	1	4	0	2	5	29					
14	Число погашенных неиспользованных открепительных удостоверений	16	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	3	0	0	0	3	2	0	2	0	0	2	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	23	2	3	1	1	1	0	0	0	2	0	1	1	0	0	2	1	0	2	0	1	1	0	0	0	0	0	0	1	2	0	0	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																								
18	1.Политическая партия «Аграрная партия России»	304	4	26	19	5	5	9	40	19	3	0	5	14	5	4	7	2	0	15	7	6	31	1	5	1	9	7	1	3	12	4	1	0	34					
		1.44%	0.15%	2.04%	1.28%	1.99%	0.81%	1.47%	2.00%	1.99%	0.25%	0.00%	0.88%	2.59%	1.56%	1.21%	3.66%	1.29%	0.00%	2.31%	1.96%	2.67%	1.84%	0.49%	2.54%	0.70%	1.71%	1.72%	1.45%	0.92%	2.76%	2.27%	0.31%	0.00%	1.80%					
19	2.Всероссийская политическая партия «Гражданская Сила»	91	2	12	12	3	2	6	10	6	2	5	0	1	3	0	2	0	0	1	1	0	5	0	1	0	0	4	0	2	1	0	0	1	9					
		0.43%	0.08%	0.94%	0.81%	1.20%	0.32%	0.98%	0.50%	0.63%	0.17%	2.22%	0.00%	0.19%	0.93%	0.00%	1.05%	0.00%	0.00%	0.15%	0.28%	0.00%	0.30%	0.00%	0.51%	0.00%	0.00%	0.98%	0.00%	0.62%	0.23%	0.00%	0.00%	1.49%	0.48%					
20	3.Политическая партия «Демократическая партия России»	38	2	5	3	1	1	1	1	2	2	1	1	2	2	0	0	2	0	1	0	0	4	0	1	0	0	0	0	0	1	1	0	0	4					
		0.18%	0.08%	0.39%	0.20%	0.40%	0.16%	0.16%	0.05%	0.21%	0.17%	0.44%	0.18%	0.37%	0.62%	0.00%	0.00%	1.29%	0.00%	0.15%	0.00%	0.00%	0.24%	0.00%	0.51%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%	0.57%	0.00%	0.00%	0.21%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	3445	344	338	268	39	198	97	322	125	141	29	221	72	47	38	17	10	6	156	73	41	226	26	26	28	59	132	25	19	89	18	47	7	161					
		16.35%	13.31%	26.55%	18.12%	15.54%	32.14%	15.88%	16.12%	13.14%	11.80%	12.89%	39.05%	13.33%	14.64%	11.52%	8.90%	6.45%	6.12%	24.04%	20.39%	18.22%	13.44%	12.62%	13.20%	19.72%	11.20%	32.35%	36.23%	5.85%	20.46%	10.23%	14.37%	10.45%	8.51%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	49	7	5	6	2	0	4	2	1	0	2	1	0	0	0	0	0	0	1	0	0	4	0	0	1	0	1	1	0	1	0	0	0	10					
		0.23%	0.27%	0.39%	0.41%	0.80%	0.00%	0.65%	0.10%	0.11%	0.00%	0.89%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%	0.24%	0.00%	0.00%	0.70%	0.00%	0.25%	1.45%	0.00%	0.23%	0.00%	0.00%	0.00%	0.53%					
23	6.Политическая партия «Партия социальной справедливости»	26	1	1	2	1	1	1	6	2	1	0	0	2	0	3	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2					
		0.12%	0.04%	0.08%	0.14%	0.40%	0.16%	0.16%	0.30%	0.21%	0.08%	0.00%	0.00%	0.37%	0.00%	0.91%	0.00%	0.65%	0.00%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.31%	0.00%	0.00%	0.00%	0.00%	0.11%					
24	7.Политическая партия «Либерально-демократическая партия России»	1276	58	107	103	25	34	49	133	9	61	16	26	32	20	29	10	11	3	61	20	23	132	10	22	7	35	23	4	30	28	7	25	2	121					
		6.06%	2.24%	8.41%	6.96%	9.96%	5.52%	8.02%	6.66%	0.95%	5.10%	7.11%	4.59%	5.93%	6.23%	8.79%	5.24%	7.10%	3.06%	9.40%	5.59%	10.22%	7.85%	4.85%	11.17%	4.93%	6.64%	5.64%	5.80%	9.23%	6.44%	3.98%	7.65%	2.99%	6.40%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	1481	168	103	111	19	45	80	194	44	75	26	28	30	42	31	8	10	5	41	23	12	157	7	6	4	23	13	0	19	30	8	12	5	102					
		7.03%	6.50%	8.09%	7.51%	7.57%	7.31%	13.09%	9.71%	4.63%	6.28%	11.56%	4.95%	5.56%	13.08%	9.39%	4.19%	6.45%	5.10%	6.32%	6.42%	5.33%	9.33%	3.40%	3.05%	2.82%	4.36%	3.19%	0.00%	5.85%	6.90%	4.55%	3.67%	7.46%	5.39%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	116	15	10	8	3	3	10	9	4	4	3	2	5	1	2	2	0	0	6	1	3	5	0	0	2	0	2	0	2	1	4	1	1	7					
		0.55%	0.58%	0.79%	0.54%	1.20%	0.49%	1.64%	0.45%	0.42%	0.33%	1.33%	0.35%	0.93%	0.31%	0.61%	1.05%	0.00%	0.00%	0.92%	0.28%	1.33%	0.30%	0.00%	0.00%	1.41%	0.00%	0.49%	0.00%	0.62%	0.23%	2.27%	0.31%	1.49%	0.37%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	13935	1956	639	916	143	320	341	1241	726	891	134	276	378	198	219	142	115	82	360	226	140	1095	161	135	94	399	216	36	246	266	134	239	50	1421					
		66.14%	75.67%	50.20%	61.93%	56.97%	51.95%	55.81%	62.11%	76.34%	74.56%	59.56%	48.76%	70.00%	61.68%	66.36%	74.35%	74.19%	83.67%	55.47%	63.13%	62.22%	65.10%	78.16%	68.53%	66.20%	75.71%	52.94%	52.17%	75.69%	61.15%	76.14%	73.09%	74.63%	75.15%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	117	8	13	16	4	2	5	20	4	3	0	0	2	1	1	2	1	2	1	3	0	9	1	0	1	0	5	1	1	5	0	1	0	5					
		0.56%	0.31%	1.02%	1.08%	1.59%	0.32%	0.82%	1.00%	0.42%	0.25%	0.00%	0.00%	0.37%	0.31%	0.30%	1.05%	0.65%	2.04%	0.15%	0.84%	0.00%	0.54%	0.49%	0.00%	0.70%	0.00%	1.23%	1.45%	0.31%	1.15%	0.00%	0.31%	0.00%	0.26%					
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
